id,actId,type,items-type-1,items-id-1,items-value-1,appearNum,floorNum,weight,openDays,swapId,
1,3290,2,2,25516,50,40,40,10,,24,
2,3290,2,2,25504,50,40,40,10,,25,
3,3290,2,2,24516,50,40,40,10,,24,
4,3290,2,2,24505,50,40,40,10,,25,
10,3290,1,2,3014,10,33,28,300,1,20,
11,3290,1,2,1030,4,,,200,1,,
12,3290,1,2,1081,4,,,200,1,,
13,3290,1,2,1044,2,,,200,1,,
14,3290,1,2,1082,3,,,1000,1,,
15,3290,1,2,1043,5,,,1000,1,,
16,3290,1,2,1029,3,,,1000,1,,
17,3290,1,2,1003,1,,,500,1,,
18,3290,1,2,1027,10,,,800,1,,
19,3290,1,2,1077,20,,,660,1,,
20,3290,1,2,3008,10,,,500,1,,
21,3290,1,2,3002,15,,,800,1,,
22,3290,1,2,1006,150,,,800,1,,
23,3290,1,2,1001,150,,,800,1,,
24,3290,1,2,2200,1,,,600,1,,
25,3290,1,2,2201,1,,,600,1,,
26,3290,1,2,3014,10,33,28,300,15,36,
27,3290,1,2,1037,4,,,200,15,,
28,3290,1,2,1081,4,,,200,15,,
29,3290,1,2,1104,2,,,200,15,,
30,3290,1,2,1082,3,,,1000,15,,
31,3290,1,2,1036,5,,,1000,15,,
32,3290,1,2,1103,3,,,1000,15,,
33,3290,1,2,1003,1,,,500,15,,
34,3290,1,2,1027,10,,,800,15,,
35,3290,1,2,1077,20,,,660,15,,
36,3290,1,2,3008,10,,,500,15,,
37,3290,1,2,3002,15,,,800,15,,
38,3290,1,2,1006,150,,,800,15,,
39,3290,1,2,1001,150,,,800,15,,
40,3290,1,2,2200,1,,,600,15,,
41,3290,1,2,2201,1,,,600,15,,
42,3290,1,2,3014,10,33,28,300,22,52,
43,3290,1,2,1105,1,,,200,22,,
44,3290,1,2,1009,4,,,200,22,,
45,3290,1,2,1010,4,,,200,22,,
46,3290,1,2,1052,20,,,1000,22,,
47,3290,1,2,1011,3,,,1000,22,,
48,3290,1,2,1078,150,,,1000,22,,
49,3290,1,2,1003,1,,,500,22,,
50,3290,1,2,1027,20,,,800,22,,
51,3290,1,2,1077,40,,,660,22,,
52,3290,1,2,3008,10,,,500,22,,
53,3290,1,2,3002,30,,,800,22,,
54,3290,1,2,1006,300,,,800,22,,
55,3290,1,2,1001,300,,,800,22,,
56,3290,1,2,2200,3,,,600,22,,
57,3290,1,2,2201,3,,,600,22,,
58,3290,1,2,3014,10,33,28,300,46,68,
59,3290,1,2,1076,1,,,200,46,,
60,3290,1,2,1073,1,,,200,46,,
61,3290,1,2,1018,4,,,200,46,,
62,3290,1,2,1017,6,,,1000,46,,
63,3290,1,2,1078,150,,,1000,46,,
64,3290,1,2,1052,12,,,1000,46,,
65,3290,1,2,1003,1,,,500,46,,
66,3290,1,2,1027,20,,,800,46,,
