id,next,desc,starLevel,playerLevel,worldLevel,levelMax,skillSlot,newSkill,hpAward,atkAward,resistAward,defAward,spdAward,itemNum,NeedItemsFun-type-1,NeedItemsFun-star-1,NeedItemsFun-num-1,NeedItemsFun-type-2,NeedItemsFun-star-2,NeedItemsFun-num-2,NeedItemsFun-type-3,NeedItemsFun-star-3,NeedItemsFun-num-3,NeedItemsFun-type-4,NeedItemsFun-star-4,NeedItemsFun-num-4,NeedItemsFun-type-5,NeedItemsFun-star-5,NeedItemsFun-num-5,specialItem,specialItemNum,specialItem2,specialItemNum2,herostar,heroNum,
10010,10011,s==16|Thử nghiệm 5 sao,5,1,1,100,0,,,0,0,20,10,0,21401,4,2,2,4,5,2,3,4,,,,,,,,,,,,,
10011,10012,s==16|Thử nghiệm 6 sao,6,1,1,145,5,2150821|2150831|2150841|2150851,5000,4000,0,20,10,0,21501,5,1,21501,5,1,2,5,3,,,,,,,,,,,,,
10012,10013,s==16|Thử nghiệm 7 sao,7,1,1,165,1,2150821,5000,4000,0,20,10,1000,2,5,4,,,,,,,,,,,,,,,,,,,
10013,10014,s==16|Thử nghiệm 8 sao,8,1,1,185,2,2150831,5000,4000,0,20,10,2000,2,5,3,2,6,1,,,,,,,,,,,,,,,,
10014,10015,s==16|Thử nghiệm 9 sao,9,1,1,205,3,2150841,5000,4000,0,20,10,5000,21501,5,1,2,5,2,2,6,1,,,,,,,,,,,,,
10015,10016,s==17|Thử nghiệm 10 sao,10,1,1,255,4,2150851,3000,2000,0,20,10,10000,21501,5,2,2,6,1,1,9,1,,,,,,,,,,,,,
10016,10017,s==17|Thử nghiệm 11 sao,11,105,95,285,0,,3000,2000,0,20,10,15000,21501,6,1,1,9,1,,,,,,,,,,,,,,,,
10017,10018,s==17|Thử nghiệm 12 sao,12,128,118,310,0,,3000,2000,0,20,10,20000,21501,6,1,1,10,1,,,,,,,,,,1048,20,,,,,
10018,10019,s==17|Thử nghiệm 13 sao,13,148,138,350,0,,3000,2000,0,20,10,25000,21501,6,1,2,9,1,1,10,1,,,,,,,1048,40,,,,,
214011,,s==16|Tào Chương 5 sao,5,1,1,100,0,,,0,0,20,10,0,21401,4,2,2,4,5,2,3,4,,,,,,,,,,,,,
214021,,s==15|Trần Quần 5 sao,5,1,1,100,0,,,0,0,20,10,0,21402,4,2,2,4,5,2,3,4,,,,,,,,,,,,,
214031,,s==15|Tào Ngang 5 sao,5,1,1,100,0,,,0,0,20,10,0,21403,4,2,2,4,5,2,3,4,,,,,,,,,,,,,
214041,,s==14|Tào Nhân 5 sao,5,1,1,100,0,,,0,0,20,10,0,21404,4,2,2,4,5,2,3,4,,,,,,,,,,,,,
214051,214052,s==12|Hứa Du 6 sao,6,1,1,145,5,2140522|2140532|2140542,5000,4000,0,20,10,0,21405,5,1,21402,5,1,2,5,3,,,,,,,,,,,,,
214052,214053,s==12|Hứa Du 7 sao,7,1,1,165,1,2140523,5000,4000,0,20,10,1000,2,5,4,,,,,,,,,,,,,,,,,,,
214053,214054,s==12|Hứa Du 8 sao,8,1,1,185,2,2140533,5000,4000,0,20,10,2000,2,5,3,2,6,1,,,,,,,,,,,,,,,,
214054,,s==12|Hứa Du 9 sao,9,1,1,205,3,2140543,5000,4000,0,20,10,5000,21405,5,1,2,5,2,2,6,1,,,,,,,,,,,,,
224011,224012,s==14|Mã Lương 6 sao,6,1,1,145,5,2240122|2240132|2240142,5000,4000,0,20,10,0,22401,5,1,22405,5,1,2,5,3,,,,,,,,,,,,,
224012,224013,s==14|Mã Lương 7 sao,7,1,1,165,1,2240123,5000,4000,0,20,10,1000,2,5,4,,,,,,,,,,,,,,,,,,,
224013,224014,s==14|Mã Lương 8 sao,8,1,1,185,2,2240133,5000,4000,0,20,10,2000,2,5,3,2,6,1,,,,,,,,,,,,,,,,
224014,,s==14|Mã Lương 9 sao,9,1,1,205,3,2240143,5000,4000,0,20,10,5000,22401,5,1,2,5,2,2,6,1,,,,,,,,,,,,,
224021,,s==14|Liêu Hóa 5 sao,5,1,1,100,0,,,0,0,20,10,0,22402,4,2,2,4,5,2,3,4,,,,,,,,,,,,,
224031,,s==14|Giản Ung 5 sao,5,1,1,100,0,,,0,0,20,10,0,22403,4,2,2,4,5,2,3,4,,,,,,,,,,,,,
224041,,s==13|Tần Mật 5 sao,5,1,1,100,0,,,0,0,20,10,0,22404,4,2,2,4,5,2,3,4,,,,,,,,,,,,,
224051,,s==15|Ngụy Diên 5 sao,5,1,1,100,0,,,0,0,20,10,0,22405,4,2,2,4,5,2,3,4,,,,,,,,,,,,,
234011,,s==16|Lăng Thống 5 sao,5,1,1,100,0,,,0,0,20,10,0,23401,4,2,2,4,5,2,3,4,,,,,,,,,,,,,
234021,,s==14|Lục Tích 5 sao,5,1,1,100,0,,,0,0,20,10,0,23402,4,2,2,4,5,2,3,4,,,,,,,,,,,,,
234031,,s==15|Lâu Huyền 5 sao,5,1,1,100,0,,,0,0,20,10,0,23403,4,2,2,4,5,2,3,4,,,,,,,,,,,,,
234041,,s==18|Gia Cát Khắc 5 sao,5,1,1,100,0,,,0,0,20,10,0,23404,4,2,2,4,5,2,3,4,,,,,,,,,,,,,
234051,234052,s==17|Gia Cát Cẩn 6 sao,6,1,1,145,5,2340522|2340532|2340542,5000,4000,0,20,10,0,23405,5,1,23403,5,1,2,5,3,,,,,,,,,,,,,
234052,234053,s==17|Gia Cát Cẩn 7 sao,7,1,1,165,1,2340523,5000,4000,0,20,10,1000,2,5,4,,,,,,,,,,,,,,,,,,,
234053,234054,s==17|Gia Cát Cẩn 8 sao,8,1,1,185,2,2340533,5000,4000,0,20,10,2000,2,5,3,2,6,1,,,,,,,,,,,,,,,,
234054,,s==17|Gia Cát Cẩn 9 sao,9,1,1,205,3,2340543,5000,4000,0,20,10,5000,23405,5,1,2,5,2,2,6,1,,,,,,,,,,,,,
244011,,s==24|Thần·Công Tôn Toản 5 sao,5,1,1,100,0,,,0,0,20,10,0,24401,4,2,2,4,5,2,3,4,,,,,,,,,,,,,
244021,244022,s==18|Thần·Lỗ Chất 6 sao,6,1,1,145,5,2440222|2440232|2440242,5000,4000,0,20,10,0,24402,5,1,24403,5,1,2,5,3,,,,,,,,,,,,,
244022,244023,s==18|Thần·Lỗ Chất 7 sao,7,1,1,165,1,2440223,5000,4000,0,20,10,1000,2,5,4,,,,,,,,,,,,,,,,,,,
244023,244024,s==18|Thần·Lỗ Chất 8 sao,8,1,1,185,2,2440233,5000,4000,0,20,10,2000,2,5,3,2,6,1,,,,,,,,,,,,,,,,
244024,,s==18|Thần·Lỗ Chất 9 sao,9,1,1,205,3,2440243,5000,4000,0,20,10,5000,24402,5,1,2,5,2,2,6,1,,,,,,,,,,,,,
244031,,s==20|Thần·Đào Khiêm 5 sao,5,1,1,100,0,,,0,0,20,10,0,24403,4,2,2,4,5,2,3,4,,,,,,,,,,,,,
244041,,s==17|Thần·Từ Thụ 5 sao,5,1,1,100,0,,,0,0,20,10,0,24404,4,2,2,4,5,2,3,4,,,,,,,,,,,,,
254011,254012,s==20|Ma·Lưu Tam Đao 6 sao,6,1,1,145,5,2540122|2540132|2540142|2540152,5000,4000,0,20,10,0,25401,5,1,25404,5,1,2,5,3,,,,,,,,,,,,,
254012,254013,s==20|Ma·Lưu Tam Đao 7 sao,7,1,1,165,1,2540123,5000,4000,0,20,10,1000,2,5,4,,,,,,,,,,,,,,,,,,,
254013,254014,s==20|Ma·Lưu Tam Đao 8 sao,8,1,1,185,2,2540133,5000,4000,0,20,10,2000,2,5,3,2,6,1,,,,,,,,,,,,,,,,
254014,254015,s==20|Ma·Lưu Tam Đao 9 sao,9,1,1,205,3,2540143,5000,4000,0,20,10,5000,25401,5,1,2,5,2,2,6,1,,,,,,,,,,,,,
254015,254016,s==21|Ma·Lưu Tam Đao 10 sao,10,1,1,255,4,2540153,3000,2000,0,20,10,10000,25401,5,2,2,6,1,1,9,1,,,,,,,,,,,,,
254016,254017,s==21|Ma·Lưu Tam Đao 11 sao,11,105,95,285,0,,3000,2000,0,20,10,15000,25401,6,1,1,9,1,,,,,,,,,,,,,,,,
254017,254018,s==21|Ma·Lưu Tam Đao 12 sao,12,128,118,310,0,,3000,2000,0,20,10,20000,25401,6,1,1,10,1,,,,,,,,,,1048,20,,,,,
254018,254019,s==21|Ma·Lưu Tam Đao 13 sao,13,148,138,350,0,,3000,2000,0,20,10,25000,25401,6,1,2,9,1,1,10,1,,,,,,,1048,40,,,,,
254019,,s==21|Ma·Lưu Tam Đao 14 sao,14,200,138,390,0,,3000,2000,0,20,10,30000,25401,9,1,2,10,1,1,11,1,,,,,,,1048,60,6685,5,13,6,
254021,,s==16|Ma·Hà Tiến 5 sao,5,1,1,100,0,,,0,0,20,10,0,25402,4,2,2,4,5,2,3,4,,,,,,,,,,,,,
254031,,s==20|Ma·Trương Giác 5 sao,5,1,1,100,0,,,0,0,20,10,0,25403,4,2,2,4,5,2,3,4,,,,,,,,,,,,,
254041,,s==19|Ma·Viên Thuật 5 sao,5,1,1,100,0,,,0,0,20,10,0,25404,4,2,2,4,5,2,3,4,,,,,,,,,,,,,
215011,215012,s==14|Bàng Đức 6 sao,6,1,1,145,5,2150122|2150132|2150142,5000,4000,0,20,10,0,21501,5,1,21404,5,1,2,5,3,,,,,,,,,,,,,
215012,215013,s==14|Bàng Đức 7 sao,7,1,1,165,1,2150123,5000,4000,0,20,10,1000,2,5,4,,,,,,,,,,,,,,,,,,,
215013,215014,s==14|Bàng Đức 8 sao,8,1,1,185,2,2150133,5000,4000,0,20,10,2000,2,5,3,2,6,1,,,,,,,,,,,,,,,,
