id,group,taskDesc,targets-targetType-1,targets-targetId-1,targets-targetValue-1,rewards-type-1,rewards-id-1,rewards-value-1,rewards-type-2,rewards-id-2,rewards-value-2,rewards-type-3,rewards-id-3,rewards-value-3,
1,1,s==9|累计普通夺宝30次,344,1,30,1,9,50,2,1003,1,1,8,100000,
2,1,s==11|任意武将培养到145级,204,145,1,1,9,50,2,1001,200,1,8,100000,
3,1,s==10|获得2位6星吴国武将,338,6,2,1,9,50,2,1004,1,1,8,100000,
4,1,s==7|聚贤阁寻访5次,211,0,5,1,9,50,2,1014,1,1,8,100000,
5,2,s==9|累计普通夺宝30次,344,1,30,1,9,50,2,1003,1,1,8,100000,
6,2,s==11|任意武将培养到145级,204,145,1,1,9,50,2,1001,200,1,8,100000,
7,2,s==9|累计普通招募30次,403,1,30,1,9,50,2,1004,1,1,8,100000,
8,2,s==7|聚贤阁寻访5次,211,0,5,1,9,50,2,1014,1,1,8,100000,
9,3,s==9|累计普通夺宝30次,344,1,30,1,9,50,2,1003,1,1,8,100000,
10,3,s==11|任意武将培养到145级,204,145,1,1,9,50,2,1001,200,1,8,100000,
11,3,s==9|累计普通招募30次,403,1,30,1,9,50,2,1004,1,1,8,100000,
12,3,s==7|聚贤阁寻访5次,211,0,5,1,9,50,2,1014,1,1,8,100000,
13,4,s==9|累计普通夺宝30次,344,1,30,1,9,50,2,1003,1,1,8,100000,
14,4,s==11|任意武将培养到145级,204,145,1,1,9,50,2,1001,200,1,8,100000,
15,4,s==9|累计普通招募30次,403,1,30,1,9,50,2,1004,1,1,8,100000,
16,4,s==7|聚贤阁寻访5次,211,0,5,1,9,50,2,1014,1,1,8,100000,
17,5,s==9|累计普通夺宝30次,344,1,30,1,9,50,2,1003,1,1,8,100000,
18,5,s==11|任意武将培养到145级,204,145,1,1,9,50,2,1001,200,1,8,100000,
19,5,s==9|累计普通招募30次,403,1,30,1,9,50,2,1004,1,1,8,100000,
20,5,s==7|聚贤阁寻访5次,211,0,5,1,9,50,2,1014,1,1,8,100000,
