id,type,specificTime,openTime,createTime,mailtask,isSpokes,items-type-1,items-id-1,items-value-1,items-type-2,items-id-2,items-value-2,items-type-3,items-id-3,items-value-3,items-type-4,items-id-4,items-value-4,items-type-5,items-id-5,items-value-5,items-type-6,items-id-6,items-value-6,area,
1010,3,,,60,,0,1,9,200,1,8,80000,,,,,,,,,,,,,,
1020,4,,,,1020,0,1,9,200,2,1001,200,,,,,,,,,,,,,,
1030,4,,,,1030,0,1,9,200,2,1105,2,,,,,,,,,,,,,,
1040,4,,,,1040,0,1,9,200,2,1105,3,,,,,,,,,,,,,,
1050,4,,,,1050,0,1,9,50,,,,,,,,,,,,,,,,s==2|cn,
1060,4,,,,1060,0,1,9,100,2,1003,1,1,8,100000,,,,,,,,,,,
1070,4,,,,1070,0,1,9,200,,,,,,,,,,,,,,,,,
1080,4,,,,1080,0,1,9,200,,,,,,,,,,,,,,,,,
1090,4,,,,1090,0,2,1003,3,,,,,,,,,,,,,,,,,
1100,4,,,,1100,0,2,3008,50,,,,,,,,,,,,,,,,,
1110,4,,,,1110,0,1,9,100,2,1003,1,1,8,100000,,,,,,,,,,,
1140,4,,,,1140,0,1,9,100,2,1003,1,1,8,100000,,,,,,,,,,,
1150,4,,,,1150,0,1,9,100,2,1003,1,1,8,100000,,,,,,,,,,,
1160,4,,,,1160,0,1,9,100,2,1003,1,1,8,100000,,,,,,,,,,,
1170,4,,,,1170,0,1,9,100,2,1003,1,1,8,100000,,,,,,,,,,,
1180,4,,,,1180,0,1,9,100,2,1003,1,1,8,100000,,,,,,,,,,,
1300,3,,,,1300,1,1,9,200,1,8,80000,,,,,,,,,,,,,,
1310,4,,,,1310,1,1,9,50,,,,,,,,,,,,,,,,,
1410,4,,,,1410,0,1,9,100,2,3008,50,,,,,,,,,,,,,,
1510,4,,,,1510,0,2,30031,1,2,19581,1,,,,,,,,,,,,,,
1610,4,,,,1610,0,1,9,200,2,1001,2000,,,,,,,,,,,,,,
1620,4,,,,1620,1,1,9,100,,,,,,,,,,,,,,,,,
1630,4,,,,1630,1,1,9,100,,,,,,,,,,,,,,,,,
1640,6,s==19|2022-12-08 23:59:59,,,1640,0,2,1002,1,2,1001,50,1,8,100000,,,,,,,,,,s==2|tw,
1650,6,s==19|2022-12-08 23:59:59,,,1650,0,2,1002,3,2,1001,50,1,8,100000,,,,,,,,,,s==2|tw,
1660,6,s==19|2022-12-08 23:59:59,,,1660,0,2,1005,2,2,1001,100,1,8,100000,,,,,,,,,,s==2|tw,
1670,6,s==19|2022-12-08 23:59:59,,,1670,0,2,1003,1,2,1006,100,1,8,200000,,,,,,,,,,s==2|tw,
1680,6,s==19|2022-12-08 23:59:59,,,1680,0,2,1003,2,2,1006,200,1,8,300000,2,1270,100000,,,,,,,s==2|tw,
1690,4,,,,1690,0,2,1003,2,2,1001,100,1,8,300000,,,,,,,,,,s==2|tw,
1700,6,s==19|2023-05-30 00:00:00,,,1700,0,2,22504,50,,,,,,,,,,,,,,,,s==2|jp,
1710,6,s==19|2023-05-30 00:00:00,,,1710,0,1,8,100000,,,,,,,,,,,,,,,,s==2|jp,
1720,6,s==19|2023-05-30 00:00:00,,,1720,0,1,10,100000,,,,,,,,,,,,,,,,s==2|jp,
1730,6,s==19|2023-05-30 00:00:00,,,1730,0,2,1005,2,2,1019,2,,,,,,,,,,,,,s==2|jp,
1740,6,s==19|2023-05-30 00:00:00,,,1740,0,2,1001,500,2,1027,20,2,1006,20,,,,,,,,,,s==2|jp,
1750,6,s==19|2023-05-30 00:00:00,,,1750,0,1,9,1000,,,,,,,,,,,,,,,,s==2|jp,
1760,6,s==19|2022-12-08 23:59:59,,,1760,0,2,1002,1,2,1001,50,1,8,100000,,,,,,,,,,s==2|kr,
1770,6,s==19|2022-12-08 23:59:59,,,1770,0,2,1002,3,2,1001,50,1,8,100000,,,,,,,,,,s==2|kr,
1780,6,s==19|2022-12-08 23:59:59,,,1780,0,2,1005,2,2,1001,100,1,8,100000,,,,,,,,,,s==2|kr,
1790,6,s==19|2022-12-08 23:59:59,,,1790,0,2,1003,1,2,1006,100,1,8,200000,,,,,,,,,,s==2|kr,
1800,6,s==19|2022-12-08 23:59:59,,,1800,0,2,1003,2,2,1006,200,1,8,300000,2,1270,100000,,,,,,,s==2|kr,
