id,subclass,targetclass,name,quality,star,seat,sell,exchange,combine,iconId,warriorSignet,useFuncType,useFuncId,useFuncValue,timeOut,useDesc,pathwayId,suit,property,desc,camp,WeightFirst,boxUseSystemId,
1001,1,,s==13|Đột Phá Thạch,5,,,,,1,1001,,29,8,,,s==16|VÕ TƯỚNG ĐỘT PHÁ,1001,,,s==99|Võ Hồn Tàng Khí， Thần Thạch Ẩn Linh， Dụng cụ dùng để võ tướng tiến bậc， thăng cấp giới hạn cấp bậc。,,,,
1002,1,,s==26|Lệnh Tầm Bảo Thường Thường,4,,,,,1,1002,,29,14,,,s==18|VÕ TƯỚNG TẦM PHÓNG,1002,,,s==146|Lễ hiền hạ sĩ， bái得 tướng lương， như cá得 thủy， như hổ thêm oai， dùng cho tìm kiếm thường thức， có thể ngẫu nhiên chiêu mộ võ tướng từ 1 đến 5 sao。,,,,
1003,1,,s==20|Lệnh Tầm Bảo Cao Cấp,5,,,,,1,1003,,29,14,,,s==18|VÕ TƯỚNG TẦM PHÓNG,1003,,,s==154|Tam cố mao lư， kỳ gian hữu long， khổng bàng triển thỉ， bá nghiệp khả thành， dùng cho tìm kiếm cao cấp， có thể ngẫu nhiên chiêu mộ võ tướng từ 3 đến 5 sao。,,,,
1004,1,,s==12|Tụ Hiền Lệnh,6,,,,,1,1004,,29,5,,,s==15|CHIÊU MỘ ĐẠO CỤ,1004,,,s==163|Phi tinh tú lạc， thang sơn hữu vân， long vĩ phục thần， tướng tinh giáng lâm， dùng cho tụ hiền các chiêu tướng， có thể thu được võ tướng 4、5 sao thuộc phe định sẵn。,,,,
1005,1,,s==9|CHIẾN THƯ,4,,,,,1,1005,,29,4,,,s==13|LÊ ĐÀI ĐẠO CỤ,1005,,,s==117|Hiệp lộ tương phùng， dũng giả đắc thắng， độc cô thiên hạ， chỉ cầu nhất bại， dùng làm chứng vật thử thách hiệu trường。,,,,
1006,1,,s==14|Tướng Ấn Thạch,5,,,,,1,1006,,29,15,,,s==20|TƯỚNG ẤN NGUYÊN LIỆU,1006,,,s==197|Tướng ấn tụ hợp thành tinh hoa， có thể dùng để trùng chúc tướng ấn， khiến tướng ấn sở hữu kỹ năng và thuộc tính mới， hoặc dùng mua binh thư tại thương thành binh thư， khiến võ tướng học chiến pháp。,,,,
1007,1,,s==13|Đoạt Bảo Lệnh,4,,,,,1,1007,,29,1,,,s==15|ĐOẠT BẢO ĐẠO CỤ,1007,,,s==118|Chuyển bàn đoạt bảo， đa đa ích thiện。 dùng để tham gia hoạt động may mắn đoạt bảo， có thể tham gia rút thưởng một lần。,,,,
1008,1,,s==18|PHỐI SỨC TOÁN PHẦN,5,,,,,1,1008,,29,18,,,s==20|PHỐI SỨC NGUYÊN LIỆU,1008,,,s==161|Linh vân kỳ trung， tinh quang điểm điểm。 dùng để đổi trang sức trong thương thành trang sức， có thể thu được qua tế tự thánh đàn、 vượt phó bắc phạt trung nguyên。,,,,
1009,1,,s==12|Hồn Phụ Kiện,5,,,,,1,1009,,29,2,,,s==19|PHỐI SỨC THĂNG TINH,1009,,,s==93|Thánh hồn bất diệt， lưu quang dật thái。 vật tất yếu để thăng sao trang sức， vô cùng quý hiếm。,,,,
1010,1,,s==25|Phối Sức Tinh Luyện Thạch,5,,,,,1,1010,,29,2,,,s==40|Trang sức tẩy luyện、 trang sức cường hóa,1010,,,s==167|Tạo hóa vô cùng， trang sức bách luyện。 dùng để tẩy luyện、 cường hóa trang sức， có thể thiết lập lại loại thuộc tính và giá trị trang sức， nhất định chỉ thăng không hạ。,,,,
1011,1,,s==24|Thạch Thăng Sao Phụ Kiện,4,,,,,1,1011,,29,2,,,s==19|PHỐI SỨC THĂNG TINH,1011,,,s==103|Tam thánh hợp nhất， tinh thạch tuý sáng。 vật phẩm chuyên dụng để thăng sao trang sức， vô cùng quý hiếm。,,,,
