id,tips,tips2,point,properties-type-1,properties-way-1,properties-value-1,properties-type-2,properties-way-2,properties-value-2,suitProperty-type-1,suitProperty-way-1,suitProperty-value-1,
2211,s==17|Đoản Kiếm Đồng Đỏ,s==13|Lục Nhất Tinh,87,2,0,50,,,,,,,
2212,s==10|Mũ Đồng Đỏ,s==13|Lục Nhất Tinh,87,1,0,220,,,,,,,
2213,s==12|Giáp Đồng Đỏ,s==13|Lục Nhất Tinh,130,1,0,330,,,,,,,
2214,s==14|Hộ Thủ Đồng Đỏ,s==13|Lục Nhất Tinh,57,2,0,30,,,,,,,
2221,s==20|Trọng Kiếm Bân Thiết,s==12|Lục Nhị Tinh,105,2,0,55,,,,,,,
2222,s==12|Mũ Bân Thiết,s==12|Lục Nhị Tinh,105,1,0,265,,,,,,,
2223,s==14|Giáp Bân Thiết,s==12|Lục Nhị Tinh,159,1,0,395,,,,,,,
2224,s==16|Hộ Thủ Bân Thiết,s==12|Lục Nhị Tinh,69,2,0,40,,,,,,,
2311,s==22|Đao Khai Sơn Liên Hoàn,s==13|Lam Nhất Tinh,178,2,0,90,,,,,,,
2312,s==12|Mũ Liên Hoàn,s==13|Lam Nhất Tinh,180,1,0,450,,,,,,,
2313,s==14|Giáp Liên Hoàn,s==13|Lam Nhất Tinh,269,1,0,675,,,,,,,
2314,s==16|Hộ Thủ Liên Hoàn,s==13|Lam Nhất Tinh,119,2,0,60,,,,,,,
2321,s==20|Đao Cổ Tĩnh Tùng Văn,s==12|Lam Nhị Tinh,226,2,0,120,,,,,,,
2322,s==11|Mũ Tùng Văn,s==12|Lam Nhị Tinh,227,1,0,570,,,,,,,
2323,s==13|Giáp Tùng Văn,s==12|Lam Nhị Tinh,340,1,0,850,,,,,,,
2324,s==15|Hộ Thủ Tùng Văn,s==12|Lam Nhị Tinh,149,2,0,80,,,,,,,
2411,s==22|Thương Lục Hợp Thổ Kim,s==12|Tử Nhất Tinh,446,2,0,225,,,,,,,
2412,s==10|Mũ Lục Hợp,s==12|Tử Nhất Tinh,448,1,0,1120,,,,,,,
2413,s==12|Giáp Lục Hợp,s==12|Tử Nhất Tinh,673,1,0,1680,,,,,,,
2414,s==14|Hộ Thủ Lục Hợp,s==12|Tử Nhất Tinh,297,2,0,150,,,,,,,
