id,actId,time,taskType,taskSoft,taskName,toSystem,targetType,targetId,targetNum,rewards-type-1,rewards-id-1,rewards-value-1,areanShow,oldId,
1,5820,2,,,s==9|玩家等级达到30级,1650,201,0,30,2,4991,1,s==2|kr,1,
2,5820,2,,,s==9|玩家等级达到40级,1650,201,0,40,2,4991,1,s==2|kr,2,
3,5820,1,,,s==10|本日活跃度达到100,1051,377,0,100,2,4991,1,s==2|kr,3,
4,5820,1,1,1,s==6|本日累充6元,1930,510,0,6,2,4991,1,s==2|kr,4,
5,5820,1,1,2,s==7|本日累充30元,1930,510,0,30,2,4991,1,s==2|kr,5,
6,5820,2,,,s==9|玩家等级达到30级,1650,201,0,30,2,4991,1,s==2|tw,1,
7,5820,2,,,s==9|玩家等级达到40级,1650,201,0,40,2,4991,1,s==2|tw,2,
8,5820,1,,,s==10|本日活跃度达到100,1051,377,0,100,2,4991,1,s==2|tw,3,
9,5820,1,1,1,s==6|本日累充6元,1930,510,0,6,2,4991,1,s==2|tw,4,
10,5820,1,1,2,s==7|本日累充30元,1930,510,0,30,2,4991,1,s==2|tw,5,
11,5820,2,,,s==9|玩家等级达到30级,1650,201,0,30,2,4991,1,s==2|jp,1,
12,5820,2,,,s==9|玩家等级达到40级,1650,201,0,40,2,4991,1,s==2|jp,2,
13,5820,1,,,s==10|本日活跃度达到100,1051,377,0,100,2,4991,1,s==2|jp,3,
14,5820,1,1,1,s==6|本日累充6元,1930,510,0,6,2,4991,1,s==2|jp,4,
15,5820,1,1,2,s==7|本日累充30元,1930,510,0,30,2,4991,1,s==2|jp,5,
16,5820,2,,,s==9|玩家等级达到30级,1650,201,0,30,2,4991,1,s==2|cn,1,
17,5820,2,,,s==9|玩家等级达到40级,1650,201,0,40,2,4991,1,s==2|cn,2,
18,5820,1,,,s==10|本日活跃度达到100,1051,377,0,100,2,4991,1,s==2|cn,3,
19,5820,1,1,1,s==6|本日累充6元,1930,510,0,6,2,4991,1,s==2|cn,4,
20,5820,1,1,2,s==7|本日累充30元,1930,510,0,30,2,4991,1,s==2|cn,5,
21,5820,2,,,s==9|玩家等级达到30级,1650,201,0,30,2,4991,1,s==2|vn,1,
22,5820,2,,,s==9|玩家等级达到40级,1650,201,0,40,2,4991,1,s==2|vn,2,
23,5820,1,,,s==10|本日活跃度达到100,1051,377,0,100,2,4991,1,s==2|vn,3,
24,5820,1,1,1,s==6|本日累充6元,1930,510,0,6,2,4991,1,s==2|vn,4,
25,5820,1,1,2,s==7|本日累充30元,1930,510,0,30,2,4991,1,s==2|vn,5,
26,5820,2,,,s==9|玩家等级达到30级,1650,201,0,30,2,4991,1,s==2|ml,1,
27,5820,2,,,s==9|玩家等级达到40级,1650,201,0,40,2,4991,1,s==2|ml,2,
28,5820,1,,,s==10|本日活跃度达到100,1051,377,0,100,2,4991,1,s==2|ml,3,
29,5820,1,1,1,s==6|本日累充6元,1930,510,0,6,2,4991,1,s==2|ml,4,
30,5820,1,1,2,s==7|本日累充30元,1930,510,0,30,2,4991,1,s==2|ml,5,
31,5820,2,,,s==9|玩家等级达到30级,1650,201,0,30,2,4991,1,s==2|en,1,
32,5820,2,,,s==9|玩家等级达到40级,1650,201,0,40,2,4991,1,s==2|en,2,
33,5820,1,,,s==10|本日活跃度达到100,1051,377,0,100,2,4991,1,s==2|en,3,
34,5820,1,1,1,s==6|本日累充6元,1930,510,0,6,2,4991,1,s==2|en,4,
35,5820,1,1,2,s==7|本日累充30元,1930,510,0,30,2,4991,1,s==2|en,5,
