id,extraSkill,type,breach,lv,next,addPro-type-1,addPro-way-1,addPro-value-1,addPro-type-2,addPro-way-2,addPro-value-2,addAllPro-type-1,addAllPro-way-1,addAllPro-value-1,addAllPro-type-2,addAllPro-way-2,addAllPro-value-2,skillId,needDestinySumLv,needDestinyId,items-type-1,items-id-1,items-value-1,items-type-2,items-id-2,items-value-2,items-type-3,items-id-3,items-value-3,
111,0,1,1,1,112,2,0,250,,,,2,0,25,1,0,250,,0,,1,8,500000,2,1348,1,2,1006,1000,
112,0,1,1,2,113,2,0,550,,,,2,0,55,1,0,550,,0,,1,8,700000,2,1348,2,2,1006,2300,
113,0,1,1,3,114,2,0,850,,,,2,0,85,1,0,850,,0,,1,8,1000000,2,1348,3,2,1006,3700,
114,0,1,1,4,115,2,0,1150,,,,2,0,115,1,0,1150,,0,,1,8,1400000,2,1348,4,2,1006,5200,
115,0,1,1,5,116,2,0,1450,,,,2,0,145,1,0,1450,,0,,1,8,1900000,2,1348,5,2,1006,6800,
116,0,1,1,6,117,2,0,1800,,,,2,0,180,1,0,1800,,0,,1,8,2500000,2,1348,6,2,1006,8500,
117,0,1,1,7,118,2,0,2150,,,,2,0,215,1,0,2150,,0,,1,8,3200000,2,1348,7,2,1006,10000,
118,0,1,1,8,,2,0,2500,,,,2,0,250,1,0,2500,,0,,1,8,4000000,2,1348,8,2,1006,13000,
121,0,1,2,1,122,2,0,350,1,0,1750,2,0,35,1,0,350,,3,111,1,8,560000,2,1349,1,2,1006,1600,
122,0,1,2,2,123,2,0,770,1,0,3850,2,0,77,1,0,770,,5,112,1,8,760000,2,1349,2,2,1006,2900,
123,0,1,2,3,124,2,0,1190,1,0,5950,2,0,119,1,0,1190,,7,113,1,8,1060000,2,1349,3,2,1006,4300,
124,0,1,2,4,125,2,0,1610,1,0,8050,2,0,161,1,0,1610,,9,114,1,8,1460000,2,1349,4,2,1006,5800,
125,0,1,2,5,126,2,0,2030,1,0,10150,2,0,203,1,0,2030,,11,115,1,8,1960000,2,1349,5,2,1006,7400,
126,0,1,2,6,127,2,0,2520,1,0,12600,2,0,252,1,0,2520,,13,116,1,8,2560000,2,1349,6,2,1006,9100,
127,0,1,2,7,128,2,0,3010,1,0,15050,2,0,301,1,0,3010,,15,117,1,8,3260000,2,1349,7,2,1006,11000,
128,0,1,2,8,,2,0,3500,1,0,17500,2,0,350,1,0,3500,,17,118,1,8,4060000,2,1349,8,2,1006,13000,
131,0,1,3,1,132,2,0,450,8,1,110,2,0,45,1,0,450,,9,121,1,8,620000,2,1350,1,2,1006,2200,
