id,AwardGroup,taskName,items-type-1,items-id-1,items-value-1,items-type-2,items-id-2,items-value-2,items-type-3,items-id-3,items-value-3,items-type-4,items-id-4,items-value-4,
1,1,10,1,9,50,2,1001,200,1,8,50000,,,,
2,1,15,1,9,50,2,1019,10,1,10,30000,,,,
3,1,20,1,9,80,2,1007,12,1,8,100000,,,,
4,1,25,1,9,80,2,3002,30,1,10,60000,,,,
5,1,30,1,9,110,2,3002,60,1,8,200000,,,,
6,1,35,1,9,110,2,1003,3,1,10,120000,,,,
7,1,40,1,9,140,2,1004,1,1,8,400000,,,,
8,1,45,1,9,140,2,1003,5,1,10,240000,,,,
9,1,50,1,9,170,2,1003,8,2,4020,1,,,,
10,1,55,1,9,170,2,3008,50,2,3002,60,,,,
20,2,10,1,9,100,2,1001,550,1,8,500000,,,,
21,2,15,1,9,100,2,1006,800,1,10,300000,,,,
22,2,20,1,9,160,2,1003,5,1,8,1000000,,,,
23,2,25,1,9,160,2,1004,3,1,10,600000,,,,
24,2,30,1,9,220,2,1014,3,1,8,2000000,,,,
25,2,35,1,9,220,2,1027,150,1,10,1200000,,,,
26,2,40,1,9,280,2,3008,50,1,8,4000000,,,,
27,2,45,1,9,280,2,3008,50,1,10,2400000,,,,
28,2,50,1,9,340,2,22504,50,2,4030,1,,,,
29,2,55,1,9,340,2,22504,50,2,1534,1,,,,
