id,type,name,subclass,quality,defNum,fixFallNum,eventUp,unionUp,spUp,weekendUp,fallMax,dropOutId,battleId,floatShow,iconId,successAward,failAward,
10100,1,s==4|1级矿脉,1,2,6,10,1,400,2,20,1440,101,80101,1,5000201,120,0,
10200,1,s==4|1级矿脉,1,2,6,10,1,400,2,20,1440,101,80101,1,5000201,120,0,
10300,1,s==4|1级矿脉,1,2,6,10,1,400,2,20,1440,101,80101,1,5000201,120,0,
10400,1,s==4|1级矿脉,1,2,6,10,1,400,2,20,1440,101,80101,1,5000201,120,0,
10500,1,s==4|1级矿脉,1,2,6,10,1,400,2,20,1440,101,80101,1,5000201,120,0,
10600,1,s==4|1级矿脉,1,2,6,10,1,400,2,20,1440,101,80101,1,5000201,120,0,
10700,1,s==4|1级矿脉,1,2,6,10,1,400,2,20,1440,101,80101,1,5000201,120,0,
10800,1,s==4|1级矿脉,1,2,6,10,1,400,2,20,1440,101,80101,1,5000201,120,0,
10900,1,s==4|1级矿脉,1,2,6,10,1,400,2,20,1440,101,80101,1,5000201,120,0,
11000,1,s==4|1级矿脉,1,2,6,10,1,400,2,20,1440,101,80101,1,5000201,120,0,
11100,1,s==6|1级巨型矿脉,2,2,6,10,1,400,2,20,1440,101,80101,1,5000213,120,0,
20100,2,s==4|2级矿脉,1,2,6,12,1,400,2,24,1728,102,80201,2,5000201,144,0,
20200,2,s==4|2级矿脉,1,2,6,12,1,400,2,24,1728,102,80201,2,5000201,144,0,
20300,2,s==4|2级矿脉,1,2,6,12,1,400,2,24,1728,102,80201,2,5000201,144,0,
20400,2,s==4|2级矿脉,1,2,6,12,1,400,2,24,1728,102,80201,2,5000201,144,0,
20500,2,s==4|2级矿脉,1,2,6,12,1,400,2,24,1728,102,80201,2,5000201,144,0,
20600,2,s==4|2级矿脉,1,2,6,12,1,400,2,24,1728,102,80201,2,5000201,144,0,
20700,2,s==4|2级矿脉,1,2,6,12,1,400,2,24,1728,102,80201,2,5000201,144,0,
20800,2,s==4|2级矿脉,1,2,6,12,1,400,2,24,1728,102,80201,2,5000201,144,0,
20900,2,s==4|2级矿脉,1,2,6,12,1,400,2,24,1728,102,80201,2,5000201,144,0,
21000,2,s==4|2级矿脉,1,2,6,12,1,400,2,24,1728,102,80201,2,5000201,144,0,
21100,2,s==6|2级巨型矿脉,2,2,6,12,1,400,2,24,1728,102,80201,2,5000213,144,0,
30100,3,s==4|3级矿脉,1,3,6,14,1,400,2,28,2016,103,80301,3,5000202,168,0,
30200,3,s==4|3级矿脉,1,3,6,14,1,400,2,28,2016,103,80301,3,5000202,168,0,
30300,3,s==4|3级矿脉,1,3,6,14,1,400,2,28,2016,103,80301,3,5000202,168,0,
30400,3,s==4|3级矿脉,1,3,6,14,1,400,2,28,2016,103,80301,3,5000202,168,0,
30500,3,s==4|3级矿脉,1,3,6,14,1,400,2,28,2016,103,80301,3,5000202,168,0,
30600,3,s==4|3级矿脉,1,3,6,14,1,400,2,28,2016,103,80301,3,5000202,168,0,
30700,3,s==4|3级矿脉,1,3,6,14,1,400,2,28,2016,103,80301,3,5000202,168,0,
30800,3,s==4|3级矿脉,1,3,6,14,1,400,2,28,2016,103,80301,3,5000202,168,0,
30900,3,s==4|3级矿脉,1,3,6,14,1,400,2,28,2016,103,80301,3,5000202,168,0,
31000,3,s==4|3级矿脉,1,3,6,14,1,400,2,28,2016,103,80301,3,5000202,168,0,
31100,3,s==6|3级巨型矿脉,2,3,6,14,1,400,2,28,2016,103,80301,3,5000213,168,0,
40100,4,s==4|4级矿脉,1,3,6,16,2,400,2,32,2304,104,80401,4,5000202,192,0,
40200,4,s==4|4级矿脉,1,3,6,16,2,400,2,32,2304,104,80401,4,5000202,192,0,
40300,4,s==4|4级矿脉,1,3,6,16,2,400,2,32,2304,104,80401,4,5000202,192,0,
40400,4,s==4|4级矿脉,1,3,6,16,2,400,2,32,2304,104,80401,4,5000202,192,0,
40500,4,s==4|4级矿脉,1,3,6,16,2,400,2,32,2304,104,80401,4,5000202,192,0,
40600,4,s==4|4级矿脉,1,3,6,16,2,400,2,32,2304,104,80401,4,5000202,192,0,
40700,4,s==4|4级矿脉,1,3,6,16,2,400,2,32,2304,104,80401,4,5000202,192,0,
40800,4,s==4|4级矿脉,1,3,6,16,2,400,2,32,2304,104,80401,4,5000202,192,0,
40900,4,s==4|4级矿脉,1,3,6,16,2,400,2,32,2304,104,80401,4,5000202,192,0,
41000,4,s==4|4级矿脉,1,3,6,16,2,400,2,32,2304,104,80401,4,5000202,192,0,
41100,4,s==6|4级巨型矿脉,2,3,6,16,2,400,2,32,2304,104,80401,4,5000213,192,0,
50100,5,s==4|5级矿脉,1,4,6,18,2,400,2,36,2592,105,80501,5,5000203,216,0,
50200,5,s==4|5级矿脉,1,4,6,18,2,400,2,36,2592,105,80501,5,5000203,216,0,
50300,5,s==4|5级矿脉,1,4,6,18,2,400,2,36,2592,105,80501,5,5000203,216,0,
50400,5,s==4|5级矿脉,1,4,6,18,2,400,2,36,2592,105,80501,5,5000203,216,0,
50500,5,s==4|5级矿脉,1,4,6,18,2,400,2,36,2592,105,80501,5,5000203,216,0,
50600,5,s==4|5级矿脉,1,4,6,18,2,400,2,36,2592,105,80501,5,5000203,216,0,
50700,5,s==4|5级矿脉,1,4,6,18,2,400,2,36,2592,105,80501,5,5000203,216,0,
50800,5,s==4|5级矿脉,1,4,6,18,2,400,2,36,2592,105,80501,5,5000203,216,0,
50900,5,s==4|5级矿脉,1,4,6,18,2,400,2,36,2592,105,80501,5,5000203,216,0,
51000,5,s==4|5级矿脉,1,4,6,18,2,400,2,36,2592,105,80501,5,5000203,216,0,
51100,5,s==6|5级巨型矿脉,2,4,6,18,2,400,2,36,2592,105,80501,5,5000213,216,0,
60100,6,s==4|6级矿脉,1,4,6,20,2,400,2,40,2880,106,80601,6,5000203,240,0,
60200,6,s==4|6级矿脉,1,4,6,20,2,400,2,40,2880,106,80601,6,5000203,240,0,
60300,6,s==4|6级矿脉,1,4,6,20,2,400,2,40,2880,106,80601,6,5000203,240,0,
60400,6,s==4|6级矿脉,1,4,6,20,2,400,2,40,2880,106,80601,6,5000203,240,0,
60500,6,s==4|6级矿脉,1,4,6,20,2,400,2,40,2880,106,80601,6,5000203,240,0,
60600,6,s==4|6级矿脉,1,4,6,20,2,400,2,40,2880,106,80601,6,5000203,240,0,
60700,6,s==4|6级矿脉,1,4,6,20,2,400,2,40,2880,106,80601,6,5000203,240,0,
60800,6,s==4|6级矿脉,1,4,6,20,2,400,2,40,2880,106,80601,6,5000203,240,0,
60900,6,s==4|6级矿脉,1,4,6,20,2,400,2,40,2880,106,80601,6,5000203,240,0,
61000,6,s==4|6级矿脉,1,4,6,20,2,400,2,40,2880,106,80601,6,5000203,240,0,
61100,6,s==6|6级巨型矿脉,2,4,6,20,2,400,2,40,2880,106,80601,6,5000213,240,0,
70100,7,s==4|7级矿脉,1,5,6,24,2,400,2,48,3456,107,80701,7,5000204,288,0,
70200,7,s==4|7级矿脉,1,5,6,24,2,400,2,48,3456,107,80701,7,5000204,288,0,
70300,7,s==4|7级矿脉,1,5,6,24,2,400,2,48,3456,107,80701,7,5000204,288,0,
70400,7,s==4|7级矿脉,1,5,6,24,2,400,2,48,3456,107,80701,7,5000204,288,0,
70500,7,s==4|7级矿脉,1,5,6,24,2,400,2,48,3456,107,80701,7,5000204,288,0,
70600,7,s==4|7级矿脉,1,5,6,24,2,400,2,48,3456,107,80701,7,5000204,288,0,
70700,7,s==4|7级矿脉,1,5,6,24,2,400,2,48,3456,107,80701,7,5000204,288,0,
70800,7,s==4|7级矿脉,1,5,6,24,2,400,2,48,3456,107,80701,7,5000204,288,0,
70900,7,s==4|7级矿脉,1,5,6,24,2,400,2,48,3456,107,80701,7,5000204,288,0,
71000,7,s==4|7级矿脉,1,5,6,24,2,400,2,48,3456,107,80701,7,5000204,288,0,
71100,7,s==6|7级巨型矿脉,2,5,6,24,2,400,2,48,3456,107,80701,7,5000213,288,0,
80100,8,s==4|8级矿脉,1,5,6,28,2,400,2,56,4032,108,80801,8,5000204,336,0,
80200,8,s==4|8级矿脉,1,5,6,28,2,400,2,56,4032,108,80801,8,5000204,336,0,
80300,8,s==4|8级矿脉,1,5,6,28,2,400,2,56,4032,108,80801,8,5000204,336,0,
80400,8,s==4|8级矿脉,1,5,6,28,2,400,2,56,4032,108,80801,8,5000204,336,0,
80500,8,s==4|8级矿脉,1,5,6,28,2,400,2,56,4032,108,80801,8,5000204,336,0,
80600,8,s==4|8级矿脉,1,5,6,28,2,400,2,56,4032,108,80801,8,5000204,336,0,
80700,8,s==4|8级矿脉,1,5,6,28,2,400,2,56,4032,108,80801,8,5000204,336,0,
80800,8,s==4|8级矿脉,1,5,6,28,2,400,2,56,4032,108,80801,8,5000204,336,0,
80900,8,s==4|8级矿脉,1,5,6,28,2,400,2,56,4032,108,80801,8,5000204,336,0,
81000,8,s==4|8级矿脉,1,5,6,28,2,400,2,56,4032,108,80801,8,5000204,336,0,
81100,8,s==6|8级巨型矿脉,2,5,6,28,2,400,2,56,4032,108,80801,8,5000213,336,0,
90100,9,s==4|9级矿脉,1,6,6,32,3,400,2,64,4608,109,80901,9,5000205,384,0,
90200,9,s==4|9级矿脉,1,6,6,32,3,400,2,64,4608,109,80901,9,5000205,384,0,
90300,9,s==4|9级矿脉,1,6,6,32,3,400,2,64,4608,109,80901,9,5000205,384,0,
90400,9,s==4|9级矿脉,1,6,6,32,3,400,2,64,4608,109,80901,9,5000205,384,0,
90500,9,s==4|9级矿脉,1,6,6,32,3,400,2,64,4608,109,80901,9,5000205,384,0,
90600,9,s==4|9级矿脉,1,6,6,32,3,400,2,64,4608,109,80901,9,5000205,384,0,
90700,9,s==4|9级矿脉,1,6,6,32,3,400,2,64,4608,109,80901,9,5000205,384,0,
90800,9,s==4|9级矿脉,1,6,6,32,3,400,2,64,4608,109,80901,9,5000205,384,0,
90900,9,s==4|9级矿脉,1,6,6,32,3,400,2,64,4608,109,80901,9,5000205,384,0,
91000,9,s==4|9级矿脉,1,6,6,32,3,400,2,64,4608,109,80901,9,5000205,384,0,
91100,9,s==6|9级巨型矿脉,2,6,6,32,3,400,2,64,4608,109,80901,9,5000213,384,0,
