id,heros%1,heros%2,heros%3,heros%4,heros%5,heros%6,artifactId,artifactSkillLv,
1,22502,21501,22504,22505,22510,,,,
2,23506,21502,23502,21501,24506,,,,
3,25513,25504,25501,25507,24508,,,,
4,24503,24508,24510,25510,25509,,,,
5,2450110,24502,24503,24504,24506,,,,
6,21510,25503,23504,24503,22507,,,,
7,22502,22509,22508,22504,22511,,,,
8,23506,23510,23507,23508,23503,,,,
9,24503,24504,24508,24510,24502,,,,
10,25513,25503,25507,25509,25504,,,,
11,23506,22507,21508,24504,25504,,,,
12,21510,25506,23504,24503,22501,,,,
