id,battleid,offerMoney,hero-fieldA-1,hero-fieldB-1,hero-fieldC-1,hero-fieldA-2,hero-fieldB-2,hero-fieldC-2,hero-fieldA-3,hero-fieldB-3,hero-fieldC-3,hero-fieldA-4,hero-fieldB-4,hero-fieldC-4,
300010,300101,1000,1,2000,101,1,1000,102,3,500,103,4,0,104,
300020,300102,1000,5,2000,101,6,1000,102,7,500,103,8,0,104,
300030,300103,1000,9,2000,101,10,1000,102,11,500,103,12,0,104,
300040,300104,1000,13,2000,101,14,1000,102,15,500,103,16,0,104,
300050,300105,1000,1,2000,101,1,1000,102,3,500,103,4,0,104,
300060,300106,1000,5,2000,101,6,1000,102,7,500,103,8,0,104,
300070,300107,1000,9,2000,101,10,1000,102,11,500,103,12,0,104,
300080,300108,1000,13,2000,101,14,1000,102,15,500,103,16,0,104,
300090,300109,1000,1,2000,101,1,1000,102,3,500,103,4,0,104,
300100,300110,1000,5,2000,101,6,1000,102,7,500,103,8,0,104,
300110,300111,1000,9,2000,101,10,1000,102,11,500,103,12,0,104,
300120,300112,1000,13,2000,101,14,1000,102,15,500,103,16,0,104,
300130,300113,1000,1,2000,101,1,1000,102,3,500,103,4,0,104,
300140,300114,1000,5,2000,101,6,1000,102,7,500,103,8,0,104,
300150,300115,1000,9,2000,101,10,1000,102,11,500,103,12,0,104,
300160,300116,1000,13,2000,101,14,1000,102,15,500,103,16,0,104,
300170,300117,1000,1,2000,101,1,1000,102,3,500,103,4,0,104,
300180,300118,317,5,2000,201,6,1000,202,7,500,203,8,0,204,
300190,300119,318,9,2000,201,10,1000,202,11,500,203,12,0,204,
300200,300120,319,13,2000,201,14,1000,202,15,500,203,16,0,204,
300210,300121,320,1,2000,201,1,1000,202,3,500,203,4,0,204,
300220,300122,321,5,2000,201,6,1000,202,7,500,203,8,0,204,
300230,300123,322,9,2000,201,10,1000,202,11,500,203,12,0,204,
300240,300124,323,13,2000,201,14,1000,202,15,500,203,16,0,204,
300250,300125,324,1,2000,201,1,1000,202,3,500,203,4,0,204,
300260,300126,325,5,2000,201,6,1000,202,7,500,203,8,0,204,
300270,300127,326,9,2000,201,10,1000,202,11,500,203,12,0,204,
300280,300128,327,13,2000,201,14,1000,202,15,500,203,16,0,204,
300290,300129,328,1,2000,201,1,1000,202,3,500,203,4,0,204,
300300,300130,329,5,2000,201,6,1000,202,7,500,203,8,0,204,
