id,name,nationType,playerLv,battleId,
1,s==4|南阳韩胤,1,78|120,400061,
2,s==4|当阳陈震,1,78|120,400062,
3,s==4|汉中曹华,1,78|120,400063,
4,s==4|阴平蒯良,1,78|120,400064,
5,s==4|高昌韩浩,1,78|120,400065,
6,s==5|渔阳司马朗,1,78|120,400066,
7,s==5|雁门武安国,1,78|120,400067,
8,s==4|凉州沮授,1,78|120,400068,
9,s==4|河南张辽,1,78|120,400069,
10,s==4|信都曹休,1,78|120,400070,
11,s==4|河东陈矫,1,78|120,400071,
12,s==4|梓潼张南,1,78|120,400072,
13,s==4|临淄骆统,1,78|120,400073,
14,s==4|渔阳李典,1,78|120,400074,
15,s==4|谯郡马玩,1,78|120,400075,
16,s==4|郡丘周瑜,1,78|120,400076,
17,s==4|南郡曹纯,1,78|120,400077,
18,s==4|益州马超,1,78|120,400078,
19,s==5|江夏司马朗,1,78|120,400079,
20,s==4|兖州袁遗,1,78|120,400080,
21,s==5|寿春孙鲁育,2,78|120,400081,
22,s==4|潼关袁谭,2,78|120,400082,
23,s==4|濮阳曹节,2,78|120,400083,
24,s==4|东莱刘辟,2,78|120,400084,
25,s==4|小沛辛毗,2,78|120,400085,
26,s==4|幽州曹性,2,78|120,400086,
27,s==4|江阳牛辅,2,78|120,400087,
28,s==4|昌邑孙乾,2,78|120,400088,
29,s==4|戈阳高升,2,78|120,400089,
30,s==4|雍州张宝,2,78|120,400090,
31,s==4|信都杨秋,2,78|120,400091,
32,s==4|临湘张纮,2,78|120,400092,
33,s==4|乐浪孔融,2,78|120,400093,
34,s==4|幽州吕公,2,78|120,400094,
35,s==4|巴郡凌统,2,78|120,400095,
36,s==4|城阳陈到,2,78|120,400096,
37,s==4|益州魏氏,2,78|120,400097,
38,s==4|雍州张超,2,78|120,400098,
39,s==4|朱崖荀谌,2,78|120,400099,
40,s==4|陈县陆逊,2,78|120,400100,
41,s==4|青州徐晃,3,78|120,400101,
42,s==4|毗陵审配,3,78|120,400102,
43,s==4|章陵祝融,3,78|120,400103,
44,s==4|淮阴穆顺,3,78|120,400104,
45,s==4|襄平焦触,3,78|120,400105,
46,s==4|雒县周泰,3,78|120,400106,
47,s==4|新城文聘,3,78|120,400107,
48,s==4|汜水大乔,3,78|120,400108,
49,s==4|沛国郭图,3,78|120,400109,
50,s==4|富春邹氏,3,78|120,400110,
51,s==4|居延糜芳,3,78|120,400111,
52,s==4|平寿于禁,3,78|120,400112,
53,s==4|琅琊审配,3,78|120,400113,
54,s==4|李阳李通,3,78|120,400114,
55,s==5|交州卞夫人,3,78|120,400115,
56,s==4|荆州虞翻,3,78|120,400116,
57,s==4|沧海王修,3,78|120,400117,
58,s==4|乐陵骆统,3,78|120,400118,
59,s==4|泰山邹氏,3,78|120,400119,
60,s==5|上谷诸葛果,3,78|120,400120,
61,s==4|襄平王修,1,78|120,400121,
62,s==4|安城邓茂,1,78|120,400122,
63,s==5|荆州胡车儿,1,78|120,400123,
64,s==4|兖州樊氏,1,78|120,400124,
65,s==4|中山赵云,1,78|120,400125,
66,s==4|宜都吕旷,1,78|120,400126,
67,s==4|汝南孙乾,1,78|120,400127,
68,s==5|荆州糜夫人,1,78|120,400128,
69,s==4|夷道高升,1,78|120,400129,
70,s==4|东郡杨仪,1,78|120,400130,
71,s==4|乐陵虞翻,1,78|120,400131,
72,s==4|宛温夏恂,1,78|120,400132,
73,s==4|鄱阳陈震,1,78|120,400133,
74,s==4|西平甄宓,1,78|120,400134,
75,s==4|赤壁马铁,1,78|120,400135,
76,s==4|真定王异,1,78|120,400136,
77,s==5|陈郡孙尚香,1,78|120,400137,
78,s==4|安风雷铜,1,78|120,400138,
79,s==4|济南费祎,1,78|120,400139,
80,s==4|兖州赵弘,1,78|120,400140,
81,s==4|青州程昱,2,78|120,400141,
82,s==5|幽州诸葛诞,2,78|120,400142,
83,s==4|官渡审配,2,78|120,400143,
84,s==4|陈留伏寿,2,78|120,400144,
85,s==4|潼关孔氏,2,78|120,400145,
86,s==4|河南韩暨,2,78|120,400146,
87,s==4|长沙陈琳,2,78|120,400147,
88,s==4|乐陵丁仪,2,78|120,400148,
89,s==4|济南周鲂,2,78|120,400149,
90,s==4|怀县荀攸,2,78|120,400150,
91,s==4|并州满宠,2,78|120,400151,
92,s==4|范阳丁奉,2,78|120,400152,
93,s==5|彭城蔡文姬,2,78|120,400153,
94,s==4|代郡邴原,2,78|120,400154,
95,s==4|荆州黄祖,2,78|120,400155,
96,s==4|怀县伍孚,2,78|120,400156,
97,s==4|凉州严氏,2,78|120,400157,
98,s==5|临浣夏侯尚,2,78|120,400158,
99,s==4|街亭宋宪,2,78|120,400159,
100,s==4|葭萌陈琳,2,78|120,400160,
101,s==4|江夏田畴,3,78|120,400161,
102,s==4|东武俞涉,3,78|120,400162,
103,s==4|郴县牛辅,3,78|120,400163,
104,s==4|梓潼颜良,3,78|120,400164,
105,s==4|朱提韩忠,3,78|120,400165,
