id,name,exp,bufferExp,winTimes,allTimes,defeatExp,defeatPoint,winAward-type-1,winAward-id-1,winAward-num-1,winAward-type-2,winAward-id-2,winAward-num-2,defeatAward-type-1,defeatAward-id-1,defeatAward-num-1,defeatAward-type-2,defeatAward-id-2,defeatAward-num-2,firstStepAward-type-1,firstStepAward-id-1,firstStepAward-num-1,firstStepAward-type-2,firstStepAward-id-2,firstStepAward-num-2,firstStepAward-type-3,firstStepAward-id-3,firstStepAward-num-3,stepReset,
1,s==5|倔强青铜Ⅰ,30,0,1,1,15,15,1,19,35,2,1007,1,1,19,25,2,1001,14,,,,,,,,,,1,
2,s==5|秩序白银Ⅰ,50,18,1,1,15,15,1,19,40,2,1007,1,1,19,30,2,1001,14,2,1007,3,1,8,150000,1,19,250,1,
3,s==5|秩序白银Ⅱ,70,10,1,1,15,15,1,19,40,2,1007,1,1,19,30,2,1001,14,2,1007,5,1,8,200000,1,19,350,1,
4,s==5|荣耀黄金Ⅰ,90,10,1,1,15,15,1,19,45,2,1007,1,1,19,35,2,1001,14,2,3002,30,1,8,250000,1,19,450,1,
5,s==5|荣耀黄金Ⅱ,110,10,1,1,15,15,1,19,45,2,1007,1,1,19,35,2,1001,14,2,1003,1,1,8,300000,1,19,550,1,
6,s==5|荣耀黄金Ⅲ,130,10,1,1,15,15,1,19,45,2,1007,1,1,19,35,2,1001,14,2,1003,1,1,8,350000,1,19,650,1,
7,s==5|尊贵白金Ⅰ,150,10,2,3,15,15,1,19,50,2,1007,1,1,19,40,2,1001,14,2,1014,1,1,8,400000,1,19,750,2,
8,s==5|尊贵白金Ⅱ,170,10,2,3,15,15,1,19,50,2,1007,1,1,19,40,2,1001,14,2,1003,2,1,8,450000,1,19,850,3,
9,s==5|尊贵白金Ⅲ,190,10,2,3,15,15,1,19,50,2,1007,1,1,19,40,2,1001,14,2,1003,2,1,8,500000,1,19,950,3,
10,s==5|永恒钻石Ⅰ,210,10,2,3,15,15,1,19,55,2,1007,1,1,19,45,2,1001,14,2,1014,1,1,8,550000,1,19,1050,4,
11,s==5|永恒钻石Ⅱ,230,10,2,3,15,15,1,19,55,2,1007,1,1,19,45,2,1001,14,2,1052,50,1,8,600000,1,19,1150,5,
12,s==5|永恒钻石Ⅲ,250,10,2,3,15,15,1,19,55,2,1007,1,1,19,45,2,1001,14,2,1052,50,1,8,700000,1,19,1250,6,
13,s==5|永恒钻石Ⅳ,270,10,2,3,15,15,1,19,55,2,1007,1,1,19,45,2,1001,14,2,1052,100,1,8,800000,1,19,1350,6,
14,s==5|至尊星耀Ⅰ,290,10,2,3,15,15,1,19,60,2,1007,1,1,19,50,2,1001,14,2,4030,1,1,8,1000000,1,19,1450,7,
15,s==5|至尊星耀Ⅱ,310,10,2,3,15,15,1,19,60,2,1007,1,1,19,50,2,1001,14,2,3008,10,1,8,1200000,1,19,1550,8,
16,s==5|至尊星耀Ⅲ,330,10,2,3,15,15,1,19,60,2,1007,1,1,19,50,2,1001,14,2,3008,20,1,8,1400000,1,19,1650,9,
17,s==5|至尊星耀Ⅳ,350,10,2,3,15,15,1,19,60,2,1007,1,1,19,50,2,1001,14,2,3008,20,1,8,1600000,1,19,1750,9,
18,s==5|至尊王者Ⅰ,370,10,2,3,15,15,1,19,65,2,1007,1,1,19,55,2,1001,14,2,4040,1,1,8,2000000,1,19,1850,10,
19,s==5|至尊王者Ⅱ,390,10,2,3,15,15,1,19,65,2,1007,1,1,19,55,2,1001,14,2,1004,1,1,8,2400000,1,19,1950,11,
20,s==5|至尊王者Ⅲ,410,10,2,3,15,15,1,19,65,2,1007,1,1,19,55,2,1001,14,2,1004,1,1,8,2800000,1,19,2050,12,
21,s==5|至尊王者Ⅳ,430,10,2,3,15,15,1,19,65,2,1007,1,1,19,55,2,1001,14,2,1004,1,1,8,3200000,1,19,2150,13,
22,s==5|至尊王者Ⅴ,450,10,2,3,15,15,1,19,65,2,1007,1,1,19,55,2,1001,14,2,1004,1,1,8,3600000,1,19,2250,13,
