petId,priority,isShow,rewards-type-1,rewards-id-1,rewards-value-1,
91001,100,1,1,9,50,
91002,99,1,1,9,50,
91003,98,1,1,9,50,
91004,97,1,1,9,50,
91005,96,1,1,9,50,
91006,95,1,1,9,50,
91007,94,1,1,9,50,
91008,93,1,1,9,50,
91009,92,1,1,9,50,
91010,91,1,1,9,50,
91011,90,1,1,9,50,
91012,89,1,1,9,50,
91013,88,1,1,9,50,
91014,87,1,1,9,50,
91015,86,1,1,9,50,
91016,85,1,1,9,50,
91017,84,1,1,9,50,
91018,83,1,1,9,50,
92001,82,1,1,9,25,
92002,81,1,1,9,25,
92003,80,1,1,9,25,
92004,79,1,1,9,25,
92005,78,1,1,9,25,
92006,77,1,1,9,25,
92007,76,1,1,9,25,
92008,75,1,1,9,25,
92009,74,1,1,9,25,
92010,73,1,1,9,25,
92011,72,1,1,9,25,
92012,71,1,1,9,25,
92013,70,1,1,9,25,
92014,69,1,1,9,25,
92015,68,1,1,9,25,
92016,67,1,1,9,25,
92017,66,1,1,9,25,
92018,65,1,1,9,25,
93001,64,1,1,9,10,
93002,63,1,1,9,10,
93003,62,1,1,9,10,
93004,61,1,1,9,10,
93005,60,1,1,9,10,
93006,59,1,1,9,10,
93007,58,1,1,9,10,
93008,57,1,1,9,10,
93009,56,1,1,9,10,
93010,55,1,1,9,10,
93011,54,1,1,9,10,
93012,53,1,1,9,10,
93013,52,1,1,9,10,
93014,51,1,1,9,10,
93015,50,1,1,9,10,
93016,49,1,1,9,10,
93017,48,1,1,9,10,
93018,47,1,1,9,10,
