id,type,itemId,name,skillId,icon,quality,skillProperty-type-1,skillProperty-way-1,skillProperty-value-1,detail,power,needLevel,
1001,1,1003,s==16|Công Kích Sơ Cấp,2240131,2900101,4,1,0,50,s==23| 50% Công Kích Thần Thú,100,50,
1002,1,1003,s==16|Công Kích Sơ Cấp,2240132,2900101,4,1,0,50,s==23| 51% Công Kích Thần Thú,200,50,
1003,1,1003,s==16|Công Kích Sơ Cấp,2240133,2900101,4,1,0,50,s==23| 52% Công Kích Thần Thú,300,50,
1004,1,1003,s==16|Công Kích Sơ Cấp,2240331,2900101,4,1,0,50,s==23| 53% Công Kích Thần Thú,400,50,
1005,1,1003,s==16|Công Kích Sơ Cấp,,2900101,4,1,0,50,s==23| 54% Công Kích Thần Thú,500,50,
1006,1,1003,s==16|Công Kích Sơ Cấp,,2900101,4,1,0,50,s==23| 55% Công Kích Thần Thú,600,50,
1007,1,1003,s==16|Công Kích Sơ Cấp,,2900101,4,1,0,50,s==23| 56% Công Kích Thần Thú,700,50,
1008,1,1003,s==16|Công Kích Sơ Cấp,,2900101,4,1,0,50,s==23| 57% Công Kích Thần Thú,800,50,
1009,1,1003,s==16|Công Kích Sơ Cấp,,2900101,4,1,0,50,s==23| 58% Công Kích Thần Thú,900,50,
1010,1,1003,s==16|Công Kích Sơ Cấp,,2900101,4,1,0,50,s==23| 59% Công Kích Thần Thú,1000,50,
1011,1,1003,s==16|Công Kích Sơ Cấp,,2900101,4,1,0,50,s==23| 60% Công Kích Thần Thú,1100,50,
1012,1,1003,s==16|Công Kích Sơ Cấp,,2900101,4,1,0,50,s==23| 61% Công Kích Thần Thú,1200,50,
1013,1,1003,s==16|Công Kích Sơ Cấp,,2900101,4,1,0,50,s==23| 62% Công Kích Thần Thú,1300,50,
1014,1,1003,s==16|Công Kích Sơ Cấp,,2900101,4,1,0,50,s==23| 63% Công Kích Thần Thú,1400,50,
1015,1,1003,s==16|Công Kích Sơ Cấp,,2900101,4,1,0,50,s==23| 64% Công Kích Thần Thú,1500,50,
1016,1,1003,s==16|Công Kích Sơ Cấp,,2900101,4,1,0,50,s==23| 65% Công Kích Thần Thú,1600,50,
1017,1,1003,s==16|Công Kích Sơ Cấp,,2900101,4,1,0,50,s==23| 66% Công Kích Thần Thú,1700,50,
1018,1,1003,s==16|Công Kích Sơ Cấp,,2900101,4,1,0,50,s==23| 67% Công Kích Thần Thú,1800,50,
1019,1,1003,s==16|Công Kích Sơ Cấp,,2900101,4,1,0,50,s==23| 68% Công Kích Thần Thú,1900,50,
2001,2,1003,s==16|Đả Kích Chí Mạng,51011,2900101,5,,,,s==46|Bản thân tại trận， mỗi lượt tăng 10% công kích,2000,50,
2002,2,1003,s==16|Đả Kích Chí Mạng,51011,2900101,5,,,,s==46|Bản thân tại trận， mỗi lượt tăng 10% công kích,2100,50,
