id,nextId,desc,needLevel,needStar,flyLevel,atkGrowUp,hpGrowUp,needItemsFun-type-1,needItemsFun-id-1,needItemsFun-value-1,needPetFun-type-1,needPetFun-star-1,needPetFun-num-1,needPetFun-type-2,needPetFun-star-2,needPetFun-num-2,needPetFun-type-3,needPetFun-star-3,needPetFun-num-3,hpFlyAward,atkFlyAward,exclusiveBuffId,activeBuffId,retrieve-type-1,retrieve-id-1,retrieve-num-1,
10001,10002,s==21|Đoan Điểu Nguyên Linh,100,9,1,4000,50000,2,10015,50,1,6,1,0,6,1,,,,50000,4000,2150831,2150831,,,,
10002,10003,s==18|Đoan Điểu Độ Thánh,150,11,2,6000,70000,2,10015,100,1,8,1,0,8,2,,,,70000,6000,2150831,2150831,,,,
10003,0,s==18|Đoan Điểu Hóa Thần,200,13,3,10000,120000,2,10015,150,1,11,1,0,11,2,,,,120000,10000,2150831,2150831,,,,
20001,20002,s==20|Ứng Long Nguyên Linh,100,9,1,4000,50000,2,10015,50,2,6,1,0,6,1,,,,50000,4000,2150831,2150831,,,,
20002,20003,s==17|Ứng Long Độ Thánh,150,11,2,6000,70000,2,10015,100,2,8,1,0,8,2,,,,70000,6000,2150831,2150831,,,,
20003,0,s==17|Ứng Long Hóa Thần,200,13,3,10000,120000,2,10015,150,2,11,1,0,11,2,,,,120000,10000,2150831,2150831,,,,
30001,30002,s==22|Thanh Long Nguyên Linh,100,9,1,4000,50000,2,10015,50,4,6,1,0,6,1,,,,50000,4000,2150831,2150831,,,,
30002,30003,s==19|Thanh Long Độ Thánh,150,11,2,6000,70000,2,10015,100,4,8,1,0,8,2,,,,70000,6000,2150831,2150831,,,,
30003,0,s==19|Thanh Long Hóa Thần,200,13,3,10000,120000,2,10015,150,4,11,1,0,11,2,,,,120000,10000,2150831,2150831,,,,
40001,40002,s==19|Bạch Hổ Nguyên Linh,100,9,1,4000,50000,2,10015,50,1,6,1,0,6,1,,,,50000,4000,2150831,2150831,,,,
40002,40003,s==16|Bạch Hổ Độ Thánh,150,11,2,6000,70000,2,10015,100,1,8,1,0,8,2,,,,70000,6000,2150831,2150831,,,,
40003,0,s==16|Bạch Hổ Hóa Thần,200,13,3,10000,120000,2,10015,150,1,11,1,0,11,2,,,,120000,10000,2150831,2150831,,,,
50001,50002,s==20|Chu Tước Nguyên Linh,100,9,1,4000,50000,2,10015,50,3,6,1,0,6,1,,,,50000,4000,2150831,2150831,,,,
50002,50003,s==17|Chu Tước Độ Thánh,150,11,2,6000,70000,2,10015,100,3,8,1,0,8,2,,,,70000,6000,2150831,2150831,,,,
50003,0,s==17|Chu Tước Hóa Thần,200,13,3,10000,120000,2,10015,150,3,11,1,0,11,2,,,,120000,10000,2150831,2150831,,,,
60001,60002,s==20|Huyền Vũ Nguyên Linh,100,9,1,4000,50000,2,10015,50,2,6,1,0,6,1,,,,50000,4000,2150831,2150831,,,,
60002,60003,s==17|Huyền Vũ Độ Thánh,150,11,2,6000,70000,2,10015,100,2,8,1,0,8,2,,,,70000,6000,2150831,2150831,,,,
60003,0,s==17|Huyền Vũ Hóa Thần,200,13,3,10000,120000,2,10015,150,2,11,1,0,11,2,,,,120000,10000,2150831,2150831,,,,
70001,70002,s==19|Hỗn Độn Nguyên Linh,100,9,1,4000,50000,2,10015,50,1,6,1,0,6,1,,,,50000,4000,2150831,2150831,,,,
70002,70003,s==16|Hỗn Độn Độ Thánh,150,11,2,6000,70000,2,10015,100,1,8,1,0,8,2,,,,70000,6000,2150831,2150831,,,,
70003,0,s==16|Hỗn Độn Hóa Thần,200,13,3,10000,120000,2,10015,150,1,11,1,0,11,2,,,,120000,10000,2150831,2150831,,,,
80001,80002,s==18|Cửu Vĩ Nguyên Linh,100,9,1,4000,50000,2,10015,50,3,6,1,0,6,1,,,,50000,4000,2150831,2150831,,,,
80002,80003,s==15|Cửu Vĩ Độ Thánh,150,11,2,6000,70000,2,10015,100,3,8,1,0,8,2,,,,70000,6000,2150831,2150831,,,,
80003,0,s==15|Cửu Vĩ Hóa Thần,200,13,3,10000,120000,2,10015,150,3,11,1,0,11,2,,,,120000,10000,2150831,2150831,,,,
90001,90002,s==20|Toan Nhi Nguyên Linh,100,9,1,4000,50000,2,10015,50,2,6,1,0,6,1,,,,50000,4000,2150831,2150831,,,,
90002,90003,s==17|Toan Nhi Độ Thánh,150,11,2,6000,70000,2,10015,100,2,8,1,0,8,2,,,,70000,6000,2150831,2150831,,,,
90003,0,s==17|Toan Nhi Hóa Thần,200,13,3,10000,120000,2,10015,150,2,11,1,0,11,2,,,,120000,10000,2150831,2150831,,,,
