id,type,name,
1001,1,s==9|Lạc Dương,
1002,1,s==9|Trường An,
1003,1,s==11|Kiến Nghiệp,
1004,1,s==7|Từ Châu,
1005,1,s==8|Thành Đô,
1006,1,s==9|Hứa Xương,
1007,1,s==8|Ích Châu,
1008,1,s==9|Xích Bích,
1009,1,s==9|Kinh Châu,
1010,1,s==9|Trường Sa,
1011,1,s==10|Lương Châu,
1012,1,s==6|U Châu,
1013,1,s==11|Tương Dương,
1014,1,s==9|Dặc Thành,
1015,1,s==9|Hán Trung,
1016,1,s==9|Oản Thành,
1017,1,s==11|Giang Dương,
1018,1,s==7|Ba Đông,
1019,1,s==9|Quảng Hán,
1020,1,s==7|Vấn Sơn,
1021,1,s==7|Âm Bình,
1022,1,s==11|Thượng Dung,
1023,1,s==9|Tân Thành,
1024,1,s==5|Vũ Đô,
1025,1,s==8|Lâm Động,
1026,1,s==8|Tử Thông,
1027,1,s==9|Ngụy Hưng,
1028,1,s==10|Vĩnh Xương,
1029,1,s==8|Giang Hạ,
1030,1,s==8|Thọ Xuân,
1031,1,s==9|Phụ Dương,
1032,1,s==8|Sài Tang,
1033,1,s==9|Nam Dương,
1034,1,s==8|Nam Quận,
1035,1,s==9|Quý Dương,
1036,1,s==7|Vũ Lăng,
1037,1,s==11|Chương Lăng,
1038,1,s==8|Dận Châu,
1039,1,s==8|Ung Châu,
1040,1,s==10|Thanh Châu,
1041,1,s==7|Kỳ Châu,
1042,1,s==6|Ô Hoàn,
1043,1,s==7|Vũ Châu,
1044,1,s==10|Dương Châu,
1045,1,s==10|Lương Châu,
1046,1,s==6|Kỳ Sơn,
1047,1,s==7|Di Lăng,
1048,1,s==7|Quan Độ,
1049,1,s==11|Đương Dương,
1050,1,s==7|Hạ Khẩu,
1051,1,s==5|Hạ Tê,
1052,1,s==8|Hoa Dung,
1053,1,s==9|Phàn Khẩu,
1054,1,s==10|Long Trung,
1055,1,s==5|Ô Lâm,
1056,1,s==6|Tân Dã,
1057,1,s==9|Ỷng Xuyên,
1058,1,s==8|Tiểu Bôi,
1059,1,s==5|Ô Sào,
1060,1,s==10|Tuyền Lăng,
1061,1,s==8|Bồ Dương,
1062,1,s==6|Hội Kê,
1063,1,s==8|Phú Xuân,
1064,1,s==10|Thường Sơn,
1065,1,s==8|Lang Nha,
1066,1,s==7|Bắc Hải,
1067,1,s==8|Trần Lưu,
1068,1,s==11|Bình Nguyên,
1069,1,s==7|Nhữ Nam,
1070,1,s==10|Thương Ngô,
1071,1,s==6|Tà Cốc,
1072,1,s==8|Lũng Tây,
1073,1,s==10|Thiên Thủy,
1074,1,s==7|Hà Đông,
1075,1,s==9|Hồng Nông,
1076,1,s==6|Hà Nội,
1077,1,s==6|Hà Nam,
1078,1,s==9|Đông Quận,
1079,1,s==8|Thái Sơn,
1080,1,s==9|Sơn Dương,
1081,1,s==10|Nhâm Thành,
1082,1,s==6|Tế Bắc,
1083,1,s==5|Tế Âm,
1084,1,s==7|Dự Châu,
1085,1,s==9|Trần Quận,
1086,1,s==8|Bôi Quốc,
1087,1,s==10|Lương Quốc,
1088,1,s==9|Kiều Quận,
1089,1,s==9|Qua Dương,
1090,1,s==8|An Phong,
1091,1,s==7|Lỗ Quận,
1092,1,s==8|Hoài Nam,
1093,1,s==8|Lư Giang,
1094,1,s==6|Tế Nam,
1095,1,s==6|An Lạc,
1096,1,s==7|Tề Quốc,
1097,1,s==8|Đông Lai,
1098,1,s==11|Thành Dương,
1099,1,s==9|Đông Quản,
1100,1,s==10|Bành Thành,
1101,1,s==9|Ngụy Quận,
1102,1,s==10|Quảng Bình,
1103,1,s==6|Cự Lộc,
1104,1,s==10|Triệu Quốc,
1105,1,s==11|Nghiêm Châu,
1106,1,s==10|Thượng Cốc,
1107,1,s==10|Phạm Dương,
1108,1,s==8|Yên Quốc,
1109,1,s==8|Dư Dương,
1110,1,s==8|Lạc Lãng,
3001,3,s==7|Tuân Úc,
3002,3,s==7|Báo Tín,
3003,3,s==10|Thái Dương,
3004,3,s==8|Thái Mạo,
3005,3,s==9|Tào Thuần,
3006,3,s==8|Tào Hồng,
3007,3,s==8|Tào Nhân,
3008,3,s==8|Tào Tính,
3009,3,s==7|Tào Hưu,
3010,3,s==10|Tào Chương,
3011,3,s==8|Trần Đáo,
3012,3,s==9|Trần Đăng,
3013,3,s==9|Trần Cung,
3014,3,s==7|Trần Kỷ,
3015,3,s==9|Trần Hiệu,
3016,3,s==8|Trần Lâm,
3017,3,s==9|Trần Quần,
3018,3,s==7|Trần Vũ,
3019,3,s==9|Trần Chấn,
3020,3,s==10|Thành Liêm,
3021,3,s==10|Thành Nghi,
3022,3,s==9|Trình Phổ,
3023,3,s==11|Trình Chiến,
3024,3,s==9|Trình Dục,
3025,3,s==14|Trình Viễn Chí,
3026,3,s==15|Thuần Vu Khương,
3027,3,s==9|Thôi Ngôn,
3028,3,s==7|Đặng Ai,
3029,3,s==8|Đặng Mậu,
3030,3,s==7|Điển Vi,
3031,3,s==10|Đinh Phụng,
3032,3,s==10|Đinh Chiến,
3033,3,s==9|Đinh Nghi,
3034,3,s==9|Đổng Thừa,
3035,3,s==10|Đổng Chiêu,
3036,3,s==10|Đổng Chính,
3037,3,s==9|Đổng Trác,
3038,3,s==6|Đỗ Tập,
3039,3,s==10|Pháp Chính,
3040,3,s==8|Phàn Sầu,
3041,3,s==5|Phí Y,
3042,3,s==8|Phùng Kỷ,
3043,3,s==8|Cam Ninh,
3044,3,s==8|Cao Ninh,
3045,3,s==7|Cao Lãn,
3046,3,s==9|Cao Thăng,
3047,3,s==9|Cao Thuận,
3048,3,s==13|Công Tôn Toản,
3049,3,s==7|Cung Đô,
3050,3,s==6|Cố Ung,
3051,3,s==9|Quan Bình,
3052,3,s==9|Quan Sách,
3053,3,s==9|Quan Hưng,
3054,3,s==7|Quan Vũ,
3055,3,s==8|Quản Hãi,
3056,3,s==14|Quán Khâu Kiệm,
3057,3,s==10|Quách Hoài,
3058,3,s==11|Quách Chiến,
3059,3,s==8|Quách Tế,
3060,3,s==8|Quách Đồ,
3061,3,s==9|Hàn Đương,
3062,3,s==8|Quách Đồ,
3063,3,s==7|Hàn Hạo,
