type,name,num,timeLeft,triggerLimit,istrigger,numberOfTriggers,buyAllTriggerTimes,giftType,conditions-key-1,conditions-val-1,conditions-key-2,conditions-val-2,conditions-key-3,conditions-val-3,conditions-key-4,conditions-val-4,conditions-key-5,conditions-val-5,conditions-key-6,conditions-val-6,
1,s==23|Ngũ Tinh Dưỡng Thành Lễ,1,7200,1,1,1,2,1,1,5,3,5,4,5,5,5,,,,,
2,s==23|Lục Tinh Dưỡng Thành Lễ,1,14400,1,1,1,,1,4,6,5,6,,,,,,,,,
3,s==24|Thất Tinh Dưỡng Thành Lễ,1,28800,1,1,1,,1,4,7,,,,,,,,,,,
4,s==23|Bát Tinh Dưỡng Thành Lễ,1,57600,1,1,1,,1,4,8,,,,,,,,,,,
5,s==23|Cửu Tinh Dưỡng Thành Lễ,1,86400,1,1,1,,1,4,9,,,,,,,,,,,
6,s==24|Thập Tinh Dưỡng Thành Lễ,1,115200,1,1,1,,1,4,10,,,,,,,,,,,
7,s==26|Lễ Phát Triển Cấp Mười Một,1,144000,1,1,1,,1,4,11,,,,,,,,,,,
8,s==26|Lễ Phát Triển Cấp Mười Hai,1,172800,1,1,1,,1,4,12,,,,,,,,,,,
9,s==25|Lễ Phát Triển Cấp Mười Ba,1,201600,1,1,1,,1,4,13,,,,,,,,,,,
200,s==20|Lễ Phát Triển Kỳ Mưu,1,172800,2,1,2,,2,8,20,,,,,,,,,,,
201,s==20|Lễ Phát Triển Kỳ Mưu,1,172800,2,1,2,,2,8,40,,,,,,,,,,,
202,s==20|Lễ Phát Triển Kỳ Mưu,1,172800,2,1,2,,2,8,60,,,,,,,,,,,
203,s==23|Lễ Phát Triển Phó Tướng,1,172800,2,1,2,,2,9,2,,,,,,,,,,,
204,s==23|Lễ Phát Triển Phó Tướng,1,172800,2,1,2,,2,9,3,,,,,,,,,,,
205,s==23|Lễ Phát Triển Phó Tướng,1,172800,2,1,2,,2,9,4,,,,,,,,,,,
206,s==33|Lễ Phát Triển Phụ Kiện Tối Thượng,1,172800,2,1,2,,2,10,2,,,,,,,,,,,
207,s==30|Lễ Phát Triển Phụ Kiện Hào Hoa,1,172800,2,1,2,,2,10,3,,,,,,,,,,,
208,s==45|Lễ Phát Triển Phụ Kiện Tối Thượng Thượng Đẳng,1,172800,2,1,2,,2,10,4,,,,,,,,,,,
209,s==32|Lễ Quà Hảo Hán Mỹ Nhân Tuyệt Bản,1,172800,2,1,2,,2,11,20,,,,,,,,,,,
210,s==35|Lễ Quà Mỹ Nhân Tuyệt Bản Tối Thượng,1,172800,2,1,2,,2,11,20,,,,,,,,,,,
211,s==32|Lễ Quà Hảo Hán Mỹ Nhân Tuyệt Bản,1,172800,2,1,2,,2,11,50,,,,,,,,,,,
212,s==35|Lễ Quà Mỹ Nhân Tuyệt Bản Tối Thượng,1,172800,2,1,2,,2,11,50,,,,,,,,,,,
217,s==35|Lễ Quà Hào Hùng Chiến Hồn Tuyệt Bản,1,172800,2,1,2,,2,13,20,,,,,,,,,,,
218,s==37|Lễ Quà Chiến Hồn Tuyệt Bản Tối Thượng,1,172800,2,1,2,,2,13,30,,,,,,,,,,,
