star,rewards-type-1,rewards-id-1,rewards-value-1,rewards-type-2,rewards-id-2,rewards-value-2,rewards-type-3,rewards-id-3,rewards-value-3,
1,1,10,100,1,14,1,,,,
2,1,10,200,2,1001,2,1,14,2,
3,1,10,400,2,1001,10,1,14,10,
4,1,10,1000,2,1001,25,1,14,25,
5,1,10,5000,2,1001,250,1,14,250,
6,1,10,6000,2,1001,1500,1,14,1500,
7,1,10,8000,2,1001,2500,1,14,2500,
8,1,10,10000,2,1001,4750,1,14,4750,
9,1,10,12000,2,1001,7000,1,14,7000,
10,1,10,14000,2,1001,16000,1,14,16000,
11,1,10,18000,2,1001,24500,1,14,24500,
12,1,10,22000,2,1001,42000,1,14,42000,
13,1,10,25000,2,1001,66500,1,14,66500,
14,1,10,30000,2,1001,91000,1,14,91000,
