id,prayId,name,pos,count,pro,groupId,
1,1,s==9|Trên trái,1,0,190,107,
2,1,s==17|Trên (Đại Thưởng),2,1,30,102,
3,1,s==9|Trên phải,3,0,185,101,
4,1,s==4|Phải,4,1,120,103,
5,1,s==9|Phải dưới,5,0,150,101,
6,1,s==4|Dưới,6,1,50,104,
7,1,s==9|Dưới trái,7,0,155,101,
8,1,s==4|Trái,8,1,120,105,
9,2,s==9|Trên trái,1,0,320,206,
10,2,s==17|Trên (Đại Thưởng),2,1,15,202,
11,2,s==9|Trên phải,3,0,75,207,
12,2,s==4|Phải,4,1,100,203,
13,2,s==9|Phải dưới,5,0,120,208,
14,2,s==4|Dưới,6,1,140,204,
15,2,s==9|Dưới trái,7,0,70,201,
16,2,s==4|Trái,8,1,160,205,
