id,taskName,needLevel,lvLimit,target-type-1,target-id-1,target-value-1,target-type-2,target-id-2,target-value-2,target-type-3,target-id-3,target-value-3,prestigeid,taskDesc,
195350,s==20|Thục Hán trung nghĩa,1,200,337,10,1,,,,,,,19535,s==55|Nuôi dưỡng tướng quân thuộc Thục quốc bất kỳ đạt 10 sao,
195360,s==18|Giang Đông Thủy Sư,1,200,338,10,1,,,,,,,19536,s==54|Nuôi dưỡng tướng quân thuộc Ngô quốc bất kỳ đạt 10 sao,
195370,s==17|Ngụy vũ bá nghiệp,1,200,336,10,1,,,,,,,19537,s==55|Nuôi dưỡng tướng quân thuộc Ngụy quốc bất kỳ đạt 10 sao,
195380,s==19|Tiến hóa chuyên gia,1,200,612,0,1000,,,,,,,19538,s==36|Thần bí thương điếm làm mới 1000 lần,
195390,s==14|Kiếm lậu vương,1,200,392,0,500,,,,,,,19539,s==43|Tào vận phong vân tích lũy đánh bắt 500 lần,
195400,s==13|Dã tỉ tất báo,1,200,613,0,100,,,,,,,19540,s==39|Tào vận phong vân trung báo thù 100 lần,
195420,s==16|Âu hoàng phó thể,1,200,615,0,1,,,,,,,19542,s==75|Đồng thời nhận được tướng Thần Ma 5 sao trong lần Tầm Bảo cao cấp cùng lượt,
195430,s==20|Đồng Quách xuân thâm,1,200,518,0,2000,,,,,,,19543,s==41|Gặp gỡ mỹ nhân tại Đồng Quạc Đài 2000 lần,
195440,s==17|Thắng hữu như vân,1,200,343,0,125,,,,,,,19544,s==25|Số lượng bằng hữu đạt 125,
195450,s==20|Thạch phá thiên kinh,1,200,397,15,5,,,,,,,19545,s==53|Thành công thách đấu mỏ cấp 15 đứng đầu 5 toàn server,
195460,s==20|Thiết trù thành châm,1,200,397,14,5,,,,,,,19546,s==53|Thành công thách đấu mỏ cấp 14 đứng đầu 5 toàn server,
195480,s==17|Mộ kim tiên phong,1,200,616,0,1000,,,,,,,19548,s==37|Mộ kim hiệu úy đạt 1000 tầng thu được,
195490,s==14|Tam quán vương,1,200,617,3,1,,,,,,,19549,s==47|Thiên thang xếp hạng liên tiếp 3 lần đạt tầng 1,
195520,s==15|Trợ nhân vi lạc,1,200,618,0,1000,,,,,,,19552,s==52|Thiên lý đơn kỵ chi viện tướng quân bị thuê 1000 lần,
195730,s==16|Liệu sự như thần,1,200,631,0,20,,,,,,,19573,s==63|Dự đoán chính xác toàn bộ trận đấu trong mùa giải Đại Hội Bỉ Võ,
