id,name,groupType,areanShow,replaceGrouptype,
2000,s==2|北京,1,s==2|cn,,
2001,s==2|上海,2,s==2|cn,,
2002,s==2|广东,5,s==2|cn,,
2003,s==2|重庆,6,s==2|cn,,
2004,s==2|天津,1,s==2|cn,,
2005,s==2|江苏,2,s==2|cn,,
2006,s==2|浙江,2,s==2|cn,,
2007,s==2|河北,1,s==2|cn,,
2008,s==2|福建,2,s==2|cn,,
2009,s==2|江西,2,s==2|cn,,
2010,s==2|山东,2,s==2|cn,,
2011,s==2|安徽,2,s==2|cn,,
2012,s==2|河南,4,s==2|cn,,
2013,s==2|辽宁,3,s==2|cn,,
2014,s==2|湖北,4,s==2|cn,,
2015,s==2|湖南,4,s==2|cn,,
2016,s==2|海南,5,s==2|cn,,
2017,s==2|四川,6,s==2|cn,,
2018,s==2|贵州,6,s==2|cn,,
2019,s==3|黑龙江,3,s==2|cn,,
2020,s==2|广西,5,s==2|cn,,
2021,s==2|山西,1,s==2|cn,,
2022,s==2|吉林,3,s==2|cn,,
2023,s==2|云南,6,s==2|cn,,
2024,s==2|陕西,7,s==2|cn,,
2025,s==2|甘肃,7,s==2|cn,,
2026,s==2|青海,7,s==2|cn,,
2027,s==2|宁夏,7,s==2|cn,,
2028,s==3|内蒙古,1,s==2|cn,,
2029,s==2|新疆,7,s==2|cn,,
2030,s==2|西藏,6,s==2|cn,,
2031,s==2|台湾,5,s==5|cn|tw,tw:9,
2032,s==2|香港,5,s==5|cn|tw,tw:10,
2033,s==2|澳门,5,s==5|cn|tw,tw:10,
2034,s==2|海外,5,s==2|cn,,
2035,s==3|新加坡,11,s==2|tw,,
2036,s==4|马来西亚,11,s==2|tw,,
2037,s==2|其他,11,s==2|tw,,
2047,s==7|Vietnam,12,s==2|vn,,
2050,s==2|未知,13,s==2|kr,,
2051,s==2|首尔,14,s==2|kr,,
2052,s==2|釜山,15,s==2|kr,,
2053,s==2|仁川,16,s==2|kr,,
2054,s==2|大邱,17,s==2|kr,,
2055,s==2|大田,18,s==2|kr,,
2056,s==2|光州,19,s==2|kr,,
2057,s==2|水原,20,s==2|kr,,
2058,s==2|蔚山,21,s==2|kr,,
2059,s==3|济州岛,22,s==2|kr,,
2060,s==4|其他城市,23,s==2|kr,,
2070,s==3|全世界,24,s==2|jp,,
