id,group,form,form2,rewards-type-1,rewards-id-1,rewards-value-1,desc,odd1,odd2,true1,times1,true2,times2,times3,true3,true4,
1,1,1,1,2,3014,50,s==6|5星神魔碎片,50,100,1,90,1,100,999,1,0,
2,1,2,3,2,1204,2,s==4|天宝如意,140,200,1,20,1,22,-1,1,0,
3,1,3,5,2,1474,1,s==8|2星极品配饰自选,110,200,1,45,1,50,-1,1,0,
4,1,4,7,2,1009,4,s==4|配饰之魂,400,400,0,0,0,0,-1,0,0,
5,1,5,2,2,1011,6,s==5|配饰升星石,1610,1600,0,0,0,0,-1,0,0,
6,1,6,4,2,1006,500,s==3|将印石,1610,1600,0,0,0,0,-1,0,0,
7,1,7,6,2,2200,1,s==6|幸运铜钱福袋,3040,3030,0,0,0,0,-1,0,0,
8,1,8,8,2,2201,1,s==6|幸运经验福袋,3040,3030,0,0,0,0,-1,0,0,
9,2,1,1,2,1453,1,s==8|史诗奇谋自选礼包,190,300,1,22,1,25,3,1,0,
10,2,2,3,2,1760,1,s==6|2级宝石自选,350,500,1,10,0,0,-1,1,0,
11,2,3,5,2,1003,8,s==5|高级寻访令,390,500,1,7,0,0,-1,0,0,
12,2,4,7,2,1027,40,s==5|神兵强化石,1566,1500,0,0,0,0,-1,0,0,
13,2,5,2,2,1001,220,s==3|突破石,1876,1800,0,0,0,0,-1,0,0,
14,2,6,4,1,8,2200000,s==2|铜钱,1876,1800,0,0,0,0,-1,0,0,
15,2,7,6,2,3002,30,s==6|4星随机碎片,1876,1800,0,0,0,0,-1,0,0,
16,2,8,8,2,1006,220,s==3|将印石,1876,1800,0,0,0,0,-1,0,0,
17,3,1,1,2,2128,1,s==6|四星红装自选,50,200,1,160,1,240,5,1,0,
18,3,2,3,2,1204,2,s==4|天宝如意,140,200,1,20,1,22,-1,1,0,
19,3,3,5,2,2097,1,s==7|橙色副将自选箱,110,200,1,45,1,50,-1,1,0,
20,3,4,7,2,1018,4,s==7|高阶副将军功令,400,400,0,0,0,0,-1,0,0,
21,3,5,2,2,1017,6,s==5|副将军功令,1610,1600,0,0,0,0,-1,0,0,
22,3,6,4,2,1006,500,s==3|将印石,1610,1600,0,0,0,0,-1,0,0,
23,3,7,6,2,2200,1,s==6|幸运铜钱福袋,3040,3030,0,0,0,0,-1,0,0,
24,3,8,8,2,2201,1,s==6|幸运经验福袋,3040,3030,0,0,0,0,-1,0,0,
25,4,1,1,2,2097,1,s==7|橙色副将自选箱,200,300,1,18,1,20,5,1,0,
26,4,2,3,2,1567,1,s==8|1星极品配饰自选,350,500,1,10,0,0,-1,1,0,
27,4,3,5,2,1003,8,s==5|高级寻访令,390,500,1,7,0,0,-1,0,0,
28,4,4,7,2,1027,40,s==5|神兵强化石,1556,1500,0,0,0,0,-1,0,0,
29,4,5,2,2,1001,220,s==3|突破石,1876,1800,0,0,0,0,-1,0,0,
30,4,6,4,1,8,2200000,s==2|铜钱,1876,1800,0,0,0,0,-1,0,0,
31,4,7,6,2,3002,30,s==6|4星随机碎片,1876,1800,0,0,0,0,-1,0,0,
32,4,8,8,2,1006,220,s==3|将印石,1876,1800,0,0,0,0,-1,0,0,
33,5,1,1,2,1222,1,s==4|昂宿星核,50,200,1,160,1,240,5,1,0,
34,5,2,3,2,1204,2,s==4|天宝如意,140,200,1,20,1,22,-1,1,0,
35,5,3,5,2,1760,1,s==6|2级宝石自选,110,200,1,45,1,50,-1,1,0,
36,5,4,7,2,1081,4,s==4|美人凤冠,400,400,0,0,0,0,-1,0,0,
37,5,5,2,2,1082,6,s==4|美人锦缎,1610,1600,0,0,0,0,-1,0,0,
38,5,6,4,2,1006,500,s==3|将印石,1610,1600,0,0,0,0,-1,0,0,
39,5,7,6,2,2200,1,s==6|幸运铜钱福袋,3040,3030,0,0,0,0,-1,0,0,
40,5,8,8,2,2201,1,s==6|幸运经验福袋,3040,3030,0,0,0,0,-1,0,0,
41,6,1,1,2,1453,1,s==8|史诗奇谋自选礼包,190,300,1,22,1,25,3,1,0,
42,6,2,3,2,1760,1,s==6|2级宝石自选,350,500,1,10,0,0,-1,1,0,
43,6,3,5,2,1003,8,s==5|高级寻访令,390,500,1,7,0,0,-1,0,0,
44,6,4,7,2,1027,40,s==5|神兵强化石,1566,1500,0,0,0,0,-1,0,0,
45,6,5,2,2,1001,220,s==3|突破石,1876,1800,0,0,0,0,-1,0,0,
46,6,6,4,1,8,2200000,s==2|铜钱,1876,1800,0,0,0,0,-1,0,0,
47,6,7,6,2,3002,30,s==6|4星随机碎片,1876,1800,0,0,0,0,-1,0,0,
48,6,8,8,2,1006,220,s==3|将印石,1876,1800,0,0,0,0,-1,0,0,
49,7,1,1,2,2088,1,s==6|4级宝石自选,50,200,1,160,1,240,5,1,0,
50,7,2,3,2,1204,2,s==4|天宝如意,140,200,1,20,1,22,-1,1,0,
51,7,3,5,2,1760,1,s==6|2级宝石自选,110,200,1,45,1,50,-1,1,0,
52,7,4,7,2,1009,4,s==4|配饰之魂,400,400,0,0,0,0,-1,0,0,
53,7,5,2,2,1011,6,s==5|配饰升星石,1610,1600,0,0,0,0,-1,0,0,
54,7,6,4,2,1006,500,s==3|将印石,1610,1600,0,0,0,0,-1,0,0,
55,7,7,6,2,2200,1,s==6|幸运铜钱福袋,3040,3030,0,0,0,0,-1,0,0,
56,7,8,8,2,2201,1,s==6|幸运经验福袋,3040,3030,0,0,0,0,-1,0,0,
57,8,1,1,2,2097,1,s==7|橙色副将自选箱,200,300,1,18,1,20,5,1,0,
58,8,2,3,2,1567,1,s==8|1星极品配饰自选,350,500,1,10,0,0,-1,1,0,
59,8,3,5,2,1003,8,s==5|高级寻访令,390,500,1,7,0,0,-1,0,0,
60,8,4,7,2,1027,40,s==5|神兵强化石,1556,1500,0,0,0,0,-1,0,0,
61,8,5,2,2,1001,220,s==3|突破石,1876,1800,0,0,0,0,-1,0,0,
62,8,6,4,1,8,2200000,s==2|铜钱,1876,1800,0,0,0,0,-1,0,0,
63,8,7,6,2,3002,30,s==6|4星随机碎片,1876,1800,0,0,0,0,-1,0,0,
64,8,8,8,2,1006,220,s==3|将印石,1876,1800,0,0,0,0,-1,0,0,
65,9,1,1,2,1199,1,s==4|神饰沁晶,50,200,1,160,1,240,5,1,0,
66,9,2,3,2,1204,2,s==4|天宝如意,140,200,1,20,1,22,-1,1,0,
67,9,3,5,2,1474,1,s==8|2星极品配饰自选,110,200,1,45,1,50,-1,1,0,
68,9,4,7,2,1009,4,s==4|配饰之魂,400,400,0,0,0,0,-1,0,0,
69,9,5,2,2,1011,6,s==5|配饰升星石,1610,1600,0,0,0,0,-1,0,0,
70,9,6,4,2,1006,500,s==3|将印石,1610,1600,0,0,0,0,-1,0,0,
71,9,7,6,2,2200,1,s==6|幸运铜钱福袋,3040,3030,0,0,0,0,-1,0,0,
72,9,8,8,2,2201,1,s==6|幸运经验福袋,3040,3030,0,0,0,0,-1,0,0,
73,10,1,1,2,1509,1,s==6|珍奇战马宝箱,190,300,1,22,1,25,3,1,0,
74,10,2,3,2,1760,1,s==6|2级宝石自选,350,500,1,10,0,0,-1,1,0,
75,10,3,5,2,1003,8,s==5|高级寻访令,390,500,1,7,0,0,-1,0,0,
76,10,4,7,2,1027,40,s==5|神兵强化石,1566,1500,0,0,0,0,-1,0,0,
77,10,5,2,2,1001,220,s==3|突破石,1876,1800,0,0,0,0,-1,0,0,
78,10,6,4,1,8,2200000,s==2|铜钱,1876,1800,0,0,0,0,-1,0,0,
79,10,7,6,2,3002,30,s==6|4星随机碎片,1876,1800,0,0,0,0,-1,0,0,
80,10,8,8,2,1006,220,s==3|将印石,1876,1800,0,0,0,0,-1,0,0,
81,11,1,1,2,2128,1,s==6|四星红装自选,50,200,1,160,1,240,5,1,0,
82,11,2,3,2,1204,2,s==4|天宝如意,140,200,1,20,1,22,-1,1,0,
83,11,3,5,2,2097,1,s==7|橙色副将自选箱,110,200,1,45,1,50,-1,1,0,
84,11,4,7,2,1018,4,s==7|高阶副将军功令,400,400,0,0,0,0,-1,0,0,
85,11,5,2,2,1017,6,s==5|副将军功令,1610,1600,0,0,0,0,-1,0,0,
86,11,6,4,2,1006,500,s==3|将印石,1610,1600,0,0,0,0,-1,0,0,
87,11,7,6,2,2200,1,s==6|幸运铜钱福袋,3040,3030,0,0,0,0,-1,0,0,
88,11,8,8,2,2201,1,s==6|幸运经验福袋,3040,3030,0,0,0,0,-1,0,0,
89,12,1,1,2,6680,1,s==6|战魂自选宝箱,40,300,1,220,1,300,1,1,0,
90,12,2,3,2,1567,1,s==8|1星极品配饰自选,350,500,1,10,0,0,-1,1,0,
91,12,3,5,2,1003,8,s==5|高级寻访令,390,500,1,7,0,0,-1,0,0,
92,12,4,7,2,1027,40,s==5|神兵强化石,1588,1500,0,0,0,0,-1,0,0,
93,12,5,2,2,1001,220,s==3|突破石,1908,1800,0,0,0,0,-1,0,0,
94,12,6,4,1,8,2200000,s==2|铜钱,1908,1800,0,0,0,0,-1,0,0,
95,12,7,6,2,3002,30,s==6|4星随机碎片,1908,1800,0,0,0,0,-1,0,0,
96,12,8,8,2,1006,220,s==3|将印石,1908,1800,0,0,0,0,-1,0,0,
97,13,1,1,2,1222,1,s==4|昂宿星核,50,200,1,160,1,240,5,1,0,
98,13,2,3,2,1204,2,s==4|天宝如意,140,200,1,20,1,22,-1,1,0,
99,13,3,5,2,1760,1,s==6|2级宝石自选,110,200,1,45,1,50,-1,1,0,
100,13,4,7,2,1081,4,s==4|美人凤冠,400,400,0,0,0,0,-1,0,0,
101,13,5,2,2,1082,6,s==4|美人锦缎,1610,1600,0,0,0,0,-1,0,0,
102,13,6,4,2,1006,500,s==3|将印石,1610,1600,0,0,0,0,-1,0,0,
