id,actId,itemType,itemId,combineNum,resourceType,resourceId,disPrice,buyLimit,autoReset,worldlvLimit,lvLimit,lvLimitEx,vipLimit,desc,oriPrice,discount,sort,
2,3270,2,1960,1,2,1204,15,2,4,,,,,s==46|Lựa chọn trang sức phẩm chất 4 sao thượng hạng,22,7,990,
3,3270,2,2149,1,2,1204,50,2,4,,,,,s==31|Lựa Chọn Trang Bị Hồng Ngũ Tinh,50,,980,
4,3270,2,5137,1,2,1204,40,2,4,,,,,s==19|Lựa Chọn Ngọc Cấp 5,50,8,970,
5,3270,2,1516,1,2,1204,1,5,4,,,,,s==35|Gói Quà Lựa Chọn Nguyên Liệu Hiếm ④,1,,960,
6,3270,2,1527,1,2,1204,2,5,4,,,,,s==39|Hộp Quà Lựa Chọn Nguyên Liệu Quý Hiếm ④,2,,950,
7,3270,2,1031,1,2,1204,1,3,4,,,,,s==20|Thần Binh Ngọc Thạch,1,,940,
8,3272,2,13710,1,2,1204,25,3,4,,,,,s==28|Ôn Tửu Trảm Địch (Vĩnh Hằng),25,,1000,
10,3272,2,14704,1,2,1204,15,2,4,,,,,s==33|Hoàn Mỹ Tinh Thạch Tự Chọn Thạch④,22,7,980,
11,3272,2,1960,1,2,1204,15,2,4,,,,,s==46|Lựa chọn trang sức phẩm chất 4 sao thượng hạng,22,7,970,
12,3272,2,2149,1,2,1204,40,2,4,,,,,s==31|Lựa Chọn Trang Bị Hồng Ngũ Tinh,50,8,960,
13,3272,2,5137,1,2,1204,50,2,4,,,,,s==19|Lựa Chọn Ngọc Cấp 5,50,,950,
14,3272,2,1516,1,2,1204,1,5,4,,,,,s==35|Gói Quà Lựa Chọn Nguyên Liệu Hiếm ④,1,,940,
15,3272,2,1527,1,2,1204,2,5,4,,,,,s==39|Hộp Quà Lựa Chọn Nguyên Liệu Quý Hiếm ④,2,,930,
16,3272,2,1031,1,2,1204,1,3,4,,,,,s==20|Thần Binh Ngọc Thạch,1,,920,
18,3274,2,14704,1,2,1204,15,2,4,,,,,s==33|Hoàn Mỹ Tinh Thạch Tự Chọn Thạch④,22,7,990,
19,3274,2,1960,1,2,1204,15,2,4,,,,,s==46|Lựa chọn trang sức phẩm chất 4 sao thượng hạng,22,7,980,
20,3274,2,2149,1,2,1204,40,2,4,,,,,s==31|Lựa Chọn Trang Bị Hồng Ngũ Tinh,50,8,970,
21,3274,2,5137,1,2,1204,50,2,4,,,,,s==19|Lựa Chọn Ngọc Cấp 5,50,,960,
22,3274,2,1516,1,2,1204,1,5,4,,,,,s==35|Gói Quà Lựa Chọn Nguyên Liệu Hiếm ④,1,,950,
23,3274,2,1527,1,2,1204,2,5,4,,,,,s==39|Hộp Quà Lựa Chọn Nguyên Liệu Quý Hiếm ④,2,,940,
24,3274,2,1031,1,2,1204,1,3,4,,,,,s==20|Thần Binh Ngọc Thạch,1,,930,
28,3276,2,14704,1,2,1204,15,2,4,,,,,s==33|Hoàn Mỹ Tinh Thạch Tự Chọn Thạch④,22,7,970,
29,3276,2,1960,1,2,1204,15,2,4,,,,,s==46|Lựa chọn trang sức phẩm chất 4 sao thượng hạng,22,7,960,
30,3276,2,2149,1,2,1204,50,2,4,,,,,s==31|Lựa Chọn Trang Bị Hồng Ngũ Tinh,50,,950,
31,3276,2,5137,1,2,1204,40,2,4,,,,,s==19|Lựa Chọn Ngọc Cấp 5,50,8,940,
32,3276,2,1516,1,2,1204,1,5,4,,,,,s==35|Gói Quà Lựa Chọn Nguyên Liệu Hiếm ④,1,,930,
33,3276,2,1527,1,2,1204,2,5,4,,,,,s==39|Hộp Quà Lựa Chọn Nguyên Liệu Quý Hiếm ④,2,,920,
34,3276,2,1031,1,2,1204,1,3,4,,,,,s==20|Thần Binh Ngọc Thạch,1,,910,
35,4100,2,13712,1,2,1204,20,3,4,,,,,s==32|Hồng Liên Nghiệp Hỏa (Vĩnh Hằng),25,8,1000,
37,4100,2,13710,1,2,1204,25,3,4,,,,,s==28|Ôn Tửu Trảm Địch (Vĩnh Hằng),25,,980,
39,4100,2,14704,1,2,1204,15,2,4,,,,,s==33|Hoàn Mỹ Tinh Thạch Tự Chọn Thạch④,22,7,960,
40,4100,2,1960,1,2,1204,15,2,4,,,,,s==46|Lựa chọn trang sức phẩm chất 4 sao thượng hạng,22,7,950,
41,4100,2,2149,1,2,1204,40,2,4,,,,,s==31|Lựa Chọn Trang Bị Hồng Ngũ Tinh,50,8,940,
42,4100,2,5137,1,2,1204,50,2,4,,,,,s==19|Lựa Chọn Ngọc Cấp 5,50,,930,
43,4100,2,1516,1,2,1204,1,5,4,,,,,s==35|Gói Quà Lựa Chọn Nguyên Liệu Hiếm ④,1,,920,
44,4100,2,1527,1,2,1204,2,5,4,,,,,s==39|Hộp Quà Lựa Chọn Nguyên Liệu Quý Hiếm ④,2,,910,
45,4100,2,1031,1,2,1204,1,3,4,,,,,s==20|Thần Binh Ngọc Thạch,1,,900,
46,4101,2,13712,1,2,1204,25,3,4,,,,,s==32|Hồng Liên Nghiệp Hỏa (Vĩnh Hằng),25,,1000,
48,4101,2,13710,1,2,1204,20,3,4,,,,,s==28|Ôn Tửu Trảm Địch (Vĩnh Hằng),25,8,980,
50,4101,2,14704,1,2,1204,22,2,4,,,,,s==33|Hoàn Mỹ Tinh Thạch Tự Chọn Thạch④,22,,960,
51,4101,2,1960,1,2,1204,15,2,4,,,,,s==46|Lựa chọn trang sức phẩm chất 4 sao thượng hạng,22,7,950,
52,4101,2,2149,1,2,1204,40,2,4,,,,,s==31|Lựa Chọn Trang Bị Hồng Ngũ Tinh,50,8,940,
53,4101,2,5137,1,2,1204,40,2,4,,,,,s==19|Lựa Chọn Ngọc Cấp 5,50,8,930,
54,4101,2,1516,1,2,1204,1,5,4,,,,,s==35|Gói Quà Lựa Chọn Nguyên Liệu Hiếm ④,1,,920,
55,4101,2,1527,1,2,1204,2,5,4,,,,,s==39|Hộp Quà Lựa Chọn Nguyên Liệu Quý Hiếm ④,2,,910,
56,4101,2,1031,1,2,1204,1,3,4,,,,,s==20|Thần Binh Ngọc Thạch,1,,900,
57,4102,2,13714,1,2,1204,20,3,4,,,,,s==26|Hạ Bội Ân Hồng (Vĩnh Hằng),25,8,1000,
58,4102,2,13712,1,2,1204,25,3,4,,,,,s==32|Hồng Liên Nghiệp Hỏa (Vĩnh Hằng),25,,990,
60,4102,2,13710,1,2,1204,20,3,4,,,,,s==28|Ôn Tửu Trảm Địch (Vĩnh Hằng),25,8,970,
62,4102,2,14704,1,2,1204,15,2,4,,,,,s==33|Hoàn Mỹ Tinh Thạch Tự Chọn Thạch④,22,7,950,
63,4102,2,1960,1,2,1204,22,2,4,,,,,s==46|Lựa chọn trang sức phẩm chất 4 sao thượng hạng,22,,940,
64,4102,2,2149,1,2,1204,40,2,4,,,,,s==31|Lựa Chọn Trang Bị Hồng Ngũ Tinh,50,8,930,
65,4102,2,5137,1,2,1204,40,2,4,,,,,s==19|Lựa Chọn Ngọc Cấp 5,50,8,920,
66,4102,2,1516,1,2,1204,1,5,4,,,,,s==35|Gói Quà Lựa Chọn Nguyên Liệu Hiếm ④,1,,910,
67,4102,2,1527,1,2,1204,2,5,4,,,,,s==39|Hộp Quà Lựa Chọn Nguyên Liệu Quý Hiếm ④,2,,900,
68,4102,2,1031,1,2,1204,1,3,4,,,,,s==20|Thần Binh Ngọc Thạch,1,,890,
69,4103,2,13714,1,2,1204,25,3,4,,,,,s==26|Hạ Bội Ân Hồng (Vĩnh Hằng),25,,1000,
70,4103,2,13712,1,2,1204,20,3,4,,,,,s==32|Hồng Liên Nghiệp Hỏa (Vĩnh Hằng),25,8,990,
72,4103,2,13710,1,2,1204,25,3,4,,,,,s==28|Ôn Tửu Trảm Địch (Vĩnh Hằng),25,,970,
74,4103,2,14704,1,2,1204,15,2,4,,,,,s==33|Hoàn Mỹ Tinh Thạch Tự Chọn Thạch④,22,7,950,
75,4103,2,1960,1,2,1204,15,2,4,,,,,s==46|Lựa chọn trang sức phẩm chất 4 sao thượng hạng,22,7,940,
76,4103,2,2149,1,2,1204,50,2,4,,,,,s==31|Lựa Chọn Trang Bị Hồng Ngũ Tinh,50,,930,
77,4103,2,5137,1,2,1204,40,2,4,,,,,s==19|Lựa Chọn Ngọc Cấp 5,50,8,920,
78,4103,2,1516,1,2,1204,1,5,4,,,,,s==35|Gói Quà Lựa Chọn Nguyên Liệu Hiếm ④,1,,910,
79,4103,2,1527,1,2,1204,2,5,4,,,,,s==39|Hộp Quà Lựa Chọn Nguyên Liệu Quý Hiếm ④,2,,900,
80,4103,2,1031,1,2,1204,1,3,4,,,,,s==20|Thần Binh Ngọc Thạch,1,,890,
81,4104,2,13718,1,2,1204,20,3,4,,,,,s==24|Vũ Hầu Hổ Si (Vĩnh viễn),25,8,1000,
82,4104,2,13714,1,2,1204,25,3,4,,,,,s==26|Hạ Bội Ân Hồng (Vĩnh Hằng),25,,990,
83,4104,2,13712,1,2,1204,25,3,4,,,,,s==32|Hồng Liên Nghiệp Hỏa (Vĩnh Hằng),25,,980,
85,4104,2,13710,1,2,1204,20,3,4,,,,,s==28|Ôn Tửu Trảm Địch (Vĩnh Hằng),25,8,960,
87,4104,2,14704,1,2,1204,15,2,4,,,,,s==33|Hoàn Mỹ Tinh Thạch Tự Chọn Thạch④,22,7,940,
88,4104,2,1960,1,2,1204,22,2,4,,,,,s==46|Lựa chọn trang sức phẩm chất 4 sao thượng hạng,22,,930,
89,4104,2,2149,1,2,1204,40,2,4,,,,,s==31|Lựa Chọn Trang Bị Hồng Ngũ Tinh,50,8,920,
90,4104,2,5137,1,2,1204,40,2,4,,,,,s==19|Lựa Chọn Ngọc Cấp 5,50,8,910,
91,4104,2,1516,1,2,1204,1,5,4,,,,,s==35|Gói Quà Lựa Chọn Nguyên Liệu Hiếm ④,1,,900,
92,4104,2,1527,1,2,1204,2,5,4,,,,,s==39|Hộp Quà Lựa Chọn Nguyên Liệu Quý Hiếm ④,2,,890,
93,4104,2,1031,1,2,1204,1,3,4,,,,,s==20|Thần Binh Ngọc Thạch,1,,880,
94,4105,2,13718,1,2,1204,25,3,4,,,,,s==24|Vũ Hầu Hổ Si (Vĩnh viễn),25,,1000,
95,4105,2,13714,1,2,1204,25,3,4,,,,,s==26|Hạ Bội Ân Hồng (Vĩnh Hằng),25,,990,
96,4105,2,13712,1,2,1204,20,3,4,,,,,s==32|Hồng Liên Nghiệp Hỏa (Vĩnh Hằng),25,8,980,
98,4105,2,13710,1,2,1204,25,3,4,,,,,s==28|Ôn Tửu Trảm Địch (Vĩnh Hằng),25,,960,
100,4105,2,14704,1,2,1204,15,2,4,,,,,s==33|Hoàn Mỹ Tinh Thạch Tự Chọn Thạch④,22,7,940,
101,4105,2,1960,1,2,1204,15,2,4,,,,,s==46|Lựa chọn trang sức phẩm chất 4 sao thượng hạng,22,7,930,
102,4105,2,2149,1,2,1204,50,2,4,,,,,s==31|Lựa Chọn Trang Bị Hồng Ngũ Tinh,50,,920,
103,4105,2,5137,1,2,1204,40,2,4,,,,,s==19|Lựa Chọn Ngọc Cấp 5,50,8,910,
104,4105,2,1516,1,2,1204,1,5,4,,,,,s==35|Gói Quà Lựa Chọn Nguyên Liệu Hiếm ④,1,,900,
105,4105,2,1527,1,2,1204,2,5,4,,,,,s==39|Hộp Quà Lựa Chọn Nguyên Liệu Quý Hiếm ④,2,,890,
106,4105,2,1031,1,2,1204,1,3,4,,,,,s==20|Thần Binh Ngọc Thạch,1,,880,
107,4106,2,13719,1,2,1204,20,3,4,,,,,s==27|Dục Huyết Đồ Sư (Vĩnh Hằng),25,8,1000,
108,4106,2,13718,1,2,1204,25,3,4,,,,,s==24|Vũ Hầu Hổ Si (Vĩnh viễn),25,,990,
109,4106,2,13714,1,2,1204,20,3,4,,,,,s==26|Hạ Bội Ân Hồng (Vĩnh Hằng),25,8,980,
110,4106,2,13712,1,2,1204,25,3,4,,,,,s==32|Hồng Liên Nghiệp Hỏa (Vĩnh Hằng),25,,970,
111,4106,2,13711,1,2,1204,20,3,4,,,,,s==28|Lạc Thủy Tiên Tử (Vĩnh Hằng),25,8,960,
112,4106,2,13710,1,2,1204,25,3,4,,,,,s==28|Ôn Tửu Trảm Địch (Vĩnh Hằng),25,,950,
113,4106,2,13002,1,2,1204,25,3,4,,,,,s==31|Ngân Long Phi Tướng (Vĩnh viễn),25,,940,
114,4106,2,14704,1,2,1204,15,2,4,,,,,s==33|Hoàn Mỹ Tinh Thạch Tự Chọn Thạch④,22,7,930,
115,4106,2,1960,1,2,1204,22,2,4,,,,,s==46|Lựa chọn trang sức phẩm chất 4 sao thượng hạng,22,,920,
116,4106,2,2149,1,2,1204,40,2,4,,,,,s==31|Lựa Chọn Trang Bị Hồng Ngũ Tinh,50,8,910,
117,4106,2,5137,1,2,1204,40,2,4,,,,,s==19|Lựa Chọn Ngọc Cấp 5,50,8,900,
118,4106,2,1516,1,2,1204,1,5,4,,,,,s==35|Gói Quà Lựa Chọn Nguyên Liệu Hiếm ④,1,,890,
119,4106,2,1527,1,2,1204,2,5,4,,,,,s==39|Hộp Quà Lựa Chọn Nguyên Liệu Quý Hiếm ④,2,,880,
120,4106,2,1031,1,2,1204,1,3,4,,,,,s==20|Thần Binh Ngọc Thạch,1,,870,
121,4107,2,13719,1,2,1204,25,3,4,,,,,s==27|Dục Huyết Đồ Sư (Vĩnh Hằng),25,,1000,
122,4107,2,13718,1,2,1204,25,3,4,,,,,s==24|Vũ Hầu Hổ Si (Vĩnh viễn),25,,990,
123,4107,2,13714,1,2,1204,20,3,4,,,,,s==26|Hạ Bội Ân Hồng (Vĩnh Hằng),25,8,980,
124,4107,2,13712,1,2,1204,25,3,4,,,,,s==32|Hồng Liên Nghiệp Hỏa (Vĩnh Hằng),25,,970,
125,4107,2,13711,1,2,1204,25,3,4,,,,,s==28|Lạc Thủy Tiên Tử (Vĩnh Hằng),25,,960,
126,4107,2,13710,1,2,1204,25,3,4,,,,,s==28|Ôn Tửu Trảm Địch (Vĩnh Hằng),25,,950,
127,4107,2,13002,1,2,1204,20,3,4,,,,,s==31|Ngân Long Phi Tướng (Vĩnh viễn),25,8,940,
128,4107,2,14704,1,2,1204,15,2,4,,,,,s==33|Hoàn Mỹ Tinh Thạch Tự Chọn Thạch④,22,7,930,
129,4107,2,1960,1,2,1204,15,2,4,,,,,s==46|Lựa chọn trang sức phẩm chất 4 sao thượng hạng,22,7,920,
130,4107,2,2149,1,2,1204,50,2,4,,,,,s==31|Lựa Chọn Trang Bị Hồng Ngũ Tinh,50,,910,
131,4107,2,5137,1,2,1204,40,2,4,,,,,s==19|Lựa Chọn Ngọc Cấp 5,50,8,900,
132,4107,2,1516,1,2,1204,1,5,4,,,,,s==35|Gói Quà Lựa Chọn Nguyên Liệu Hiếm ④,1,,890,
133,4107,2,1527,1,2,1204,2,5,4,,,,,s==39|Hộp Quà Lựa Chọn Nguyên Liệu Quý Hiếm ④,2,,880,
134,4107,2,1031,1,2,1204,1,3,4,,,,,s==20|Thần Binh Ngọc Thạch,1,,870,
135,4108,2,13719,1,2,1204,20,3,4,,,,,s==27|Dục Huyết Đồ Sư (Vĩnh Hằng),25,8,1000,
136,4108,2,13718,1,2,1204,25,3,4,,,,,s==24|Vũ Hầu Hổ Si (Vĩnh viễn),25,,990,
137,4108,2,13714,1,2,1204,25,3,4,,,,,s==26|Hạ Bội Ân Hồng (Vĩnh Hằng),25,,980,
138,4108,2,13712,1,2,1204,20,3,4,,,,,s==32|Hồng Liên Nghiệp Hỏa (Vĩnh Hằng),25,8,970,
139,4108,2,13711,1,2,1204,25,3,4,,,,,s==28|Lạc Thủy Tiên Tử (Vĩnh Hằng),25,,960,
140,4108,2,13710,1,2,1204,25,3,4,,,,,s==28|Ôn Tửu Trảm Địch (Vĩnh Hằng),25,,950,
141,4108,2,13002,1,2,1204,25,3,4,,,,,s==31|Ngân Long Phi Tướng (Vĩnh viễn),25,,940,
142,4108,2,14704,1,2,1204,15,2,4,,,,,s==33|Hoàn Mỹ Tinh Thạch Tự Chọn Thạch④,22,7,930,
143,4108,2,1960,1,2,1204,22,2,4,,,,,s==46|Lựa chọn trang sức phẩm chất 4 sao thượng hạng,22,,920,
144,4108,2,2149,1,2,1204,40,2,4,,,,,s==31|Lựa Chọn Trang Bị Hồng Ngũ Tinh,50,8,910,
145,4108,2,5137,1,2,1204,40,2,4,,,,,s==19|Lựa Chọn Ngọc Cấp 5,50,8,900,
146,4108,2,1516,1,2,1204,1,5,4,,,,,s==35|Gói Quà Lựa Chọn Nguyên Liệu Hiếm ④,1,,890,
147,4108,2,1527,1,2,1204,2,5,4,,,,,s==39|Hộp Quà Lựa Chọn Nguyên Liệu Quý Hiếm ④,2,,880,
148,4108,2,1031,1,2,1204,1,3,4,,,,,s==20|Thần Binh Ngọc Thạch,1,,870,
149,4109,2,13719,1,2,1204,25,3,4,,,,,s==27|Dục Huyết Đồ Sư (Vĩnh Hằng),25,,1000,
150,4109,2,13718,1,2,1204,20,3,4,,,,,s==24|Vũ Hầu Hổ Si (Vĩnh viễn),25,8,990,
151,4109,2,13714,1,2,1204,25,3,4,,,,,s==26|Hạ Bội Ân Hồng (Vĩnh Hằng),25,,980,
152,4109,2,13712,1,2,1204,25,3,4,,,,,s==32|Hồng Liên Nghiệp Hỏa (Vĩnh Hằng),25,,970,
153,4109,2,13711,1,2,1204,20,3,4,,,,,s==28|Lạc Thủy Tiên Tử (Vĩnh Hằng),25,8,960,
154,4109,2,13710,1,2,1204,25,3,4,,,,,s==28|Ôn Tửu Trảm Địch (Vĩnh Hằng),25,,950,
155,4109,2,13002,1,2,1204,25,3,4,,,,,s==31|Ngân Long Phi Tướng (Vĩnh viễn),25,,940,
156,4109,2,14704,1,2,1204,15,2,4,,,,,s==33|Hoàn Mỹ Tinh Thạch Tự Chọn Thạch④,22,7,930,
157,4109,2,1960,1,2,1204,15,2,4,,,,,s==46|Lựa chọn trang sức phẩm chất 4 sao thượng hạng,22,7,920,
158,4109,2,2149,1,2,1204,50,2,4,,,,,s==31|Lựa Chọn Trang Bị Hồng Ngũ Tinh,50,,910,
159,4109,2,5137,1,2,1204,40,2,4,,,,,s==19|Lựa Chọn Ngọc Cấp 5,50,8,900,
160,4109,2,1516,1,2,1204,1,5,4,,,,,s==35|Gói Quà Lựa Chọn Nguyên Liệu Hiếm ④,1,,890,
161,4109,2,1527,1,2,1204,2,5,4,,,,,s==39|Hộp Quà Lựa Chọn Nguyên Liệu Quý Hiếm ④,2,,880,
162,4109,2,1031,1,2,1204,1,3,4,,,,,s==20|Thần Binh Ngọc Thạch,1,,870,
163,4110,2,13719,1,2,1204,25,3,4,,,,,s==27|Dục Huyết Đồ Sư (Vĩnh Hằng),25,,1000,
164,4110,2,13718,1,2,1204,25,3,4,,,,,s==24|Vũ Hầu Hổ Si (Vĩnh viễn),25,,990,
165,4110,2,13714,1,2,1204,20,3,4,,,,,s==26|Hạ Bội Ân Hồng (Vĩnh Hằng),25,8,980,
166,4110,2,13712,1,2,1204,25,3,4,,,,,s==32|Hồng Liên Nghiệp Hỏa (Vĩnh Hằng),25,,970,
167,4110,2,13711,1,2,1204,25,3,4,,,,,s==28|Lạc Thủy Tiên Tử (Vĩnh Hằng),25,,960,
168,4110,2,13710,1,2,1204,20,3,4,,,,,s==28|Ôn Tửu Trảm Địch (Vĩnh Hằng),25,8,950,
169,4110,2,13002,1,2,1204,25,3,4,,,,,s==31|Ngân Long Phi Tướng (Vĩnh viễn),25,,940,
170,4110,2,14704,1,2,1204,15,2,4,,,,,s==33|Hoàn Mỹ Tinh Thạch Tự Chọn Thạch④,22,7,930,
171,4110,2,1960,1,2,1204,22,2,4,,,,,s==46|Lựa chọn trang sức phẩm chất 4 sao thượng hạng,22,,920,
172,4110,2,2149,1,2,1204,40,2,4,,,,,s==31|Lựa Chọn Trang Bị Hồng Ngũ Tinh,50,8,910,
173,4110,2,5137,1,2,1204,40,2,4,,,,,s==19|Lựa Chọn Ngọc Cấp 5,50,8,900,
174,4110,2,1516,1,2,1204,1,5,4,,,,,s==35|Gói Quà Lựa Chọn Nguyên Liệu Hiếm ④,1,,890,
175,4110,2,1527,1,2,1204,2,5,4,,,,,s==39|Hộp Quà Lựa Chọn Nguyên Liệu Quý Hiếm ④,2,,880,
