id,activityId,taskName,money,toSystemId,sort,items-type-1,items-id-1,items-value-1,items-type-2,items-id-2,items-value-2,items-type-3,items-id-3,items-value-3,
1,2100,s==9|累计充值500元宝,50,1930,1,2,1003,5,2,1052,50,1,10,80000,
2,2100,s==10|累计充值1000元宝,100,1930,2,2,1004,1,2,1006,2000,1,10,150000,
3,2100,s==10|累计充值1980元宝,198,1930,3,2,1004,3,2,1006,3000,1,10,180000,
4,2100,s==10|累计充值3280元宝,328,1930,4,2,1463,1,2,1006,5000,1,10,200000,
5,2100,s==10|累计充值6480元宝,648,1930,5,2,1105,6,2,1006,15000,1,10,500000,
6,2120,s==9|累计充值500元宝,50,1930,1,2,1003,5,2,1052,50,1,10,80000,
7,2120,s==10|累计充值1000元宝,100,1930,2,2,1004,1,2,1006,2000,1,10,150000,
8,2120,s==10|累计充值1980元宝,198,1930,3,2,1004,3,2,1006,3000,1,10,180000,
9,2120,s==10|累计充值3280元宝,328,1930,4,2,1463,1,2,1006,5000,1,10,200000,
10,2120,s==10|累计充值6480元宝,648,1930,5,2,1105,6,2,1006,15000,1,10,500000,
11,2120,s==11|累计充值10000元宝,1000,1930,6,2,1468,1,2,1012,50,2,1006,20000,
12,2120,s==11|累计充值20000元宝,2000,1930,7,2,1105,10,2,1012,100,2,1006,20000,
13,2121,s==9|累计充值500元宝,50,1930,1,2,1003,5,2,1052,50,1,10,80000,
14,2121,s==10|累计充值1000元宝,100,1930,2,2,1004,1,2,1006,2000,1,10,150000,
15,2121,s==10|累计充值1980元宝,198,1930,3,2,1004,3,2,1006,3000,1,10,180000,
16,2121,s==10|累计充值3280元宝,328,1930,4,2,1463,1,2,1006,5000,1,10,200000,
17,2121,s==10|累计充值6480元宝,648,1930,5,2,1105,6,2,1006,15000,1,10,500000,
18,2121,s==11|累计充值10000元宝,1000,1930,6,2,1468,1,2,1043,100,2,1006,20000,
19,2121,s==11|累计充值20000元宝,2000,1930,7,2,1004,8,2,1044,50,2,1006,20000,
20,2122,s==9|累计充值500元宝,50,1930,1,2,1003,5,2,1052,50,1,10,80000,
21,2122,s==10|累计充值1000元宝,100,1930,2,2,1004,1,2,1006,2000,1,10,150000,
22,2122,s==10|累计充值1980元宝,198,1930,3,2,1004,3,2,1006,3000,1,10,180000,
23,2122,s==10|累计充值3280元宝,328,1930,4,2,1463,1,2,1006,5000,1,10,200000,
24,2122,s==10|累计充值6480元宝,648,1930,5,2,1105,6,2,1006,15000,1,10,500000,
25,2122,s==11|累计充值10000元宝,1000,1930,6,2,1468,1,2,1020,90,2,1006,20000,
26,2122,s==11|累计充值20000元宝,2000,1930,7,2,1105,10,2,1021,30,2,1006,20000,
27,2123,s==9|累计充值500元宝,50,1930,1,2,1003,5,2,1052,50,1,10,80000,
28,2123,s==10|累计充值1000元宝,100,1930,2,2,1004,1,2,1006,2000,1,10,150000,
29,2123,s==10|累计充值1980元宝,198,1930,3,2,1004,3,2,1006,3000,1,10,180000,
30,2123,s==10|累计充值3280元宝,328,1930,4,2,1463,1,2,1006,5000,1,10,200000,
31,2123,s==10|累计充值6480元宝,648,1930,5,2,1105,6,2,1006,15000,1,10,500000,
32,2123,s==11|累计充值10000元宝,1000,1930,6,2,1468,1,2,1076,5,2,1006,20000,
33,2123,s==11|累计充值20000元宝,2000,1930,7,2,1453,3,2,1076,10,2,1006,20000,
34,2124,s==9|累计充值500元宝,50,1930,1,2,1003,5,2,1052,50,1,10,80000,
35,2124,s==10|累计充值1000元宝,100,1930,2,2,1004,1,2,1006,2000,1,10,150000,
36,2124,s==10|累计充值1980元宝,198,1930,3,2,1004,3,2,1006,3000,1,10,180000,
