id,platformType,type,name,moneyType,money,ingots,extraInggots,day,vipExp,multiplyingPower,sanguobi,productId,moneyType_tw,money_tw,moneyType_us,money_us,platformRechardId,name_tw,moneyType_vn,money_vn,money_us_vn,platformRechardId_vn,name_vn,moneyType_jp,money_jp,platformRechardId_jp,name_jp,moneyType_kr,money_kr,money_us_kr,platformRechardId_kr,name_kr,moneyType_id,money_id,money_us_id,platformRechardId_id,name_id,moneyType_en,money_en,platformRechardId_en,name_en,moneyType_th,money_th,platformRechardId_th,name_th,
1,1,1,s==4|60元宝,2,6,60,60,0,60,2,0,,3,33,4,0.99,60,s==4|60元寶,5,25000,0.85,6,s==4|60元宝,6,160,60,s==4|60元宝,7,1500,0.99,1,s==4|60元宝,8,19000,0.99,6,s==8|60 Ingot,9,0.99,99,s==4|60元宝,10,35,0.99,s==4|60元宝,
2,1,1,s==5|300元宝,2,30,300,300,0,300,2,0,,3,170,4,4.99,300,s==5|300元寶,5,129000,4.29,30,s==5|300元宝,6,800,300,s==5|300元宝,7,7500,4.99,2,s==5|300元宝,8,89000,4.99,30,s==9|300 Ingot,9,4.99,499,s==5|300元宝,10,179,4.99,s==5|300元宝,
3,1,1,s==5|680元宝,2,68,680,680,0,680,2,0,,3,330,4,9.99,680,s==5|680元寶,5,249000,8.49,68,s==5|680元宝,6,1600,680,s==5|680元宝,7,15000,9.99,3,s==5|680元宝,8,169000,9.99,68,s==9|680 Ingot,9,9.99,999,s==5|680元宝,10,349,9.99,s==5|680元宝,
4,1,1,s==6|1280元宝,2,128,1280,1280,0,1280,2,0,,3,670,4,19.99,1280,s==6|1280元寶,5,499000,17.39,128,s==6|1280元宝,6,3200,1280,s==6|1280元宝,7,30000,19.99,4,s==6|1280元宝,8,349000,19.99,128,s==10|1280 Ingot,9,19.99,1999,s==6|1280元宝,10,729,19.99,s==6|1280元宝,
5,1,1,s==6|1980元宝,2,198,1980,1980,0,1980,2,0,,3,990,4,29.99,1980,s==6|1980元寶,5,779000,27.99,198,s==6|1980元宝,6,4800,1980,s==6|1980元宝,7,45000,29.99,5,s==6|1980元宝,8,499000,29.99,198,s==10|1980 Ingot,9,29.99,2999,s==6|1980元宝,10,1100,29.99,s==6|1980元宝,
6,1,1,s==6|3280元宝,2,328,3280,3280,0,3280,2,0,,3,1690,4,49.99,3280,s==6|3280元寶,5,1299000,42.99,328,s==6|3280元宝,6,8000,3280,s==6|3280元宝,7,79000,49.99,6,s==6|3280元宝,8,849000,49.99,328,s==10|3280 Ingot,9,49.99,4999,s==6|3280元宝,10,1800,49.99,s==6|3280元宝,
7,1,1,s==6|6480元宝,2,648,6480,6480,0,6480,2,0,,3,3290,4,99.99,6480,s==6|6480元寶,5,2499000,85.99,648,s==6|6480元宝,6,15800,6480,s==6|6480元宝,7,149000,99.99,7,s==6|6480元宝,8,1699000,99.99,648,s==10|6480 Ingot,9,99.99,9999,s==6|6480元宝,10,3700,99.99,s==6|6480元宝,
8,1,2,s==8|贵族月卡（不用）,2,30,0,0,30,300,0,0,,3,170,4,4.99,300,s==8|貴族月卡（不用）,5,129000,4.29,30,s==8|贵族月卡（不用）,6,610,3,s==8|贵族月卡（不用）,7,7500,4.99,300,s==8|贵族月卡（不用）,8,89000,4.99,30,s==9|300 Ingot,9,4.99,499,s==8|贵族月卡（不用）,10,179,3,s==8|贵族月卡（不用）,
9,1,3,s==8|王者月卡（不用）,2,98,0,0,30,980,0,0,,3,490,4,14.99,680,s==8|王者月卡（不用）,5,379000,12.75,98,s==8|王者月卡（不用）,6,1840,5,s==8|王者月卡（不用）,7,23000,14.99,980,s==8|王者月卡（不用）,8,249000,14.99,98,s==12|GP 980 Ingot,9,14.99,999,s==8|王者月卡（不用）,10,549,5,s==8|王者月卡（不用）,
10,1,4,s==6|98成长基金,2,98,0,0,0,980,0,0,,3,490,4,14.99,980,s==9|980元寶成長基金,5,379000,12.75,98,s==6|98成长基金,6,2400,5,s==6|98成长基金,7,23000,14.99,980,s==6|98成长基金,8,249000,14.99,98,s==12|GP 980 Ingot,9,14.99,1499,s==6|98成长基金,10,549,5,s==6|98成长基金,
