taskId,taskType,taskName,taskDesc,need,items-type-1,items-id-1,items-value-1,items-type-2,items-id-2,items-value-2,limitCount,
1,1,s==38|Chiêu mộ bằng hữu chiến lực đạt 50 000,s==39|Chiêu mộ bằng hữu chiến lực đạt 200 000,200000,2,1001,50,2,1005,5,20,
2,1,s==39|Chiêu mộ bằng hữu chiến lực đạt 100 000,s==39|Chiêu mộ bằng hữu chiến lực đạt 400 000,400000,2,1006,100,2,1003,1,20,
3,1,s==39|Chiêu mộ bằng hữu chiến lực đạt 150 000,s==39|Chiêu mộ bằng hữu chiến lực đạt 600 000,600000,2,1006,200,2,1003,1,20,
4,1,s==39|Chiêu mộ bằng hữu chiến lực đạt 200 000,s==39|Chiêu mộ bằng hữu chiến lực đạt 800 000,800000,1,9,200,2,1003,1,20,
5,1,s==39|Chiêu mộ bằng hữu chiến lực đạt 300 000,s==41|Chiêu mộ bằng hữu chiến lực đạt 1 200 000,1200000,1,9,300,2,1003,2,20,
6,1,s==39|Chiêu mộ bằng hữu chiến lực đạt 500 000,s==41|Chiêu mộ bằng hữu chiến lực đạt 2 000 000,2000000,1,9,400,2,1004,1,20,
7,1,s==41|Chiêu mộ bằng hữu chiến lực đạt 1 000 000,s==41|Chiêu mộ bằng hữu chiến lực đạt 4 000 000,4000000,1,9,500,2,4030,1,20,
8,2,s==27|Chiêu mộ bằng hữu VIP cấp 1,s==27|Chiêu mộ bằng hữu VIP cấp 1,1,1,9,100,2,1003,1,20,
9,2,s==27|Chiêu mộ bằng hữu VIP cấp 2,s==27|Chiêu mộ bằng hữu VIP cấp 2,2,1,9,200,2,1003,2,20,
10,2,s==27|Chiêu mộ bằng hữu VIP cấp 3,s==27|Chiêu mộ bằng hữu VIP cấp 3,3,1,9,300,2,1003,3,20,
11,2,s==27|Chiêu mộ bằng hữu VIP cấp 4,s==27|Chiêu mộ bằng hữu VIP cấp 4,4,1,9,400,2,1003,4,20,
12,2,s==27|Chiêu mộ bằng hữu VIP cấp 5,s==27|Chiêu mộ bằng hữu VIP cấp 5,5,1,9,500,2,1003,5,20,
13,2,s==27|Chiêu mộ bằng hữu VIP cấp 6,s==27|Chiêu mộ bằng hữu VIP cấp 6,6,1,9,600,2,1004,1,20,
14,2,s==27|Chiêu mộ bằng hữu VIP cấp 7,s==27|Chiêu mộ bằng hữu VIP cấp 7,7,1,9,700,2,1004,2,20,
15,2,s==27|Chiêu mộ bằng hữu VIP cấp 8,s==27|Chiêu mộ bằng hữu VIP cấp 8,8,1,9,800,2,1004,3,20,
16,2,s==27|Chiêu mộ bằng hữu VIP cấp 9,s==27|Chiêu mộ bằng hữu VIP cấp 9,9,1,9,900,2,1004,4,20,
17,2,s==28|Chiêu mộ bằng hữu VIP cấp 10,s==28|Chiêu mộ bằng hữu VIP cấp 10,10,1,9,1200,2,1004,5,20,
18,2,s==28|Chiêu mộ bằng hữu VIP cấp 11,s==28|Chiêu mộ bằng hữu VIP cấp 11,11,1,9,1300,2,3008,50,20,
19,2,s==28|Chiêu mộ bằng hữu VIP cấp 12,s==28|Chiêu mộ bằng hữu VIP cấp 12,12,1,9,1500,2,3014,50,20,
