activityId,activityType,tips,minLevel,maxLevel,dateStart,dateEnd,
2100,1,s==19|Mỗi ngày tích nạp 1,1,59,,,
2120,1,s==19|Mỗi ngày tích nạp 2,60,79,,,
2121,1,s==19|Mỗi ngày tích nạp 3,80,99,,,
2122,1,s==19|Mỗi ngày tích nạp 4,100,114,,,
2123,1,s==19|Mỗi ngày tích nạp 5,115,124,,,
2124,1,s==19|Mỗi ngày tích nạp 6,125,134,,,
2125,1,s==19|Mỗi ngày tích nạp 7,135,144,,,
2126,1,s==19|Mỗi ngày tích nạp 8,145,154,,,
2127,1,s==19|Mỗi ngày tích nạp 9,155,164,,,
2128,1,s==20|Mỗi ngày tích nạp 10,165,174,,,
2129,1,s==20|Mỗi ngày tích nạp 11,175,999,,,
2200,2,s==17|Tích nạp đại lễ 1,1,50,,,
2210,2,s==17|Tích nạp đại lễ 2,51,999,,,
2260,3,s==13|Ưu đãi tuần 1,1,40,,,
2300,3,s==13|Ưu đãi tuần 3,41,999,,,
2340,4,s==14|Ưu đãi tháng 1,1,50,,,
2360,4,s==14|Ưu đãi tháng 2,51,110,,,
2380,4,s==14|Ưu đãi tháng 3,111,999,,,
2519,6,s==19|Gói quà hằng ngày 1,1,59,,,
2520,6,s==19|Gói quà hằng ngày 2,60,81,,,
2521,6,s==19|Gói quà hằng ngày 3,82,119,,,
2522,6,s==19|Gói quà hằng ngày 4,120,139,,,
2523,6,s==19|Gói quà hằng ngày 5,140,999,,,
2580,7,s==17|Hiến Đế Mật Chiếu,1,60,,,
2600,7,s==17|Hiến Đế Mật Chiếu,61,999,,,
2620,8,s==18|Chiến Tranh Chi Lộ,1,60,,,
2640,8,s==18|Chiến Tranh Chi Lộ,61,999,,,
