id,name,group,showType,rewards-type-1,rewards-id-1,rewards-value-1,worldlvLimit,lvLimit,lvLimitEx,star,clearRepeat,dateStart,dateEnd,
1001,s==17|Gói Quà Tự Chọn 1,1,s==8|Tinh Túy,1,9,130,,,,,,,,
1002,s==17|Gói Quà Tự Chọn 2,1,s==8|Tinh Túy,1,8,20010,,,,,,,,
2001,s==17|Gói Quà Tự Chọn 3,1,s==8|Tinh Túy,2,1001,10,,,,,,,,
2002,s==17|Gói Quà Tự Chọn 4,1,s==7|Mảnh vỡ,2,1002,30,,,,,,,,
2003,s==17|Gói Quà Tự Chọn 5,1,s==7|Mảnh vỡ,2,1002,50,,,,,,,,
2004,s==17|Gói Quà Tự Chọn 6,2,s==7|Mảnh vỡ,2,1002,70,,,,,,,,
2005,s==17|Gói Quà Tự Chọn 7,2,s==7|Mảnh vỡ,2,1002,90,,,,,,,,
3001,s==33|Siêu Trị Thủ Nạp Tự Chọn Võ Tướng,3,s==21|Gói Quà Mảnh Vật Phẩm,2,21508,50,,,,,,,,
3002,s==33|Siêu Trị Thủ Nạp Tự Chọn Võ Tướng,3,s==21|Gói Quà Mảnh Vật Phẩm,2,21503,50,,,,,,,,
3003,s==33|Siêu Trị Thủ Nạp Tự Chọn Võ Tướng,3,s==21|Gói Quà Mảnh Vật Phẩm,2,22508,50,,,,,,,,
3004,s==33|Siêu Trị Thủ Nạp Tự Chọn Võ Tướng,3,s==21|Gói Quà Mảnh Vật Phẩm,2,22502,50,,,,,,,,
3005,s==33|Siêu Trị Thủ Nạp Tự Chọn Võ Tướng,3,s==21|Gói Quà Mảnh Vật Phẩm,2,23503,50,,,,,,,,
3006,s==33|Siêu Trị Thủ Nạp Tự Chọn Võ Tướng,3,s==21|Gói Quà Mảnh Vật Phẩm,2,23506,50,,,,,,,,
4001,s==29|Gói Quà Tự Chọn Sao Thạch Cam,4,s==10|Tinh thạch,2,1450100,1,,,,,,,,
4002,s==29|Gói Quà Tự Chọn Sao Thạch Cam,4,s==10|Tinh thạch,2,1450200,1,,,,,,,,
4003,s==29|Gói Quà Tự Chọn Sao Thạch Cam,4,s==10|Tinh thạch,2,1450300,1,,,,,,,,
4004,s==29|Gói Quà Tự Chọn Sao Thạch Cam,4,s==10|Tinh thạch,2,1450400,1,,,,,,,,
5001,s==34|Lựa Chọn Phụ Kiện Tối Thượng 1 Sao,5,s==20|Phụ Kiện Phản Thương,2,531110,1,,,,,,,,
5002,s==34|Lựa Chọn Phụ Kiện Tối Thượng 1 Sao,5,s==20|Phụ Kiện Phản Thương,2,531210,1,,,,,,,,
5003,s==34|Lựa Chọn Phụ Kiện Tối Thượng 1 Sao,5,s==20|Phụ Kiện Phản Thương,2,531310,1,,,,,,,,
5004,s==34|Lựa Chọn Phụ Kiện Tối Thượng 1 Sao,5,s==20|Phụ Kiện Phản Thương,2,531410,1,,,,,,,,
5005,s==34|Lựa Chọn Phụ Kiện Tối Thượng 1 Sao,5,s==20|Phụ Kiện Huyết Chiến,2,531111,1,,,,,,,,
5006,s==34|Lựa Chọn Phụ Kiện Tối Thượng 1 Sao,5,s==20|Phụ Kiện Huyết Chiến,2,531211,1,,,,,,,,
5007,s==34|Lựa Chọn Phụ Kiện Tối Thượng 1 Sao,5,s==20|Phụ Kiện Huyết Chiến,2,531311,1,,,,,,,,
5008,s==34|Lựa Chọn Phụ Kiện Tối Thượng 1 Sao,5,s==20|Phụ Kiện Huyết Chiến,2,531411,1,,,,,,,,
5009,s==34|Lựa Chọn Phụ Kiện Tối Thượng 1 Sao,5,s==19|Phụ Kiện Cường Kích,2,531112,1,,,,,,,,
5010,s==34|Lựa Chọn Phụ Kiện Tối Thượng 1 Sao,5,s==19|Phụ Kiện Cường Kích,2,531212,1,,,,,,,,
5011,s==34|Lựa Chọn Phụ Kiện Tối Thượng 1 Sao,5,s==19|Phụ Kiện Cường Kích,2,531312,1,,,,,,,,
5012,s==34|Lựa Chọn Phụ Kiện Tối Thượng 1 Sao,5,s==19|Phụ Kiện Cường Kích,2,531412,1,,,,,,,,
5013,s==34|Lựa Chọn Phụ Kiện Tối Thượng 1 Sao,5,s==14|Phụ Kiện Tự Hộ,2,531109,1,,,,,,,,
5014,s==34|Lựa Chọn Phụ Kiện Tối Thượng 1 Sao,5,s==14|Phụ Kiện Tự Hộ,2,531209,1,,,,,,,,
5015,s==34|Lựa Chọn Phụ Kiện Tối Thượng 1 Sao,5,s==14|Phụ Kiện Tự Hộ,2,531309,1,,,,,,,,
5016,s==34|Lựa Chọn Phụ Kiện Tối Thượng 1 Sao,5,s==14|Phụ Kiện Tự Hộ,2,531409,1,,,,,,,,
5017,s==34|Lựa Chọn Phụ Kiện Tối Thượng 1 Sao,5,s==17|Phụ Kiện Thiên Dự,2,531105,1,,,,,,,,
5018,s==34|Lựa Chọn Phụ Kiện Tối Thượng 1 Sao,5,s==17|Phụ Kiện Thiên Dự,2,531205,1,,,,,,,,
5019,s==34|Lựa Chọn Phụ Kiện Tối Thượng 1 Sao,5,s==17|Phụ Kiện Thiên Dự,2,531305,1,,,,,,,,
5020,s==34|Lựa Chọn Phụ Kiện Tối Thượng 1 Sao,5,s==17|Phụ Kiện Thiên Dự,2,531405,1,,,,,,,,
5021,s==34|Lựa Chọn Phụ Kiện Tối Thượng 1 Sao,5,s==18|Phụ Kiện Thủ Khiên,2,531106,1,,,,,,,,
5022,s==34|Lựa Chọn Phụ Kiện Tối Thượng 1 Sao,5,s==18|Phụ Kiện Thủ Khiên,2,531206,1,,,,,,,,
5023,s==34|Lựa Chọn Phụ Kiện Tối Thượng 1 Sao,5,s==18|Phụ Kiện Thủ Khiên,2,531306,1,,,,,,,,
5024,s==34|Lựa Chọn Phụ Kiện Tối Thượng 1 Sao,5,s==18|Phụ Kiện Thủ Khiên,2,531406,1,,,,,,,,
5025,s==34|Lựa Chọn Phụ Kiện Tối Thượng 1 Sao,5,s==15|Phụ Kiện Ly Hỏa,2,531107,1,,,,,,,,
5026,s==34|Lựa Chọn Phụ Kiện Tối Thượng 1 Sao,5,s==15|Phụ Kiện Ly Hỏa,2,531207,1,,,,,,,,
5027,s==34|Lựa Chọn Phụ Kiện Tối Thượng 1 Sao,5,s==15|Phụ Kiện Ly Hỏa,2,531307,1,,,,,,,,
5028,s==34|Lựa Chọn Phụ Kiện Tối Thượng 1 Sao,5,s==15|Phụ Kiện Ly Hỏa,2,531407,1,,,,,,,,
5029,s==34|Lựa Chọn Phụ Kiện Tối Thượng 1 Sao,5,s==17|Phụ Kiện Hãm Trận,2,531108,1,,,,,,,,
5030,s==34|Lựa Chọn Phụ Kiện Tối Thượng 1 Sao,5,s==17|Phụ Kiện Hãm Trận,2,531208,1,,,,,,,,
5031,s==34|Lựa Chọn Phụ Kiện Tối Thượng 1 Sao,5,s==17|Phụ Kiện Hãm Trận,2,531308,1,,,,,,,,
5032,s==34|Lựa Chọn Phụ Kiện Tối Thượng 1 Sao,5,s==17|Phụ Kiện Hãm Trận,2,531408,1,,,,,,,,
6060,s==34|Hộp Quà Tự Chọn Nguyên Liệu Hiếm ④,8,s==16|Nguyên Liệu Hiếm,2,1029,25,,1,,,,,,
6080,s==34|Hộp Quà Tự Chọn Nguyên Liệu Hiếm ④,8,s==16|Nguyên Liệu Hiếm,2,1020,25,,1,,,,,,
6090,s==34|Hộp Quà Tự Chọn Nguyên Liệu Hiếm ④,8,s==16|Nguyên Liệu Hiếm,2,1082,25,,40,,,,,,
6100,s==34|Hộp Quà Tự Chọn Nguyên Liệu Hiếm ④,8,s==16|Nguyên Liệu Hiếm,2,1043,50,,60,,,,,,
6110,s==34|Hộp Quà Tự Chọn Nguyên Liệu Hiếm ④,8,s==16|Nguyên Liệu Hiếm,2,1103,25,,82,,,,,,
6120,s==34|Hộp Quà Tự Chọn Nguyên Liệu Hiếm ④,8,s==16|Nguyên Liệu Hiếm,2,1036,25,,82,,,,,,
6121,s==34|Hộp Quà Tự Chọn Nguyên Liệu Hiếm ④,8,s==16|Nguyên Liệu Hiếm,2,1011,25,,85,,,,,,
6122,s==34|Hộp Quà Tự Chọn Nguyên Liệu Hiếm ④,8,s==16|Nguyên Liệu Hiếm,2,1010,25,,85,,,,,,
6130,s==34|Hộp Quà Tự Chọn Nguyên Liệu Hiếm ④,8,s==16|Nguyên Liệu Hiếm,2,1017,25,,125,,,,,,
6140,s==34|Hộp Quà Tự Chọn Nguyên Liệu Hiếm ④,8,s==16|Nguyên Liệu Hiếm,2,1033,25,,135,,,,,,
6150,s==34|Hộp Quà Tự Chọn Nguyên Liệu Hiếm ④,8,s==16|Nguyên Liệu Hiếm,2,1046,25,,70,,,,,,
7000,s==39|Hộp Quà Lựa Chọn Nguyên Liệu Quý Hiếm ④,9,s==20|Nguyên Liệu Quý Hiếm,2,1030,10,,1,,,,,,
7010,s==39|Hộp Quà Lựa Chọn Nguyên Liệu Quý Hiếm ④,9,s==20|Nguyên Liệu Quý Hiếm,2,1021,10,,1,,,,,,
7020,s==39|Hộp Quà Lựa Chọn Nguyên Liệu Quý Hiếm ④,9,s==20|Nguyên Liệu Quý Hiếm,2,1081,10,,40,,,,,,
7030,s==39|Hộp Quà Lựa Chọn Nguyên Liệu Quý Hiếm ④,9,s==20|Nguyên Liệu Quý Hiếm,2,1044,20,,60,,,,,,
7031,s==39|Hộp Quà Lựa Chọn Nguyên Liệu Quý Hiếm ④,9,s==20|Nguyên Liệu Quý Hiếm,2,1104,10,,82,,,,,,
7032,s==39|Hộp Quà Lựa Chọn Nguyên Liệu Quý Hiếm ④,9,s==20|Nguyên Liệu Quý Hiếm,2,1037,10,,82,,,,,,
7040,s==39|Hộp Quà Lựa Chọn Nguyên Liệu Quý Hiếm ④,9,s==20|Nguyên Liệu Quý Hiếm,2,1009,10,,85,,,,,,
7050,s==39|Hộp Quà Lựa Chọn Nguyên Liệu Quý Hiếm ④,9,s==20|Nguyên Liệu Quý Hiếm,2,1018,10,,125,,,,,,
7070,s==39|Hộp Quà Lựa Chọn Nguyên Liệu Quý Hiếm ④,9,s==20|Nguyên Liệu Quý Hiếm,2,1032,10,,135,,,,,,
8000,s==24|Thần Ma Tự Chọn Võ Tướng,12,s==12|Thần·Mảnh Vỡ,2,24503,50,,,,,,,,
8010,s==24|Thần Ma Tự Chọn Võ Tướng,12,s==12|Thần·Mảnh Vỡ,2,24506,50,,,,,,,,
8020,s==24|Thần Ma Tự Chọn Võ Tướng,12,s==12|Thần·Mảnh Vỡ,2,24508,50,,,,,,,,
8030,s==24|Thần Ma Tự Chọn Võ Tướng,12,s==12|Thần·Mảnh Vỡ,2,24510,50,,,,,,,,
8040,s==24|Thần Ma Tự Chọn Võ Tướng,12,s==10|Ma·Mảnh Vỡ,2,25504,50,,,,,,,,
8050,s==24|Thần Ma Tự Chọn Võ Tướng,12,s==10|Ma·Mảnh Vỡ,2,25509,50,,,,,,,,
8060,s==24|Thần Ma Tự Chọn Võ Tướng,12,s==10|Ma·Mảnh Vỡ,2,25506,50,,,,,,,,
8070,s==24|Thần Ma Tự Chọn Võ Tướng,12,s==10|Ma·Mảnh Vỡ,2,25507,50,,,,,,,,
9000,s==35|Tướng Lên Sao Tự Chọn Ngụy Thục Ngô,13,s==14|Tướng Ngô Quốc,3,23401,1,,,,5,,,,
9010,s==35|Tướng Lên Sao Tự Chọn Ngụy Thục Ngô,13,s==14|Tướng Ngô Quốc,3,23402,1,,,,5,,,,
9020,s==35|Tướng Lên Sao Tự Chọn Ngụy Thục Ngô,13,s==14|Tướng Ngô Quốc,3,23403,1,,,,5,,,,
9030,s==35|Tướng Lên Sao Tự Chọn Ngụy Thục Ngô,13,s==14|Tướng Ngô Quốc,3,23404,1,,,,5,,,,
9050,s==35|Tướng Lên Sao Tự Chọn Ngụy Thục Ngô,13,s==20|Tướng quân nước Ngụy,3,21401,1,,,,5,,,,
9060,s==35|Tướng Lên Sao Tự Chọn Ngụy Thục Ngô,13,s==20|Tướng quân nước Ngụy,3,21402,1,,,,5,,,,
9070,s==35|Tướng Lên Sao Tự Chọn Ngụy Thục Ngô,13,s==20|Tướng quân nước Ngụy,3,21403,1,,,,5,,,,
9080,s==35|Tướng Lên Sao Tự Chọn Ngụy Thục Ngô,13,s==20|Tướng quân nước Ngụy,3,21404,1,,,,5,,,,
9110,s==35|Tướng Lên Sao Tự Chọn Ngụy Thục Ngô,13,s==20|Tướng quân nước Thục,3,22402,1,,,,5,,,,
9120,s==35|Tướng Lên Sao Tự Chọn Ngụy Thục Ngô,13,s==20|Tướng quân nước Thục,3,22403,1,,,,5,,,,
9130,s==35|Tướng Lên Sao Tự Chọn Ngụy Thục Ngô,13,s==20|Tướng quân nước Thục,3,22404,1,,,,5,,,,
9140,s==35|Tướng Lên Sao Tự Chọn Ngụy Thục Ngô,13,s==20|Tướng quân nước Thục,3,22405,1,,,,5,,,,
9500,s==35|Thần Ma Tự Chọn Thăng Tinh Võ Tướng,14,s==15|Thần·Tướng quân,3,24401,1,,,,5,,,,
9520,s==35|Thần Ma Tự Chọn Thăng Tinh Võ Tướng,14,s==15|Thần·Tướng quân,3,24403,1,,,,5,,,,
9530,s==35|Thần Ma Tự Chọn Thăng Tinh Võ Tướng,14,s==15|Thần·Tướng quân,3,24404,1,,,,5,,,,
9550,s==35|Thần Ma Tự Chọn Thăng Tinh Võ Tướng,14,s==13|Ma·Tướng quân,3,25402,1,,,,5,,,,
9560,s==35|Thần Ma Tự Chọn Thăng Tinh Võ Tướng,14,s==13|Ma·Tướng quân,3,25403,1,,,,5,,,,
9570,s==35|Thần Ma Tự Chọn Thăng Tinh Võ Tướng,14,s==13|Ma·Tướng quân,3,25404,1,,,,5,,,,
9800,s==31|Hộp quà chọn nguyên liệu hiếm ①,15,s==16|Nguyên Liệu Hiếm,2,1043,2,,,,,,,,
