id,taskName,taskDesc,icon,activityId,toSystemFunId,lowLevel,maxLevel,targetType,targetId,targetNum,mustTask,sysfuncationID,time,labelType,rewards-type-1,rewards-id-1,rewards-value-1,rewards-type-2,rewards-id-2,rewards-value-2,rewards-type-3,rewards-id-3,rewards-value-3,rewards-type-4,rewards-id-4,rewards-value-4,
1000,,s==6|快速作战1次,,1190,2092,,,105,0,1,0,0,,,2,21505,5,2,1002,1,1,10,50000,,,,
1010,,s==6|快速作战4次,,1190,2092,,,105,0,4,0,0,,,2,21505,5,2,1002,1,1,10,50000,,,,
1020,,s==6|快速作战8次,,1190,2092,,,105,0,8,0,0,,,2,21505,5,2,1002,1,1,10,50000,,,,
1030,,s==7|快速作战14次,,1190,2092,,,105,0,14,0,0,,,2,21505,5,2,1002,2,1,10,50000,,,,
1040,,s==7|快速作战22次,,1190,2092,,,105,0,22,0,0,,,2,21505,5,2,1002,3,1,10,100000,,,,
1050,,s==7|快速作战28次,,1190,2092,,,105,0,28,0,0,,,2,21505,5,2,1002,4,1,10,100000,,,,
1060,,s==7|快速作战36次,,1190,2092,,,105,0,36,0,0,,,2,21505,5,2,1002,5,1,10,150000,,,,
1070,,s==7|快速作战42次,,1190,2092,,,105,0,42,0,0,,,2,21505,5,2,1002,6,1,10,150000,,,,
1080,,s==7|快速作战50次,,1190,2092,,,105,0,50,0,0,,,2,21505,5,2,1002,7,1,10,150000,,,,
1090,,s==7|快速作战56次,,1190,2092,,,105,0,56,0,0,,,2,21505,5,2,1002,8,1,10,200000,,,,
1500,,s==8|累计进行奇遇1次,,1170,2091,,,110,0,1,0,0,,,2,23503,5,2,1002,1,1,10,50000,,,,
1510,,s==8|累计进行奇遇5次,,1170,2091,,,110,0,5,0,0,,,2,23503,5,2,1002,1,1,10,50000,,,,
1520,,s==9|累计进行奇遇10次,,1170,2091,,,110,0,10,0,0,,,2,23503,5,2,1002,1,1,10,50000,,,,
1530,,s==9|累计进行奇遇20次,,1170,2091,,,110,0,20,0,0,,,2,23503,5,2,1002,2,1,10,50000,,,,
1540,,s==9|累计进行奇遇30次,,1170,2091,,,110,0,30,0,0,,,2,23503,5,2,1002,3,1,10,100000,,,,
1550,,s==9|累计进行奇遇40次,,1170,2091,,,110,0,40,0,0,,,2,23503,5,2,1002,4,1,10,100000,,,,
1560,,s==9|累计进行奇遇50次,,1170,2091,,,110,0,50,0,0,,,2,23503,5,2,1002,5,1,10,150000,,,,
1570,,s==9|累计进行奇遇60次,,1170,2091,,,110,0,60,0,0,,,2,23503,5,2,1002,6,1,10,150000,,,,
1580,,s==9|累计进行奇遇70次,,1170,2091,,,110,0,70,0,0,,,2,23503,5,2,1002,7,1,10,150000,,,,
1590,,s==9|累计进行奇遇80次,,1170,2091,,,110,0,80,0,0,,,2,23503,5,2,1002,8,1,10,200000,,,,
2000,,s==10|累计千里单骑过关1次,,1150,1260,,,112,0,1,0,0,,,2,22510,5,2,1002,1,1,10,50000,,,,
2010,,s==10|累计千里单骑过关5次,,1150,1260,,,112,0,5,0,0,,,2,22510,5,2,1002,1,1,10,50000,,,,
2020,,s==11|累计千里单骑过关10次,,1150,1260,,,112,0,10,0,0,,,2,22510,5,2,1002,1,1,10,50000,,,,
2030,,s==11|累计千里单骑过关20次,,1150,1260,,,112,0,20,0,0,,,2,22510,5,2,1002,2,1,10,50000,,,,
2040,,s==11|累计千里单骑过关30次,,1150,1260,,,112,0,30,0,0,,,2,22510,5,2,1002,3,1,10,100000,,,,
2050,,s==11|累计千里单骑过关40次,,1150,1260,,,112,0,40,0,0,,,2,22510,5,2,1002,4,1,10,100000,,,,
2060,,s==11|累计千里单骑过关50次,,1150,1260,,,112,0,50,0,0,,,2,22510,5,2,1002,5,1,10,150000,,,,
2070,,s==11|累计千里单骑过关60次,,1150,1260,,,112,0,60,0,0,,,2,22510,5,2,1002,6,1,10,150000,,,,
2080,,s==11|累计千里单骑过关70次,,1150,1260,,,112,0,70,0,0,,,2,22510,5,2,1002,7,1,10,150000,,,,
2090,,s==11|累计千里单骑过关80次,,1150,1260,,,112,0,80,0,0,,,2,22510,5,2,1002,8,1,10,200000,,,,
2500,,s==6|累计点金1次,,1210,1012,,,509,0,1,0,0,,,2,23508,5,2,1002,1,1,10,50000,,,,
2510,,s==6|累计点金5次,,1210,1012,,,509,0,5,0,0,,,2,23508,5,2,1002,1,1,10,50000,,,,
2520,,s==7|累计点金10次,,1210,1012,,,509,0,10,0,0,,,2,23508,5,2,1002,1,1,10,50000,,,,
2530,,s==7|累计点金20次,,1210,1012,,,509,0,20,0,0,,,2,23508,5,2,1002,2,1,10,50000,,,,
2540,,s==7|累计点金30次,,1210,1012,,,509,0,30,0,0,,,2,23508,5,2,1002,3,1,10,100000,,,,
2550,,s==7|累计点金40次,,1210,1012,,,509,0,40,0,0,,,2,23508,5,2,1002,4,1,10,100000,,,,
2560,,s==7|累计点金50次,,1210,1012,,,509,0,50,0,0,,,2,23508,5,2,1002,5,1,10,150000,,,,
2570,,s==7|累计点金60次,,1210,1012,,,509,0,60,0,0,,,2,23508,5,2,1002,6,1,10,150000,,,,
2580,,s==7|累计点金70次,,1210,1012,,,509,0,70,0,0,,,2,23508,5,2,1002,7,1,10,150000,,,,
2590,,s==7|累计点金80次,,1210,1012,,,509,0,80,0,0,,,2,23508,5,2,1002,8,1,10,200000,,,,
3000,,s==10|累计通关虎牢之战1层,,1211,1960,,,607,0,1,0,0,,,2,23502,5,2,1002,1,1,10,50000,,,,
3010,,s==10|累计通关虎牢之战2层,,1211,1960,,,607,0,2,0,0,,,2,23502,5,2,1002,1,1,10,50000,,,,
3020,,s==10|累计通关虎牢之战3层,,1211,1960,,,607,0,3,0,0,,,2,23502,5,2,1002,1,1,10,50000,,,,
3030,,s==10|累计通关虎牢之战4层,,1211,1960,,,607,0,4,0,0,,,2,23502,5,2,1002,1,1,10,50000,,,,
3040,,s==10|累计通关虎牢之战5层,,1211,1960,,,607,0,5,0,0,,,2,23502,5,2,1002,2,1,10,100000,,,,
3050,,s==10|累计通关虎牢之战7层,,1211,1960,,,607,0,7,0,0,,,2,23502,5,2,1002,3,1,10,100000,,,,
3060,,s==10|累计通关虎牢之战9层,,1211,1960,,,607,0,9,0,0,,,2,23502,5,2,1002,4,1,10,150000,,,,
3070,,s==11|累计通关虎牢之战11层,,1211,1960,,,607,0,11,0,0,,,2,23502,5,2,1002,5,1,10,150000,,,,
3080,,s==11|累计通关虎牢之战13层,,1211,1960,,,607,0,13,0,0,,,2,23502,5,2,1002,6,1,10,150000,,,,
3090,,s==11|累计通关虎牢之战15层,,1211,1960,,,607,0,15,0,0,,,2,23502,5,2,1002,7,1,10,200000,,,,
3499,s==4|福利领取,s==4|登录1次,,1131,0,1,999,101,0,1,0,0,1,1,1,9,100,2,1001,200,,,,,,,
3500,s==4|福利领取,s==10|开服累充1000元宝,,1131,1930,1,40,525,0,100,0,0,1,1,1,9,500,2,1001,500,,,,,,,
3530,s==4|福利领取,s==10|累计充值1000元宝,,1131,1930,41,999,510,0,100,0,0,1,1,1,9,200,2,1027,100,,,,,,,
3590,s==4|征战获取,s==10|通关征战副本第20章,,1131,2093,1,40,401,0,20,0,0,1,17,1,8,20000,2,1001,50,,,,,,,
3620,s==4|征战获取,s==10|通关征战副本第30章,,1131,2093,1,40,401,0,30,0,0,1,17,1,8,30000,2,1001,50,,,,,,,
3650,s==4|征战获取,s==10|通关征战副本第40章,,1131,2093,1,40,401,0,40,0,0,1,17,1,8,50000,2,1001,50,,,,,,,
3680,s==4|征战获取,s==10|通关征战副本第50章,,1131,2093,1,40,401,0,50,0,0,1,17,1,8,80000,2,1001,50,,,,,,,
3710,s==4|征战获取,s==10|通关征战副本第60章,,1131,2093,1,40,401,0,60,0,0,1,17,1,8,100000,2,1001,50,,,,,,,
3740,s==4|征战获取,s==10|通关征战副本第70章,,1131,2093,1,40,401,0,70,0,0,1,17,1,8,150000,2,1001,100,,,,,,,
3770,s==4|快速作战,s==6|快速作战3次,,1131,2092,41,999,105,0,3,0,0,1,8,1,8,20000,1,9,50,,,,,,,
3800,s==4|快速作战,s==6|快速作战6次,,1131,2092,41,999,105,0,6,0,0,1,8,1,8,30000,1,9,50,,,,,,,
3830,s==4|快速作战,s==6|快速作战9次,,1131,2092,41,999,105,0,9,0,0,1,8,1,8,50000,1,9,50,,,,,,,
3860,s==4|快速作战,s==7|快速作战12次,,1131,2092,41,999,105,0,12,0,0,1,8,1,8,80000,1,9,50,,,,,,,
3890,s==4|快速作战,s==7|快速作战15次,,1131,2092,41,999,105,0,15,0,0,1,8,1,8,100000,1,9,50,,,,,,,
3920,s==4|快速作战,s==7|快速作战20次,,1131,2092,41,999,105,0,20,0,0,1,8,1,8,150000,1,9,50,,,,,,,
3950,s==4|军团发展,s==6|军团捐献1次,,1131,1460,1,40,108,0,1,0,0,1,7,1,8,20000,2,3008,3,,,,,,,
3980,s==4|军团发展,s==6|军团捐献3次,,1131,1460,1,40,108,0,3,0,0,1,7,1,8,30000,2,3008,3,,,,,,,
4010,s==4|军团发展,s==6|军团捐献5次,,1131,1460,1,40,108,0,5,0,0,1,7,1,8,50000,2,3008,3,,,,,,,
4040,s==4|军团发展,s==8|军团副本挑战2次,,1131,1470,1,40,107,0,2,0,0,1,7,1,8,80000,2,3008,3,,,,,,,
4070,s==4|军团发展,s==8|军团副本挑战5次,,1131,1470,1,40,107,0,5,0,0,1,7,1,8,100000,2,3008,3,,,,,,,
4100,s==4|军团发展,s==9|军团副本挑战10次,,1131,1470,1,40,107,0,10,0,0,1,7,1,8,150000,2,3008,5,,,,,,,
4130,s==4|军团发展,s==6|军团捐献1次,,1131,1460,41,999,108,0,1,0,0,1,7,1,8,20000,2,3008,1,,,,,,,
4160,s==4|军团发展,s==6|军团捐献3次,,1131,1460,41,999,108,0,3,0,0,1,7,1,8,30000,2,3008,1,,,,,,,
4190,s==4|军团发展,s==6|军团捐献5次,,1131,1460,41,999,108,0,5,0,0,1,7,1,8,50000,2,3008,2,,,,,,,
4220,s==4|军团发展,s==8|军团敌将挑战2次,,1131,1470,41,999,107,0,2,0,0,1,7,1,8,80000,2,3008,2,,,,,,,
4250,s==4|军团发展,s==8|军团敌将挑战5次,,1131,1470,41,999,107,0,5,0,0,1,7,1,8,100000,2,3008,2,,,,,,,
4280,s==4|军团发展,s==9|军团敌将挑战10次,,1131,1470,41,999,107,0,10,0,0,1,7,1,8,150000,2,3008,2,,,,,,,
4310,s==4|福利礼包,s==6|全民福利礼包,,1131,0,1,40,520,4000,1,0,0,1,4,,,,,,,,,,,,,
4340,s==4|福利礼包,s==8|vip1半价礼包,,1131,0,1,40,520,4010,1,0,0,1,4,,,,,,,,,,,,,
4370,s==4|福利礼包,s==6|全民半价礼包,,1131,0,1,40,520,4020,1,0,0,1,4,,,,,,,,,,,,,
4400,s==4|福利礼包,s==6|全民福利礼包,,1131,0,41,999,520,4030,1,0,0,1,4,,,,,,,,,,,,,
4430,s==4|福利礼包,s==8|vip1半价礼包,,1131,0,41,999,520,4040,1,0,0,1,4,,,,,,,,,,,,,
4460,s==4|福利礼包,s==6|全民半价礼包,,1131,0,41,999,520,4050,1,0,0,1,4,,,,,,,,,,,,,
4489,s==4|福利领取,s==4|登录1次,,1131,0,1,999,101,0,1,0,0,2,1,1,9,150,2,1003,1,,,,,,,
4490,s==4|福利领取,s==10|开服累充2000元宝,,1131,1930,1,40,525,0,200,0,0,2,1,1,9,150,2,1006,1000,,,,,,,
4520,s==4|福利领取,s==10|累计充值2000元宝,,1131,1930,41,999,510,0,200,0,0,2,1,1,9,400,2,1027,50,,,,,,,
4580,s==4|试炼冒险,s==8|通天塔达到10层,,1131,1130,1,40,308,0,10,0,0,2,5,1,8,20000,2,1005,2,,,,,,,
4610,s==4|试炼冒险,s==8|通天塔达到15层,,1131,1130,1,40,308,0,15,0,0,2,5,1,8,30000,2,1005,2,,,,,,,
4640,s==4|试炼冒险,s==8|通天塔达到20层,,1131,1130,1,40,308,0,20,0,0,2,5,1,8,50000,2,4010,1,,,,,,,
4670,s==4|试炼冒险,s==8|通天塔达到30层,,1131,1130,1,40,308,0,30,0,0,2,5,1,8,80000,2,1005,2,,,,,,,
4700,s==4|试炼冒险,s==8|通天塔达到40层,,1131,1130,1,40,308,0,40,0,0,2,5,1,8,100000,2,1005,2,,,,,,,
4730,s==4|试炼冒险,s==8|通天塔达到50层,,1131,1130,1,40,308,0,50,0,0,2,5,1,8,150000,2,4020,1,,,,,,,
4760,s==4|试炼冒险,s==13|挑战或扫荡通天塔任意层3次,,1131,1130,41,999,106,0,3,0,0,2,5,1,8,20000,1,9,50,,,,,,,
4790,s==4|试炼冒险,s==13|挑战或扫荡通天塔任意层6次,,1131,1130,41,999,106,0,6,0,0,2,5,1,8,30000,1,9,50,,,,,,,
4820,s==4|试炼冒险,s==13|挑战或扫荡通天塔任意层9次,,1131,1130,41,999,106,0,9,0,0,2,5,1,8,50000,1,9,50,,,,,,,
4850,s==4|试炼冒险,s==14|挑战或扫荡通天塔任意层12次,,1131,1130,41,999,106,0,12,0,0,2,5,1,8,80000,1,9,50,,,,,,,
4880,s==4|试炼冒险,s==14|挑战或扫荡通天塔任意层15次,,1131,1130,41,999,106,0,15,0,0,2,5,1,8,100000,1,9,50,,,,,,,
4910,s==4|试炼冒险,s==14|挑战或扫荡通天塔任意层20次,,1131,1130,41,999,106,0,20,0,0,2,5,1,8,100000,1,9,50,,,,,,,
4940,s==4|幸运招将,s==7|普通寻访10次,,1131,1640,1,40,403,1,10,0,0,2,6,1,8,20000,2,1001,50,,,,,,,
4970,s==4|幸运招将,s==7|普通寻访20次,,1131,1640,1,40,403,1,20,0,0,2,6,1,8,30000,2,1006,80,,,,,,,
5000,s==4|幸运招将,s==6|高级寻访5次,,1131,1640,1,40,403,3,5,0,0,2,6,1,8,50000,2,1001,80,,,,,,,
5030,s==4|幸运招将,s==7|高级寻访10次,,1131,1640,1,40,403,3,10,0,0,2,6,1,8,80000,2,1006,100,,,,,,,
5060,s==4|幸运招将,s==7|高级寻访20次,,1131,1640,1,40,403,3,20,0,0,2,6,1,8,100000,2,1001,150,,,,,,,
5090,s==4|幸运招将,s==7|高级寻访40次,,1131,1640,1,40,403,3,40,0,0,2,6,1,8,100000,2,1006,200,,,,,,,
5120,s==4|幸运招将,s==7|普通寻访10次,,1131,1640,41,999,403,1,10,0,0,2,6,1,8,20000,2,3003,5,,,,,,,
5150,s==4|幸运招将,s==7|普通寻访20次,,1131,1640,41,999,403,1,20,0,0,2,6,1,8,30000,2,3003,5,,,,,,,
5180,s==4|幸运招将,s==6|高级寻访5次,,1131,1640,41,999,403,3,5,0,0,2,6,1,8,50000,2,3003,5,,,,,,,
5210,s==4|幸运招将,s==7|高级寻访10次,,1131,1640,41,999,403,3,10,0,0,2,6,1,8,80000,2,3003,5,,,,,,,
5240,s==4|幸运招将,s==7|高级寻访20次,,1131,1640,41,999,403,3,20,0,0,2,6,1,8,100000,2,3003,5,,,,,,,
5270,s==4|幸运招将,s==7|高级寻访40次,,1131,1640,41,999,403,3,40,0,0,2,6,1,8,100000,2,3003,5,,,,,,,
5300,s==4|福利礼包,s==6|全民福利礼包,,1131,0,1,40,520,4060,1,,0,2,4,,,,,,,,,,,,,
5330,s==4|福利礼包,s==8|vip2半价礼包,,1131,0,1,40,520,4070,1,0,0,2,4,,,,,,,,,,,,,
5360,s==4|福利礼包,s==6|全民半价礼包,,1131,0,1,40,520,4080,1,0,0,2,4,,,,,,,,,,,,,
5390,s==4|福利礼包,s==6|全民福利礼包,,1131,0,41,999,520,4090,1,0,0,2,4,,,,,,,,,,,,,
5420,s==4|福利礼包,s==8|vip2半价礼包,,1131,0,41,999,520,4100,1,0,0,2,4,,,,,,,,,,,,,
5450,s==4|福利礼包,s==6|全民半价礼包,,1131,0,41,999,520,4110,1,0,0,2,4,,,,,,,,,,,,,
5479,s==4|福利领取,s==4|登录1次,,1131,0,1,999,101,0,1,0,0,3,1,1,9,200,2,1005,5,,,,,,,
5480,s==4|福利领取,s==10|开服累充5000元宝,,1131,1930,1,40,525,0,500,0,0,3,1,1,9,1500,2,1014,1,,,,,,,
5510,s==4|福利领取,s==10|累计充值5000元宝,,1131,1930,41,999,510,0,500,0,0,3,1,1,9,1000,2,1076,3,,,,,,,
5570,s==4|校场风云,s==6|校场比武5次,,1131,1110,1,40,104,0,5,0,0,3,2,1,8,20000,2,1005,2,,,,,,,
5600,s==4|校场风云,s==7|校场比武10次,,1131,1110,1,40,104,0,10,0,0,3,2,1,8,30000,2,1007,1,,,,,,,
5630,s==4|校场风云,s==7|校场比武15次,,1131,1110,1,40,104,0,15,0,0,3,2,1,8,50000,2,1005,3,,,,,,,
5660,s==4|校场风云,s==7|校场比武20次,,1131,1110,1,40,104,0,20,0,0,3,2,1,8,80000,2,1007,2,,,,,,,
5690,s==4|校场风云,s==7|校场比武30次,,1131,1110,1,40,104,0,30,0,0,3,2,1,8,100000,2,1005,5,,,,,,,
5720,s==4|校场风云,s==7|校场比武40次,,1131,1110,1,40,104,0,40,0,0,3,2,1,8,100000,2,1007,2,,,,,,,
5750,s==4|校场风云,s==6|校场比武5次,,1131,1110,41,999,104,0,5,0,0,3,2,1,8,20000,1,9,50,,,,,,,
5780,s==4|校场风云,s==7|校场比武10次,,1131,1110,41,999,104,0,10,0,0,3,2,1,8,30000,1,9,50,,,,,,,
5810,s==4|校场风云,s==7|校场比武15次,,1131,1110,41,999,104,0,15,0,0,3,2,1,8,50000,1,9,50,,,,,,,
5840,s==4|校场风云,s==7|校场比武20次,,1131,1110,41,999,104,0,20,0,0,3,2,1,8,80000,1,9,50,,,,,,,
5870,s==4|校场风云,s==7|校场比武30次,,1131,1110,41,999,104,0,30,0,0,3,2,1,8,100000,1,9,50,,,,,,,
5900,s==4|校场风云,s==7|校场比武40次,,1131,1110,41,999,104,0,40,0,0,3,2,1,8,100000,1,9,50,,,,,,,
5930,s==4|融合生辉,s==8|合成1个5星武将,,1131,1630,1,40,519,5,1,0,0,3,3,1,8,20000,2,1019,2,,,,,,,
5960,s==4|融合生辉,s==8|合成2个5星武将,,1131,1630,1,40,519,5,2,0,0,3,3,1,8,30000,2,1019,3,,,,,,,
5990,s==4|融合生辉,s==8|合成3个5星武将,,1131,1630,1,40,519,5,3,0,0,3,3,1,8,50000,2,1019,4,,,,,,,
6020,s==4|融合生辉,s==8|合成4个5星武将,,1131,1630,1,40,519,5,4,0,0,3,3,1,8,80000,2,1019,5,,,,,,,
6050,s==4|融合生辉,s==8|合成1个6星武将,,1131,1630,1,40,519,6,1,0,0,3,3,1,8,100000,2,1019,6,,,,,,,
6080,s==4|融合生辉,s==8|合成2个6星武将,,1131,1630,1,40,519,6,2,0,0,3,3,1,8,100000,2,1019,8,,,,,,,
6110,s==4|融合生辉,s==8|合成1个5星武将,,1131,1630,41,999,519,5,1,0,0,3,3,1,8,20000,2,3008,3,,,,,,,
6140,s==4|融合生辉,s==8|合成2个5星武将,,1131,1630,41,999,519,5,2,0,0,3,3,1,8,30000,2,3008,3,,,,,,,
6170,s==4|融合生辉,s==8|合成3个5星武将,,1131,1630,41,999,519,5,3,0,0,3,3,1,8,50000,2,3008,3,,,,,,,
6200,s==4|融合生辉,s==8|合成4个5星武将,,1131,1630,41,999,519,5,4,0,0,3,3,1,8,80000,2,3008,3,,,,,,,
6230,s==4|融合生辉,s==8|合成1个6星武将,,1131,1630,41,999,519,6,1,0,0,3,3,1,8,100000,2,3008,3,,,,,,,
6260,s==4|融合生辉,s==8|合成2个6星武将,,1131,1630,41,999,519,6,2,0,0,3,3,1,8,100000,2,3008,5,,,,,,,
6290,s==4|福利礼包,s==6|全民福利礼包,,1131,0,1,40,520,4120,1,0,0,3,4,,,,,,,,,,,,,
6320,s==4|福利礼包,s==8|vip3半价礼包,,1131,0,1,40,520,4130,1,0,0,3,4,,,,,,,,,,,,,
6350,s==4|福利礼包,s==6|全民半价礼包,,1131,0,1,40,520,4140,1,0,0,3,4,,,,,,,,,,,,,
6380,s==4|福利礼包,s==6|全民福利礼包,,1131,0,41,999,520,4150,1,0,0,3,4,,,,,,,,,,,,,
6410,s==4|福利礼包,s==8|vip3半价礼包,,1131,0,41,999,520,4160,1,0,0,3,4,,,,,,,,,,,,,
6440,s==4|福利礼包,s==6|全民半价礼包,,1131,0,41,999,520,4170,1,0,0,3,4,,,,,,,,,,,,,
6460,s==4|福利领取,s==4|登录1次,,1131,0,1,40,101,0,1,0,0,4,1,1,9,300,2,1019,1,,,,,,,
6465,s==4|福利领取,s==4|登录1次,,1131,0,41,999,101,0,1,0,0,4,1,1,9,300,2,1019,5,,,,,,,
6470,s==4|福利领取,s==11|开服累充10000元宝,,1131,1930,1,40,525,0,1000,0,0,4,1,1,9,2200,2,1004,1,,,,,,,
6500,s==4|福利领取,s==11|累计充值10000元宝,,1131,1930,41,999,510,0,1000,0,0,4,1,1,9,2200,2,1474,1,,,,,,,
6590,s==4|奇遇之路,s==9|接取10个奇遇任务,,1131,2091,1,40,110,0,10,0,0,4,11,1,8,20000,2,1019,2,,,,,,,
6620,s==4|奇遇之路,s==9|接取20个奇遇任务,,1131,2091,1,40,110,0,20,0,0,4,11,1,8,40000,2,1019,2,,,,,,,
6650,s==4|奇遇之路,s==9|接取30个奇遇任务,,1131,2091,1,40,110,0,30,0,0,4,11,1,8,60000,2,1019,2,,,,,,,
6680,s==4|奇遇之路,s==9|接取40个奇遇任务,,1131,2091,1,40,110,0,40,0,0,4,11,1,8,80000,2,1019,4,,,,,,,
6710,s==4|奇遇之路,s==11|接取5个紫以上奇遇任务,,1131,2091,1,40,212,4,5,0,0,4,11,1,8,100000,2,1019,4,,,,,,,
6740,s==4|奇遇之路,s==12|接取10个紫以上奇遇任务,,1131,2091,1,40,212,4,10,0,0,4,11,1,8,120000,2,1019,4,,,,,,,
6770,s==4|奇遇之路,s==9|接取10个奇遇任务,,1131,2091,41,999,110,0,10,0,0,4,11,1,8,20000,1,9,60,,,,,,,
6800,s==4|奇遇之路,s==9|接取20个奇遇任务,,1131,2091,41,999,110,0,20,0,0,4,11,1,8,40000,1,9,60,,,,,,,
6830,s==4|奇遇之路,s==9|接取30个奇遇任务,,1131,2091,41,999,110,0,30,0,0,4,11,1,8,60000,1,9,60,,,,,,,
6860,s==4|奇遇之路,s==9|接取40个奇遇任务,,1131,2091,41,999,110,0,40,0,0,4,11,1,8,80000,1,9,60,,,,,,,
6890,s==4|奇遇之路,s==11|接取5个紫以上奇遇任务,,1131,2091,41,999,212,4,5,0,0,4,11,1,8,100000,1,9,60,,,,,,,
6920,s==4|奇遇之路,s==12|接取10个紫以上奇遇任务,,1131,2091,41,999,212,4,10,0,0,4,11,1,8,120000,1,9,60,,,,,,,
6950,s==4|奇遇任务,s==8|刷新5次奇遇任务,,1131,2091,1,40,511,0,5,0,0,4,12,1,8,20000,2,1027,5,,,,,,,
6980,s==4|奇遇任务,s==9|刷新10次奇遇任务,,1131,2091,1,40,511,0,10,0,0,4,12,1,8,40000,2,1027,10,,,,,,,
7010,s==4|奇遇任务,s==9|刷新15次奇遇任务,,1131,2091,1,40,511,0,15,0,0,4,12,1,8,60000,2,1027,10,,,,,,,
7040,s==4|奇遇任务,s==9|刷新20次奇遇任务,,1131,2091,1,40,511,0,20,0,0,4,12,1,8,80000,2,1027,10,,,,,,,
7070,s==4|奇遇任务,s==9|刷新30次奇遇任务,,1131,2091,1,40,511,0,30,0,0,4,12,1,8,100000,2,1027,15,,,,,,,
7100,s==4|奇遇任务,s==9|刷新40次奇遇任务,,1131,2091,1,40,511,0,40,0,0,4,12,1,8,120000,2,1027,15,,,,,,,
