id,group,item-type-1,item-id-1,item-value-1,buyArticle-type-1,buyArticle-id-1,buyArticle-value-1,vip,
1,1001,2,1029,12,1,9,1200,,
2,1001,2,1030,3,1,9,600,,
3,1001,2,1003,3,1,9,660,,
4,1001,2,1027,200,1,9,600,,
5,1001,2,1006,1000,1,9,800,,
6,1001,2,1012,50,1,9,1000,,
7,1001,2,1014,1,1,9,980,,
8,1001,2,3002,60,1,9,600,,
9,1001,2,1014,1,1,9,980,,
10,1001,2,1052,100,1,9,1000,,
11,1001,2,1007,10,1,9,490,,
12,1001,2,1001,500,1,9,400,,
13,1001,2,1004,1,1,9,1000,,
14,1002,2,1043,24,1,9,1200,,
15,1002,2,1044,6,1,9,600,,
16,1002,2,1003,3,1,9,660,,
17,1002,2,1027,200,1,9,600,,
18,1002,2,1006,1000,1,9,800,,
19,1002,2,1012,50,1,9,1000,,
20,1002,2,1014,1,1,9,980,,
21,1002,2,3002,60,1,9,600,,
50,1002,2,1014,1,1,9,980,,
51,1002,2,1052,100,1,9,1000,,
52,1002,2,1036,12,1,9,1200,,
53,1002,2,1037,6,1,9,1200,,
54,1002,2,1004,1,1,9,1000,,
55,1003,2,1043,24,1,9,1200,,
56,1003,2,1044,6,1,9,600,,
57,1003,2,1003,3,1,9,660,,
58,1003,2,1027,200,1,9,600,,
59,1003,2,1006,1000,1,9,800,,
60,1003,2,1012,50,1,9,1000,,
61,1003,2,1014,1,1,9,980,,
62,1003,2,3002,60,1,9,600,,
63,1003,2,1014,1,1,9,980,,
64,1003,2,1052,100,1,9,1000,,
65,1003,2,1082,12,1,9,1200,,
66,1003,2,1081,6,1,9,1200,,
67,1003,2,1004,1,1,9,1000,,
68,1004,2,1011,12,1,9,1200,,
69,1004,2,1009,3,1,9,600,,
70,1004,2,1003,3,1,9,660,,
71,1004,2,1027,200,1,9,600,,
72,1004,2,1006,1000,1,9,800,,
73,1004,2,1012,50,1,9,1000,,
74,1004,2,1014,1,1,9,980,,
75,1004,2,3002,60,1,9,600,,
76,1004,2,1014,1,1,9,980,,
77,1004,2,1052,100,1,9,1000,,
78,1004,2,1082,12,1,9,1200,,
79,1004,2,1081,6,1,9,1200,,
80,1004,2,1004,1,1,9,1000,,
81,1005,2,1011,12,1,9,1200,,
82,1005,2,1009,3,1,9,600,,
83,1005,2,1003,3,1,9,660,,
84,1005,2,1027,200,1,9,600,,
85,1005,2,1006,1000,1,9,800,,
86,1005,2,1012,50,1,9,1000,,
87,1005,2,1014,1,1,9,980,,
88,1005,2,3002,60,1,9,600,,
89,1005,2,1014,1,1,9,980,,
90,1005,2,1052,100,1,9,1000,,
91,1005,2,1011,10,1,9,1000,,
92,1005,2,1046,10,1,9,1000,,
93,1005,2,1004,1,1,9,1000,,
94,1006,2,1017,12,1,9,1200,,
95,1006,2,1018,3,1,9,600,,
96,1006,2,1003,3,1,9,660,,
97,1006,2,1027,200,1,9,600,,
98,1006,2,1006,1000,1,9,800,,
99,1006,2,1012,50,1,9,1000,,
100,1006,2,1014,1,1,9,980,,
101,1006,2,3002,60,1,9,600,,
102,1006,2,1014,1,1,9,980,,
103,1006,2,1052,100,1,9,1000,,
104,1006,2,1007,10,1,9,490,,
105,1006,2,1046,10,1,9,1000,,
106,1006,2,1004,1,1,9,1000,,
107,1007,2,1115,2000,1,9,1000,,
108,1007,2,1021,2,1,9,400,,
109,1007,2,1003,3,1,9,660,,
110,1007,2,1027,200,1,9,600,,
111,1007,2,1006,1000,1,9,800,,
112,1007,2,1012,50,1,9,1000,,
113,1007,2,1014,1,1,9,980,,
114,1007,2,3002,60,1,9,600,,
