id,itemType,itemId,combineNum,resourceType,resourceId,disPrice,buyLimit,autoReset,worldlvLimit,lvLimit,lvLimitEx,vipLimit,desc,oriPrice,discount,sort,
1,2,3006,10,1,16,980,,,,,,,s==15|Mảnh Thần 4 sao,,,1000,
2,2,3007,10,1,16,980,,,,,,,s==13|Mảnh Ma 4 sao,,,990,
3,2,3009,10,1,16,2520,,,,,,,s==20|Mảnh 5 sao Ngụy Quốc,,,980,
4,2,3010,10,1,16,2520,,,,,,,s==20|Mảnh 5 sao Thục Quốc,,,970,
5,2,3011,10,1,16,2520,,,,,,,s==19|Mảnh 5 sao Ngô Quốc,,,960,
6,2,3008,10,1,16,2520,,,,,,,s==24|Mảnh Vỡ Ngẫu Nhiên 5 Sao,,,950,
7,2,1004,1,1,16,1960,,,,,,,s==12|Tụ Hiền Lệnh,,,940,
8,2,1052,10,1,16,245,,,,,,,s==21|Chuyển Hóa Thần Thạch,,,930,
9,2,24506,10,1,16,4900,,,,,,,s==22|Thần·Lục Tốn Tủy Phiến,,,920,
10,2,25507,10,1,16,4900,,,,,,,s==24|Ma·Điêu Thuyền Tủy Phiến,,,910,
11,2,1086,1,1,16,52,50,2,,115,115,,s==13|Lạc Long Diệp,,,900,
