id,itemType,itemId,combineNum,resourceType,resourceId,disPrice,buyLimit,autoReset,lvLimit,lvLimitEx,vipLimit,desc,oriPrice,discount,sort,worldlvLimit,toSystem,
1,2,1018,1,1,33,1000,5,2,125,125,,s==33|Tướng Quân Phó Tướng Cấp Cao Lệnh,100,,11,110,-1,
2,2,1017,1,1,33,500,25,2,125,125,,s==25|Tướng Quân Phó Tướng Lệnh,200,,10,110,-1,
3,2,1491,1,1,33,2000,5,2,125,125,,s==13|Gói Tướng Phó,300,,9,110,-1,
4,2,24508,50,1,33,50000,1,3,,,,s==23|Thần·Gia Cát Lượng mảnh,400,,8,,-1,
5,2,25509,50,1,33,50000,1,3,,,,s==23|Ma·Trương Xuân Hoa mảnh,500,,7,,-1,
6,2,21508,50,1,33,37500,1,3,,,,s==16|Mảnh Trương Liêu,700,,6,,-1,
7,2,22507,50,1,33,37500,1,3,,,,s==18|Mảnh Gia Cát Lượng,800,,5,,-1,
8,2,23504,50,1,33,37500,1,3,,,,s==21|Mảnh Tôn Thượng Hương,800,,4,,-1,
9,2,3008,50,1,33,7500,1,2,,,,s==24|Mảnh Vỡ Ngẫu Nhiên 5 Sao,800,,3,,-1,
10,2,1086,100,1,33,7500,1,2,115,115,,s==13|Lạc Long Diệp,800,,2,,-1,
11,2,1006,1000,1,33,5000,3,2,,,,s==14|Tướng Ấn Thạch,800,,1,,-1,
12,2,1257,1,1,33,500,10,2,160,160,,s==18|Đằng Long Bảo Châu,800,,12,,3960,
13,2,2759,1,1,33,2500,10,2,140,140,,s==15|Nội đan chi hồn,,,13,,6340,
