id,activityId,itemType,itemId,combineNum,resourceType,resourceId,disPrice,buyLimit,autoReset,worldlvLimit,lvLimit,lvLimitEx,vipLimit,desc,oriPrice,discount,sort,
1,2000,2,1130,1,2,1102,580,1,4,,,,,s==7|Tâu Thị,,,28,
2,2000,2,1081,1,2,1102,20,5,4,,,,,s==24|Phượng Quân Mĩ Nhân Quan,,,27,
3,2000,2,1082,1,2,1102,10,10,4,,,,,s==15|Lụa Gấm Mĩ Nhân,,,26,
4,2000,2,1080,1,2,1102,10,10,4,,,,,s==11|Đào Hoa Tụy,,,25,
5,2000,2,1009,1,2,1102,20,5,4,,,,,s==12|Hồn Phụ Kiện,,,24,
6,2000,2,1011,1,2,1102,10,20,4,,,,,s==24|Thạch Thăng Sao Phụ Kiện,,,23,
7,2000,2,1044,1,2,1102,10,10,4,,,,,s==16|Linh Hồn Bảo Vật,,,22,
8,2000,2,1043,1,2,1102,5,30,4,,,,,s==22|Thạch Tiến Cấp Bảo Vật,,,21,
9,2000,1,8,50000,2,1102,1,300,4,,,,,s==9|Đồng Tiền,,,20,
29,2000,1,10,50000,2,1102,5,150,4,,,,,s==20|Kinh nghiệm võ tướng,,,19,
30,2000,2,1001,100,2,1102,10,150,4,,,,,s==13|Đột Phá Thạch,,,18,
31,2000,2,1078,100,2,1102,10,30,4,,,,,s==11|Nữ Nhi Hồng,,,17,
10,2002,2,1130,1,2,1108,270,1,4,,,,,s==7|Tâu Thị,,,19,
11,2002,2,1081,1,2,1108,20,5,4,,,,,s==24|Phượng Quân Mĩ Nhân Quan,,,18,
12,2002,2,1082,1,2,1108,10,10,4,,,,,s==15|Lụa Gấm Mĩ Nhân,,,17,
13,2002,2,1080,1,2,1108,10,10,4,,,,,s==11|Đào Hoa Tụy,,,16,
14,2002,2,1009,1,2,1108,20,5,4,,,,,s==12|Hồn Phụ Kiện,,,15,
15,2002,2,1011,1,2,1108,10,20,4,,,,,s==24|Thạch Thăng Sao Phụ Kiện,,,14,
16,2002,2,1044,1,2,1108,10,10,4,,,,,s==16|Linh Hồn Bảo Vật,,,13,
17,2002,2,1043,1,2,1108,5,30,4,,,,,s==22|Thạch Tiến Cấp Bảo Vật,,,12,
18,2002,1,8,50000,2,1108,1,100,4,,,,,s==9|Đồng Tiền,,,11,
19,2002,2,1109,1,2,1108,1,300,4,,,,,s==18|Tình Nhân Chi Niệm,,,10,
20,2002,2,1106,1,2,1109,270,1,4,,,,,s==15|Vương Nguyên Cơ,,,9,
21,2002,2,1081,1,2,1109,20,5,4,,,,,s==24|Phượng Quân Mĩ Nhân Quan,,,8,
22,2002,2,1082,1,2,1109,10,10,4,,,,,s==15|Lụa Gấm Mĩ Nhân,,,7,
23,2002,2,1080,1,2,1109,10,10,4,,,,,s==11|Đào Hoa Tụy,,,6,
24,2002,2,1009,1,2,1109,20,5,4,,,,,s==12|Hồn Phụ Kiện,,,5,
25,2002,2,1011,1,2,1109,10,20,4,,,,,s==24|Thạch Thăng Sao Phụ Kiện,,,4,
26,2002,2,1044,1,2,1109,10,10,4,,,,,s==16|Linh Hồn Bảo Vật,,,3,
27,2002,2,1043,1,2,1109,5,30,4,,,,,s==22|Thạch Tiến Cấp Bảo Vật,,,2,
28,2002,1,8,50000,2,1109,1,100,4,,,,,s==9|Đồng Tiền,,,1,
