id,itemType,itemId,combineNum,resourceType,resourceId,disPrice,buyLimit,autoReset,worldlvLimit,lvLimit,lvLimitEx,vipLimit,desc,oriPrice,discount,sort,toSystem,
1,2,71002,1,1,72,3000,10,2,,,,,s==21|Lệnh Rút Thăm Phù Văn,6000,5,1000,5020,
2,2,71003,1,1,72,840,35,2,,,,,s==23|Thạch Tẩy Luyện Phù Văn,2800,3,990,5020,
3,2,71003,1,1,72,1750,35,2,,,,,s==23|Thạch Tẩy Luyện Phù Văn,2800,8,980,5020,
4,2,71003,1,1,72,2800,50,2,,,,,s==23|Thạch Tẩy Luyện Phù Văn,,,970,5020,
5,2,71009,1,1,72,2000,50,2,,,,,s==30|Kinh Nghiệm Thượng Cấp Phù Văn,10000,4,960,5020,
6,2,71008,1,1,72,1000,50,2,,,,,s==29|Kinh Nghiệm Trung Cấp Phù Văn,5000,5,950,5020,
7,2,1006,1000,1,72,20000,5,2,,,,,s==14|Tướng Ấn Thạch,,,940,,
8,2,1055,10,1,72,2000,10,2,,,,,s==23|Chú Hồn Tiến Giai Thạch,,,930,,
9,2,1056,10,1,72,8000,5,2,,,,,s==16|Chú Hồn Tinh Hồn,,,920,,
10,2,3008,10,1,72,6000,5,2,,,,,s==24|Mảnh Vỡ Ngẫu Nhiên 5 Sao,,,910,,
