id,itemType,itemId,combineNum,resourceType,resourceId,disPrice,buyLimit,autoReset,worldlvLimit,lvLimit,lvLimitEx,vipLimit,desc,oriPrice,discount,sort,autoBuy,
1001,2,50151,1,2,1290,250,1,4,,,,0,s==5|利爪技能书,250,,930,1,
1002,2,50152,1,2,1290,250,1,4,,,,0,s==5|强体技能书,250,,931,1,
1003,2,50153,1,2,1290,250,1,4,,,,0,s==5|厚甲技能书,250,,932,1,
1004,2,50154,1,2,1290,350,1,4,,,,0,s==5|神足技能书,350,,933,1,
1005,2,50155,1,2,1290,300,1,4,,,,0,s==5|强攻技能书,300,,934,1,
1006,2,50156,1,2,1290,300,1,4,,,,0,s==5|固元技能书,300,,935,1,
1007,2,50157,1,2,1290,250,1,4,,,,0,s==5|铁躯技能书,250,,936,1,
1008,2,50169,1,2,1290,350,1,4,,,,0,s==5|奋势技能书,350,,937,1,
1009,2,50176,1,2,1290,350,1,4,,,,0,s==5|丛生技能书,350,,938,1,
1010,2,50161,1,2,1290,350,1,4,,,,0,s==5|锋刺技能书,350,,939,1,
1011,2,50162,1,2,1290,250,1,4,,,,0,s==5|丹裘技能书,250,,940,1,
1012,2,50163,1,2,1290,250,1,4,,,,0,s==5|刃牙技能书,250,,941,1,
1013,2,50164,1,2,1290,300,1,4,,,,0,s==5|煅骨技能书,300,,942,1,
1014,2,50165,1,2,1290,350,1,4,,,,0,s==5|巨力技能书,350,,943,1,
1015,2,50166,1,2,1290,300,1,4,,,,0,s==5|御力技能书,300,,944,1,
1016,2,50167,1,2,1290,350,1,4,,,,0,s==5|玄法技能书,350,,945,1,
1017,2,50168,1,2,1290,300,1,4,,,,0,s==5|御法技能书,300,,946,1,
1018,2,50171,1,2,1290,250,1,4,,,,0,s==5|滋养技能书,250,,947,1,
1019,2,50172,1,2,1290,250,1,4,,,,0,s==5|净禅技能书,250,,948,1,
1020,2,50173,1,2,1290,350,1,4,,,,0,s==5|束缚技能书,350,,949,1,
1021,2,50174,1,2,1290,250,1,4,,,,0,s==5|辟易技能书,250,,950,1,
1022,2,50175,1,2,1290,250,1,4,,,,0,s==5|点破技能书,250,,951,1,
2001,2,50151,1,1,9,2500,1,4,,,,0,s==5|利爪技能书,2500,,952,,
2002,2,50152,1,1,9,2500,1,4,,,,0,s==5|强体技能书,2500,,953,,
2003,2,50153,1,1,9,2500,1,4,,,,0,s==5|厚甲技能书,2500,,954,,
2004,2,50154,1,1,9,3500,1,4,,,,0,s==5|神足技能书,3500,,954,,
2005,2,50155,1,1,9,3000,1,4,,,,0,s==5|强攻技能书,3000,,954,,
2006,2,50156,1,1,9,3000,1,4,,,,0,s==5|固元技能书,3000,,954,,
2007,2,50157,1,1,9,2500,1,4,,,,0,s==5|铁躯技能书,2500,,954,,
2008,2,50169,1,1,9,3500,1,4,,,,0,s==5|奋势技能书,3500,,954,,
2009,2,50176,1,1,9,3500,1,4,,,,0,s==5|丛生技能书,3500,,954,,
2010,2,50161,1,1,9,3500,1,4,,,,0,s==5|锋刺技能书,3500,,954,,
2011,2,50162,1,1,9,2500,1,4,,,,0,s==5|丹裘技能书,2500,,954,,
2012,2,50163,1,1,9,2500,1,4,,,,0,s==5|刃牙技能书,2500,,954,,
2013,2,50164,1,1,9,3000,1,4,,,,0,s==5|煅骨技能书,3000,,954,,
2014,2,50165,1,1,9,3500,1,4,,,,0,s==5|巨力技能书,3500,,955,,
2015,2,50166,1,1,9,3000,1,4,,,,0,s==5|御力技能书,3000,,955,,
2016,2,50167,1,1,9,3500,1,4,,,,0,s==5|玄法技能书,3500,,955,,
2017,2,50168,1,1,9,3000,1,4,,,,0,s==5|御法技能书,3000,,955,,
2018,2,50171,1,1,9,2500,1,4,,,,0,s==5|滋养技能书,2500,,955,,
2019,2,50172,1,1,9,2500,1,4,,,,0,s==5|净禅技能书,2500,,955,,
2020,2,50173,1,1,9,3500,1,4,,,,0,s==5|束缚技能书,3500,,955,,
2021,2,50174,1,1,9,2500,1,4,,,,0,s==5|辟易技能书,2500,,955,,
2022,2,50175,1,1,9,2500,1,4,,,,0,s==5|点破技能书,2500,,955,,
3001,2,50151,1,2,1290,200,1,4,,,,0,s==5|利爪技能书,250,8,955,1,
3002,2,50152,1,2,1290,200,1,4,,,,0,s==5|强体技能书,250,8,955,1,
3003,2,50153,1,2,1290,200,1,4,,,,0,s==5|厚甲技能书,250,8,956,1,
3004,2,50154,1,2,1290,280,1,4,,,,0,s==5|神足技能书,350,8,957,1,
3005,2,50155,1,2,1290,240,1,4,,,,0,s==5|强攻技能书,300,8,958,1,
3006,2,50156,1,2,1290,240,1,4,,,,0,s==5|固元技能书,300,8,959,1,
3007,2,50157,1,2,1290,200,1,4,,,,0,s==5|铁躯技能书,250,8,960,1,
3008,2,50169,1,2,1290,280,1,4,,,,0,s==5|奋势技能书,350,8,961,1,
3009,2,50176,1,2,1290,280,1,4,,,,0,s==5|丛生技能书,350,8,962,1,
3010,2,50161,1,2,1290,280,1,4,,,,0,s==5|锋刺技能书,350,8,963,1,
3011,2,50162,1,2,1290,200,1,4,,,,0,s==5|丹裘技能书,250,8,964,1,
3012,2,50163,1,2,1290,200,1,4,,,,0,s==5|刃牙技能书,250,8,965,1,
3013,2,50164,1,2,1290,240,1,4,,,,0,s==5|煅骨技能书,300,8,966,1,
3014,2,50165,1,2,1290,280,1,4,,,,0,s==5|巨力技能书,350,8,967,1,
3015,2,50166,1,2,1290,240,1,4,,,,0,s==5|御力技能书,300,8,968,1,
3016,2,50167,1,2,1290,280,1,4,,,,0,s==5|玄法技能书,350,8,969,1,
3017,2,50168,1,2,1290,240,1,4,,,,0,s==5|御法技能书,300,8,970,1,
3018,2,50171,1,2,1290,200,1,4,,,,0,s==5|滋养技能书,250,8,971,1,
3019,2,50172,1,2,1290,200,1,4,,,,0,s==5|净禅技能书,250,8,972,1,
3020,2,50173,1,2,1290,280,1,4,,,,0,s==5|束缚技能书,350,8,973,1,
3021,2,50174,1,2,1290,200,1,4,,,,0,s==5|辟易技能书,250,8,974,1,
3022,2,50175,1,2,1290,200,1,4,,,,0,s==5|点破技能书,250,8,975,1,
4001,2,50151,1,1,9,2000,1,4,,,,0,s==5|利爪技能书,2500,8,976,,
4002,2,50152,1,1,9,2000,1,4,,,,0,s==5|强体技能书,2500,8,977,,
4003,2,50153,1,1,9,2000,1,4,,,,0,s==5|厚甲技能书,2500,8,978,,
4004,2,50154,1,1,9,2800,1,4,,,,0,s==5|神足技能书,3500,8,979,,
4005,2,50155,1,1,9,2400,1,4,,,,0,s==5|强攻技能书,3000,8,980,,
4006,2,50156,1,1,9,2400,1,4,,,,0,s==5|固元技能书,3000,8,981,,
4007,2,50157,1,1,9,2000,1,4,,,,0,s==5|铁躯技能书,2500,8,982,,
4008,2,50169,1,1,9,2800,1,4,,,,0,s==5|奋势技能书,3500,8,983,,
4009,2,50176,1,1,9,2800,1,4,,,,0,s==5|丛生技能书,3500,8,984,,
