activityID,ejectSurplusTime,toSystemID,item-type-1,item-id-1,item-value-1,item-subUI-1,item-type-2,item-id-2,item-value-2,item-subUI-2,item-type-3,item-id-3,item-value-3,item-subUI-3,item-type-4,item-id-4,item-value-4,item-subUI-4,
3240,86400,3701,2,1206,0,,2,,,,,,,,,,,,
3290,86400,3851,2,1215,0,,2,,,,,,,,,,,,
3330,86400,4020,2,1232,0,,2,,,,,,,,,,,,
3390,86400,4810,2,6741,0,,2,,,,,,,,,,,,
3310,86400,3923,2,1216,0,4,2,1217,0,3,,,,,,,,,
3350,86400,4253,2,1249,0,3,2,1250,0,4,,,,,,,,,
3230,86400,3661,2,1207,0,,2,,,,,,,,,,,,
3010,86400,3029,2,1157,0,,2,,,,,,,,,,,,
4000,86400,4401,2,1251,0,,2,,,,,,,,,,,,
4010,86400,4411,2,1252,0,,2,,,,,,,,,,,,
5760,86400,6530,2,1682,0,1,2,1683,0,1,2,1684,0,1,2,1685,0,1,
