id,tips,activityID,giftType,systemId,WhichIssue,refresh,itemId,itemType,itemNum,oriPrice,priceType,price,sort,limitType,limitCount,dateStart,dateEnd,stageStart,stageEnd,vipStart,vipEnd,needLevel,needvipLevel,sytemFunctionId,lowLevel,maxLevel,period,timeLimit,timeEmail,hope,oriPrice_tw,oriPrice_us,oriPrice_vn,oriPrice_kr,oriPrice_jp,toSystem,yuanBao,oriPrice_id,
90,s==33|Gói Quà Ưu Đãi Miễn Phí Hàng Tuần,2260,3,,,2,1568,2,1,0,,,0,2,1,,,,,,,,,1310,1,40,,,,,0,0,0,0,,,,,
100,s==30|30_ Gói Quà Ưu Đãi Hàng Tuần 1,2260,3,,,2,1569,2,1,,13,,1,2,3,,,,,,,,,1310,1,40,,,,,,,,,,,,,
110,s==30|68_ Gói Quà Ưu Đãi Hàng Tuần 2,2260,3,,,2,1570,2,1,,16,,2,2,3,,,,,,,,,1310,1,40,,,,,,,,,,,,,
120,s==37|68_ Lễ Vật Tinh Tế Tài Năng Hàng Tuần,2260,3,,,2,1637,2,1,,16,,3,2,3,,,,,,,,,1310,1,40,,,,,,,,,,,,,
130,s==31|128_ Gói Quà Ưu Đãi Hàng Tuần 3,2260,3,,,2,1571,2,1,,19,,4,2,5,,,,,,,,,1310,1,40,,,,,,,,,,,,,
140,s==38|128_ Lễ Vật Hào Hoa Tài Năng Hàng Tuần,2260,3,,,2,1638,2,1,,19,,5,2,5,,,,,,,,,1310,1,40,,,,,,,,,,,,,
141,s==43|Lễ Vật Ưu Đãi Linh Thần Thần Binh Hàng Tuần,2260,3,,,2,2018,2,1,,20,,6,2,4,,,,,,,,,,108,999,,,,,,,,,,,,,
150,s==31|198_ Gói Quà Ưu Đãi Hàng Tuần 4,2260,3,,,2,1636,2,1,,20,,7,2,5,,,,,,,,,1310,1,40,,,,,,,,,,,,,
160,s==31|198_ Gói Quà Ưu Đãi Hàng Tuần 5,2260,3,,,2,1589,2,1,,20,,8,2,5,,,,,,,,,1310,1,40,,,,,,,,,,,,,
170,s==29|198_ Gói Quà Ưu Đãi Hàng Tuần,2260,3,,,2,1598,2,1,,20,,9,2,5,,,,,,,,,1310,1,40,,,,,,,,,,,,,
171,s==29|198_ Gói Quà Ưu Đãi Hàng Tuần,2260,3,,,2,1763,2,1,,20,,10,2,5,,,,,,,,,1310,1,40,,,,,,,,,,,,,
172,s==29|328_ Gói Quà Ưu Đãi Hàng Tuần,2260,3,,,2,2016,2,1,,21,,11,2,5,,,,,,,,,,1,40,,,,,,,,,,,,,
180,s==31|328_ Gói Quà Ưu Đãi Hàng Tuần 6,2260,3,,,2,1572,2,1,,21,,12,2,5,,,,,,,,,1310,1,40,,,,,,,,,,,,,
190,s==31|328_ Gói Quà Ưu Đãi Hàng Tuần 7,2260,3,,,2,1573,2,1,,21,,13,2,5,,,,,,,,,1310,1,40,,,,,,,,,,,,,
191,s==29|648_ Gói Quà Ưu Đãi Hàng Tuần,2260,3,,,2,2017,2,1,,23,,14,2,5,,,,,,,,,,1,40,,,,,,,,,,,,,
