id,itemType,itemId,combineNum,resourceType,resourceId,disPrice,buyLimit,autoReset,lvLimit,lvLimitEx,vipLimit,desc,oriPrice,discount,sort,worldlvLimit,mapId,maptype,
1,2,1051,1,1,28,1000,5,2,,,,s==16|Chiến Kỳ Chi Hồn,100,,8,0,0,1,
2,2,1049,1,1,28,500,200,2,,,,s==17|Tinh Hoa Chiến Kỳ,200,,7,0,0,1,
3,2,6100,1,1,28,2000,10,2,,,,s==21|Rương Cờ Chiến Thường,300,,6,0,1,1,
4,2,6101,1,1,28,2000,10,2,,,,s==21|Rương Cờ Chiến Thường,300,,6,0,2,1,
5,2,6102,1,1,28,2000,10,2,,,,s==21|Rương Cờ Chiến Thường,300,,6,0,3,1,
6,2,6103,1,1,28,2000,10,2,,,,s==21|Rương Cờ Chiến Thường,300,,6,0,4,1,
7,2,6104,1,1,28,2000,10,2,,,,s==21|Rương Cờ Chiến Thường,300,,6,0,5,1,
8,2,6105,1,1,28,2000,10,2,,,,s==21|Rương Cờ Chiến Thường,300,,6,0,6,1,
9,2,1050,1,1,28,750,50,1,,,,s==24|Thạch Tẩy Luyện Chiến Kỳ,400,,5,0,0,1,
10,2,1050,1,1,9,150,50,1,,,,s==24|Thạch Tẩy Luyện Chiến Kỳ,500,,4,0,0,1,
11,2,1006,1000,1,28,5000,3,2,,,,s==14|Tướng Ấn Thạch,700,,3,0,0,1,
12,2,1075,1,1,28,5000,1,2,115,115,,s==21|Tàn Chương Tối Thượng,800,,2,0,0,1,
13,2,1015,1,1,28,6000,2,2,,,,s==24|CÔNG THÀNH ĐOẠT BẢO LỆNH,800,,1,0,0,1,
14,2,1051,1,2,1165,1000,5,2,,,,s==16|Chiến Kỳ Chi Hồn,100,,8,0,0,2,
15,2,1049,1,2,1165,500,65,2,,,,s==17|Tinh Hoa Chiến Kỳ,200,,7,0,0,2,
16,2,6100,1,2,1165,2000,10,2,,,,s==21|Rương Cờ Chiến Thường,300,,6,0,1,2,
17,2,6101,1,2,1165,2000,10,2,,,,s==21|Rương Cờ Chiến Thường,300,,6,0,2,2,
18,2,6102,1,2,1165,2000,10,2,,,,s==21|Rương Cờ Chiến Thường,300,,6,0,3,2,
19,2,6103,1,2,1165,2000,10,2,,,,s==21|Rương Cờ Chiến Thường,300,,6,0,4,2,
20,2,6104,1,2,1165,2000,10,2,,,,s==21|Rương Cờ Chiến Thường,300,,6,0,5,2,
21,2,6105,1,2,1165,2000,10,2,,,,s==21|Rương Cờ Chiến Thường,300,,6,0,6,2,
22,2,1050,1,2,1165,750,50,1,,,,s==24|Thạch Tẩy Luyện Chiến Kỳ,400,,5,0,0,2,
23,2,1050,1,2,9,150,50,1,,,,s==24|Thạch Tẩy Luyện Chiến Kỳ,500,,4,0,0,2,
24,2,1006,1000,2,1165,5000,3,2,,,,s==14|Tướng Ấn Thạch,700,,3,0,0,2,
25,2,1075,1,2,1165,5000,1,2,115,115,,s==21|Tàn Chương Tối Thượng,800,,2,0,0,2,
26,2,1015,1,2,1165,6000,2,2,,,,s==24|CÔNG THÀNH ĐOẠT BẢO LỆNH,800,,1,0,0,2,
