id,itemType,itemId,combineNum,resourceType,resourceId,disPrice,buyLimit,autoReset,worldlvLimit,lvLimit,lvLimitEx,vipLimit,desc,oriPrice,discount,sort,
1,2,1010,1,2,1008,5,100,1,,,,,s==22|Đá rèn luyện trang sức,,,1000,
2,2,1011,1,2,1008,10,100,2,,,,,s==24|Thạch Thăng Sao Phụ Kiện,,,999,
3,2,1803,1,2,1008,39,,,,,,,s==34|[Ngẫu Nhiên] Hổ Phù Tấn Công 1 Sao,,,998,
4,2,1779,1,2,1008,39,,,,,,,s==37|[Ngẫu Nhiên] Áo Choàng Tấn Công 1 Sao,,,997,
5,2,1791,1,2,1008,39,,,,,,,s==36|[Ngẫu Nhiên] Đoản Đao Tấn Công 1 Sao,,,996,
6,2,1767,1,2,1008,39,,,,,,,s==36|[Ngẫu Nhiên] Ngọc Bội Tấn Công 1 Sao,,,995,
7,2,531101,1,2,1008,200,,,,,,,s==37|[Tuyệt Phẩm] Ngọc Bội Công Kích 1 Sao,,,990,
8,2,531201,1,2,1008,200,,,,,,,s==38|[Tuyệt Phẩm] Áo Choàng Công Kích 1 Sao,,,993,
9,2,531301,1,2,1008,200,,,,,,,s==37|[Tuyệt phẩm] Đoản đao Công Kích 1 sao,,,992,
10,2,531401,1,2,1008,200,,,,,,,s==35|[Tuyệt phẩm] Hổ phù Công Kích 1 sao,,,994,
11,2,1804,1,2,1008,39,,,,,,,s==35|[Ngẫu Nhiên] Hổ Phù Phòng Ngự 1 Sao,,,989,
12,2,1780,1,2,1008,39,,,,,,,s==38|[Ngẫu Nhiên] Áo Choàng Phòng Ngự 1 Sao,,,988,
13,2,1792,1,2,1008,39,,,,,,,s==37|[Ngẫu Nhiên] Đoản Đao Phòng Ngự 1 Sao,,,987,
14,2,1768,1,2,1008,39,,,,,,,s==37|[Ngẫu Nhiên] Ngọc Bội Phòng Ngự 1 Sao,,,986,
15,2,531102,1,2,1008,200,,,,,,,s==37|[Tuyệt Phẩm] Ngọc Bội Phòng Ngự 1 Sao,,,981,
16,2,531202,1,2,1008,200,,,,,,,s==38|[Tuyệt Phẩm] Áo Choàng Phòng Ngự 1 Sao,,,984,
17,2,531302,1,2,1008,200,,,,,,,s==37|[Tuyệt phẩm] Đoản đao Phòng Ngự 1 sao,,,983,
