id,itemType,itemId,combineNum,resourceType,resourceId,disPrice,buyLimit,autoReset,worldlvLimit,lvLimit,lvLimitEx,vipLimit,desc,oriPrice,discount,sort,
1,2,1056,10,1,9,400,5,4,,30,,,s==4|装备之魂,1000,2,1,
2,2,1056,10,1,9,400,10,4,,60,,,s==4|装备之魂,1000,2,1,
3,2,1056,10,1,9,400,5,4,,90,,,s==4|装备之魂,1000,2,1,
4,2,1056,10,1,9,400,10,4,,120,,,s==4|装备之魂,1000,2,1,
5,2,1056,10,1,9,400,5,4,,150,,,s==4|装备之魂,1000,2,1,
6,2,1056,10,1,9,400,10,4,,180,,,s==4|装备之魂,1000,2,1,
7,2,1056,10,1,9,400,5,4,,210,,,s==4|装备之魂,1000,2,1,
8,2,1056,10,1,9,400,10,4,,240,,,s==4|装备之魂,1000,2,1,
9,2,1056,10,1,9,400,5,4,,270,,,s==4|装备之魂,1000,2,1,
10,2,1056,10,1,9,400,10,4,,300,,,s==4|装备之魂,1000,2,1,
11,2,1056,10,1,9,400,5,4,,330,,,s==4|装备之魂,1000,2,1,
12,2,1056,10,1,9,400,10,4,,360,,,s==4|装备之魂,1000,2,1,
13,2,1056,10,1,9,400,5,4,,390,,,s==4|装备之魂,1000,2,1,
14,2,1056,10,1,9,400,10,4,,420,,,s==4|装备之魂,1000,2,1,
15,2,1056,10,1,9,400,5,4,,450,,,s==4|装备之魂,1000,2,1,
16,2,1056,10,1,9,400,10,4,,480,,,s==4|装备之魂,1000,2,1,
17,2,1056,10,1,9,400,5,4,,510,,,s==4|装备之魂,1000,2,1,
18,2,1056,10,1,9,400,10,4,,540,,,s==4|装备之魂,1000,2,1,
19,2,1056,10,1,9,400,5,4,,570,,,s==4|装备之魂,1000,2,1,
20,2,1056,10,1,9,400,10,4,,600,,,s==4|装备之魂,1000,2,1,
21,2,1056,10,1,9,400,5,4,,630,,,s==4|装备之魂,1000,2,1,
22,2,1056,10,1,9,400,10,4,,660,,,s==4|装备之魂,1000,2,1,
23,2,1056,10,1,9,400,5,4,,690,,,s==4|装备之魂,1000,2,1,
24,2,1056,10,1,9,400,10,4,,720,,,s==4|装备之魂,1000,2,1,
25,2,1056,10,1,9,400,5,4,,750,,,s==4|装备之魂,1000,2,1,
26,2,1056,10,1,9,400,10,4,,780,,,s==4|装备之魂,1000,2,1,
27,2,1056,10,1,9,400,5,4,,810,,,s==4|装备之魂,1000,2,1,
28,2,1056,10,1,9,400,10,4,,840,,,s==4|装备之魂,1000,2,1,
29,2,1056,10,1,9,400,5,4,,870,,,s==4|装备之魂,1000,2,1,
30,2,1056,10,1,9,400,10,4,,900,,,s==4|装备之魂,1000,2,1,
31,2,1056,10,1,9,400,5,4,,930,,,s==4|装备之魂,1000,2,1,
32,2,1056,10,1,9,400,10,4,,960,,,s==4|装备之魂,1000,2,1,
33,2,1056,10,1,9,400,5,4,,990,,,s==4|装备之魂,1000,2,1,
34,2,1056,10,1,9,400,10,4,,1020,,,s==4|装备之魂,1000,2,1,
35,2,1056,10,1,9,400,5,4,,1050,,,s==4|装备之魂,1000,2,1,
36,2,1056,10,1,9,400,10,4,,1080,,,s==4|装备之魂,1000,2,1,
37,2,1056,10,1,9,400,5,4,,1110,,,s==4|装备之魂,1000,2,8,
38,2,1056,10,1,9,400,10,4,,1140,,,s==4|装备之魂,1000,2,7,
39,2,1056,10,1,9,400,5,4,,1170,,,s==4|装备之魂,1000,2,7,
40,2,1056,10,1,9,400,10,4,,1200,,,s==4|装备之魂,1000,2,1,
41,2,1056,10,1,9,400,5,4,,1230,,,s==4|装备之魂,1000,2,1,
42,2,1056,10,1,9,400,10,4,,1260,,,s==4|装备之魂,1000,2,7,
43,2,1056,10,1,9,400,5,4,,1290,,,s==4|装备之魂,1000,2,1,
44,2,1056,10,1,9,400,10,4,,1320,,,s==4|装备之魂,1000,2,1,
45,2,1056,10,1,9,400,5,4,,1350,,,s==4|装备之魂,1000,2,7,
46,2,1056,10,1,9,400,10,4,,1380,,,s==4|装备之魂,1000,2,1,
47,2,1056,10,1,9,400,5,4,,1410,,,s==4|装备之魂,1000,2,1,
48,2,1056,10,1,9,400,10,4,,1440,,,s==4|装备之魂,1000,2,7,
49,2,1056,10,1,9,400,5,4,,1470,,,s==4|装备之魂,1000,2,1,
50,2,1056,10,1,9,400,10,4,,1500,,,s==4|装备之魂,1000,2,1,
51,2,1055,100,1,8,2000000,3,1,,150,,,s==5|装备进阶石,20000000,2,10,
52,2,1055,100,1,8,2000000,3,1,,300,,,s==5|装备进阶石,20000000,2,9,
53,2,1055,100,1,8,2000000,3,1,,450,,,s==5|装备进阶石,20000000,2,8,
54,2,1055,100,1,8,2000000,3,1,,600,,,s==5|装备进阶石,20000000,2,7,
55,2,1055,100,1,8,2000000,3,1,,750,,,s==5|装备进阶石,20000000,2,6,
56,2,1055,100,1,8,2000000,3,1,,900,,,s==5|装备进阶石,20000000,2,5,
57,2,1055,100,1,8,2000000,3,1,,1050,,,s==5|装备进阶石,20000000,2,4,
58,2,1055,100,1,8,2000000,3,1,,1200,,,s==5|装备进阶石,20000000,2,3,
59,2,1055,100,1,8,2000000,3,1,,1350,,,s==5|装备进阶石,20000000,2,2,
60,2,1055,100,1,8,2000000,3,1,,1500,,,s==5|装备进阶石,20000000,2,1,
61,2,1056,1,1,9,100,20,1,,1,,,s==4|装备之魂,4000,5,11,
