id,itemType,itemId,combineNum,resourceType,resourceId,disPrice,buyLimit,autoReset,worldlvLimit,lvLimit,lvLimitEx,vipLimit,desc,oriPrice,discount,sort,
1,2,22405,30,1,17,1470,2,2,,,,,s==12|Mảnh Tần Mật,,,1000,
2,2,23403,30,1,17,1470,2,2,,,,,s==20|Mảnh Tướng Trình Phổ,,,990,
3,2,21402,30,1,17,1470,2,2,,,,,s==13|Mảnh Dương Tu,,,980,
4,2,24401,30,1,17,1960,2,2,,,,,s==16|Thần·Tư Mậu Mảnh,,,970,
5,2,25402,30,1,17,1960,2,2,,,,,s==17|Ma·Trương Tế Mảnh,,,960,
6,2,23507,50,1,17,14700,1,2,,,,,s==18|Cam Ninh Tủy Phiến,,,950,
7,2,25506,50,1,17,14700,1,2,,,,,s==21|Ma·Chúc Dung Tàn Phần,,,940,
8,2,22501,50,1,17,14700,1,2,,,,,s==16|Mảnh Hoàng Trung,,,930,
9,2,3008,10,1,17,1800,1,2,,,,,s==24|Mảnh Vỡ Ngẫu Nhiên 5 Sao,,,920,
10,2,2631,1,1,17,19600,1,2,,,,,s==30|Kiếm Thượng Phương Trấn Nguyệt,,,910,
11,2,2632,1,1,17,19600,1,2,,,,,s==14|Mũ Trấn Nguyệt,,,900,
12,2,2633,1,1,17,19600,1,2,,,,,s==16|Giáp Trấn Nguyệt,,,890,
13,2,2634,1,1,17,19600,1,2,,,,,s==16|Găng Trấn Nguyệt,,,880,
14,2,4020,1,1,17,2450,2,2,,,,,s==15|Hiệu Ấn Hiệu Úy,,,870,
15,2,4010,1,1,17,490,5,2,,,,,s==13|Hiệu Ấn Đô Úy,,,860,
16,2,1002,1,1,17,49,5,2,,,,,s==26|Lệnh Tầm Bảo Thường Thường,,,850,
