id,itemType,itemId,combineNum,resourceType,resourceId,disPrice,oriPrice,discount,buyLimit,autoReset,worldlvLimit,lvLimit,lvLimitEx,vipLimit,desc,task,sort,
1,2,7009,1,1,68,95000,,,1,4,,,,,s==19|Chiến Hồn Công Kích,119,984,
2,2,7010,1,1,68,70000,,,1,4,,,,,s==18|Chiến Hồn Trị Liệu,,985,
3,2,7011,1,1,68,70000,,,1,4,,,,,s==21|Chiến Hồn Kháng Khống,,986,
4,2,900007,1,1,68,100000,,,1,4,,,,,s==23|Bích Tiêu Kiếm Trang Bị,120,994,
5,2,900010,1,1,68,100000,,,1,4,,,,,s==21|Truy Hồn Đao Trang Bị,,995,
6,2,1200,1,1,68,35000,,,2,3,,999,999,,s==37|Ngũ Tinh Lục Sao Trang Bị Nguyên Liệu,,993,
7,2,1199,1,1,68,100000,,,2,4,,,,,s==19|Thiên Linh Cẩm Đoán,,992,
8,2,1211,1,1,68,120000,,,2,4,,,,,s==17|Thần Sức Tẩm Tinh,,991,
9,2,1177,1,1,68,50000,,,1,3,,999,999,,s==21|Siêu Cấp Kỹ Năng Ngọc,,996,
10,2,1054,1,1,68,4000,,,40,3,,,,,s==18|Tạo Hóa Thần Thạch,,989,
11,2,1105,1,1,68,1500,,,50,3,,,,,s==19|Tướng Ấn Khóa Thạch,,988,
12,2,30022,1,1,68,5000,,,1,4,,,,,s==32|Ma Long Xuất Thế Ảnh Tượng Khung,,987,
13,2,19824,1,1,68,6000,,,1,4,,,,,s==16|Khí Bọt Cấp Thấp,,983,
14,2,46005,1,1,68,6000,,,1,4,,,,,s==24|Thần Tư Mã Huy Ảnh Tượng,,980,
15,2,46006,1,1,68,6000,,,1,4,,,,,s==28|Thanh Lâu Đại Kiều Ảnh Tượng,,978,
16,2,46007,1,1,68,10000,,,1,4,,,,,s==26|Thần Bộ Luyện Sư Ảnh Tượng,,977,
17,2,47001,1,1,68,15000,,,1,4,,,,,s==25|Thần Tư Mã Huy Hình Tượng,,976,
18,2,47005,1,1,68,15000,,,1,4,,,,,s==29|Thanh Lâu Đại Kiều Hình Tượng,,973,
19,2,47002,1,1,68,15000,,,1,4,,,,,s==27|Thần Bộ Luyện Sư Hình Tượng,,972,
20,2,19829,1,1,68,12000,,,1,4,,,,,s==15|Khí Bọt Cao Cấp,121,971,
21,2,46008,1,1,68,10000,,,1,4,,,,,s==20|Sa Ma Khắc Ảnh Tượng,122,979,
22,2,46009,1,1,68,10000,,,1,4,,,,,s==26|Bắc Cung Bá Ngọc Ảnh Tượng,123,975,
23,2,47003,1,1,68,15000,,,1,4,,,,,s==21|Sa Ma Khắc Hình Tượng,124,974,
24,2,47004,1,1,68,15000,,,1,4,,,,,s==27|Bắc Cung Bá Ngọc Hình Tượng,125,970,
25,2,30029,1,1,68,666,,,1,4,,,,,s==44|Cấp Thấp Chiến Khu Quán Quân Ảnh Tượng Khung,126,969,
26,2,30030,1,1,68,666,,,1,4,,,,,s==43|Cao Cấp Chiến Khu Quán Quân Ảnh Tượng Khung,127,982,
27,2,1030,1,1,68,1500,,,10,3,,,,,s==13|Hồn Thần Binh,,981,
28,2,1044,1,1,68,750,,,10,3,,,,,s==16|Linh Hồn Bảo Vật,,968,
29,2,1037,1,1,68,1500,,,10,3,,,,,s==13|Thôi Hỏa Ngọc,,967,
30,2,1081,1,1,68,1500,,,10,3,,,,,s==24|Phượng Quân Mĩ Nhân Quan,,966,
31,2,1044,1,1,68,1500,,,10,3,,,,,s==16|Linh Hồn Bảo Vật,,965,
32,2,1104,1,1,68,1500,,,10,3,,,,,s==18|Bảo Thạch Tinh Hoa,,964,
33,2,1004,1,1,68,3000,7500,4,10,3,,,,,s==12|Tụ Hiền Lệnh,,1000,
34,2,1003,1,1,68,880,1100,8,20,3,,,,,s==20|Lệnh Tầm Bảo Cao Cấp,,1004,
35,2,1001,1000,1,68,2500,5000,5,5,3,,,,,s==13|Đột Phá Thạch,,998,
36,2,1006,1000,1,68,2500,5000,5,5,3,,,,,s==14|Tướng Ấn Thạch,,997,
37,2,6685,1,1,68,2500,,,3,3,,200,200,,s==16|Phong Vương Miện,,1001,
38,2,1177,1,1,68,50000,,,1,3,,,,,s==21|Siêu Cấp Kỹ Năng Ngọc,,990,
39,2,1279,1,1,68,700,2300,3,65,3,,165,165,,s==17|Vô Song Hồn Thạch,,1002,
40,2,1285,1,1,68,700,2300,3,15,3,,165,165,,s==18|Hồn Thạch Môn Phái,,1003,
