id,round,flopTimes,libId,LuckyAwardRate,
1,1,1,1,0,
2,1,2,1,0,
3,1,3,1,0,
4,1,4,1,0,
5,1,5,1,0,
6,1,6,1,0,
7,1,7,1,0,
8,1,8,1,0,
9,1,9,1,0,
10,1,10,1,0,
11,1,11,1,0,
12,1,12,1,0,
13,1,13,1,0,
14,1,14,1,0,
15,1,15,1,0,
16,1,16,1,0,
17,1,17,1,0,
18,1,18,1,0,
19,1,19,1,0,
20,1,20,1,0,
21,1,21,1,0,
22,1,22,1,0,
23,1,23,1,0,
24,1,24,1,0,
25,1,25,1,0,
26,1,26,1,0,
27,1,27,1,0,
28,1,28,1,0,
29,1,29,1,0,
30,1,30,1,0,
31,1,31,1,0,
32,1,32,1,0,
33,1,33,1,0,
34,1,34,1,0,
35,1,35,1,0,
36,1,36,1,0,
37,1,37,1,0,
38,1,38,1,0,
39,1,39,1,0,
40,1,40,1,10000,
41,2,1,1,0,
42,2,2,1,0,
43,2,3,1,0,
44,2,4,1,0,
45,2,5,1,0,
46,2,6,1,0,
47,2,7,1,0,
48,2,8,1,0,
49,2,9,1,0,
50,2,10,1,0,
51,2,11,1,0,
52,2,12,1,0,
53,2,13,1,0,
54,2,14,1,0,
55,2,15,1,0,
56,2,16,1,0,
57,2,17,1,0,
58,2,18,1,0,
59,2,19,1,0,
60,2,20,1,0,
61,2,21,1,0,
62,2,22,1,0,
63,2,23,1,0,
64,2,24,1,0,
65,2,25,1,0,
66,2,26,1,0,
67,2,27,1,0,
68,2,28,1,0,
69,2,29,1,0,
70,2,30,1,0,
71,2,31,1,0,
72,2,32,1,0,
73,2,33,1,0,
74,2,34,1,0,
75,2,35,1,0,
76,2,36,1,0,
77,2,37,1,0,
78,2,38,1,0,
79,2,39,1,0,
80,2,40,1,10000,
81,3,1,1,0,
82,3,2,1,0,
83,3,3,1,0,
84,3,4,1,0,
85,3,5,1,0,
86,3,6,1,0,
87,3,7,1,0,
88,3,8,1,0,
89,3,9,1,0,
90,3,10,1,0,
91,3,11,1,0,
92,3,12,1,0,
93,3,13,1,0,
94,3,14,1,0,
95,3,15,1,0,
96,3,16,1,0,
97,3,17,1,0,
98,3,18,1,0,
99,3,19,1,0,
100,3,20,1,0,
101,3,21,1,0,
102,3,22,1,0,
103,3,23,1,0,
104,3,24,1,0,
105,3,25,1,0,
106,3,26,1,0,
107,3,27,1,0,
108,3,28,1,0,
109,3,29,1,0,
110,3,30,1,0,
111,3,31,1,0,
112,3,32,1,0,
113,3,33,1,0,
114,3,34,1,500,
115,3,35,1,1000,
116,3,36,1,2000,
117,3,37,1,4000,
118,3,38,1,6000,
119,3,39,1,8000,
120,3,40,1,10000,
