id,taskName,taskDesc,targets-targetType-1,targets-targetId-1,targets-targetValue-1,targets-targetType-2,targets-targetId-2,targets-targetValue-2,targets-targetType-3,targets-targetId-3,targets-targetValue-3,rewards-type-1,rewards-id-1,rewards-value-1,rewards-type-2,rewards-id-2,rewards-value-2,rewards-type-3,rewards-id-3,rewards-value-3,prioriy,
1001,,s==25|Hằng ngày đăng nhập 1 lần,101,0,1,0,0,0,0,0,0,2,1001,50,1,8,50000,1,10,20000,46,
1002,,s==25|Tích nạp tổng cộng 60 KNB,510,0,6,0,0,0,0,0,0,2,1003,1,1,8,50000,1,10,20000,45,
1003,,s==34|Thách đấu Quỷ Thần Thí Luyện 2 lần,543,0,2,0,0,0,0,0,0,2,1002,2,1,8,50000,1,10,20000,44,
1004,,s==34|Thách đấu Quỷ Thần Thí Luyện 4 lần,543,0,4,0,0,0,0,0,0,2,1120,1,1,8,50000,1,10,20000,43,
1005,,s==72|Thách đấu/Quét sạch 3 lần trận chiến Kinh Châu thuộc bất kỳ phe phái nào,515,0,3,0,0,0,0,0,0,2,1005,1,1,8,50000,1,10,20000,42,
1006,,s==72|Thách đấu/Quét sạch 8 lần trận chiến Kinh Châu thuộc bất kỳ phe phái nào,515,0,8,0,0,0,0,0,0,2,1007,1,1,8,50000,1,10,20000,41,
1007,,s==73|Thách đấu/Quét sạch 12 lần trận chiến Kinh Châu thuộc bất kỳ phe phái nào,515,0,12,0,0,0,0,0,0,2,1014,1,1,8,50000,1,10,20000,40,
1008,,s==50|Nhận 1 lần nhiệm vụ kỳ duyên phẩm chất cam trở lên,212,5,1,0,0,0,0,0,0,2,1006,50,1,8,50000,1,10,20000,39,
1009,,s==50|Nhận 2 lần nhiệm vụ kỳ duyên phẩm chất cam trở lên,212,5,2,0,0,0,0,0,0,2,1027,30,1,8,50000,1,10,20000,38,
1010,,s==50|Nhận 3 lần nhiệm vụ kỳ duyên phẩm chất cam trở lên,212,5,3,0,0,0,0,0,0,2,1003,1,1,8,50000,1,10,20000,37,
1011,,s==45|Thách đấu/quét sạch 5 lần phó bản thường nhật,111,0,5,0,0,0,0,0,0,2,1005,1,1,8,50000,1,10,20000,36,
1012,,s==44|Thách đấu/Quét sạch 10 lần Phó Bản Hằng Ngày,111,0,10,0,0,0,0,0,0,2,1007,1,1,8,50000,1,10,20000,35,
1013,,s==44|Thách đấu/Quét sạch 15 lần Phó Bản Hằng Ngày,111,0,15,0,0,0,0,0,0,2,1014,1,1,8,50000,1,10,20000,34,
1014,,s==38|Mua 3 vật phẩm tại Thần Bí Thương Điếm,402,2,3,0,0,0,0,0,0,2,1006,50,1,8,50000,1,10,20000,33,
1015,,s==39|Mua 5 món đạo cụ tại Thương Thành Bí Ẩn,402,2,5,0,0,0,0,0,0,2,1027,30,1,8,50000,1,10,20000,32,
1016,,s==40|Mua 10 món đạo cụ tại Thương Thành Bí Ẩn,402,2,10,0,0,0,0,0,0,2,1003,1,1,8,50000,1,10,20000,31,
1017,,s==38|Tiêu hao 3 lần tại Thương Thành Đạo Cụ,402,1,3,0,0,0,0,0,0,2,1005,1,1,8,50000,1,10,20000,30,
1018,,s==38|Tiêu hao tại Đạo Cụ Thương Thành 5 lần,402,1,5,0,0,0,0,0,0,2,1007,1,1,8,50000,1,10,20000,29,
1019,,s==39|Tiêu hao tại Đạo Cụ Thương Thành 10 lần,402,1,10,0,0,0,0,0,0,2,1014,1,1,8,50000,1,10,20000,28,
1020,,s==32|Tham gia 2 lần Hiệu Trường Tỉ Võ,104,0,2,0,0,0,0,0,0,2,1006,50,1,8,50000,1,10,20000,27,
1021,,s==32|Tham gia 5 lần Hiệu Trường Tỉ Võ,104,0,5,0,0,0,0,0,0,2,1027,30,1,8,50000,1,10,20000,26,
1022,,s==32|Tham gia 7 lần Hiệu Trường Tỉ Võ,104,0,7,0,0,0,0,0,0,2,1003,1,1,8,50000,1,10,20000,25,
1023,,s==19|Tích điểm Kim 3 lần,509,0,3,0,0,0,0,0,0,2,1005,1,1,8,50000,1,10,20000,24,
1024,,s==19|Tích điểm Kim 5 lần,509,0,5,0,0,0,0,0,0,2,1007,1,1,8,50000,1,10,20000,23,
1025,,s==20|Tích điểm Kim 10 lần,509,0,10,0,0,0,0,0,0,2,1014,1,1,8,50000,1,10,20000,22,
1026,,s==19|Tự do Tầm Vấn 5 lần,103,0,5,0,0,0,0,0,0,2,1006,50,1,8,50000,1,10,20000,21,
1027,,s==20|Tự do Tầm Vấn 10 lần,103,0,10,0,0,0,0,0,0,2,1027,30,1,8,50000,1,10,20000,20,
1028,,s==20|Tự do Tầm Vấn 20 lần,103,0,20,0,0,0,0,0,0,2,1003,1,1,8,50000,1,10,20000,19,
1029,,s==29|Hợp thành 1 vị võ tướng 5 sao,519,5,1,0,0,0,0,0,0,2,1005,1,1,8,50000,1,10,20000,18,
1030,,s==26|Hợp Thành 2 vị Tướng 5 Sao,519,5,2,0,0,0,0,0,0,2,1007,1,1,8,50000,1,10,20000,17,
1031,,s==26|Hợp Thành 3 vị Tướng 5 Sao,519,5,3,0,0,0,0,0,0,2,1014,1,1,8,50000,1,10,20000,16,
1032,,s==26|Tham gia 1 lần Tụ Hiền Các,211,0,1,0,0,0,0,0,0,2,1006,50,1,8,50000,1,10,20000,15,
1033,,s==26|Tham gia 2 lần Tụ Hiền Các,211,0,2,0,0,0,0,0,0,2,1027,30,1,8,50000,1,10,20000,14,
1034,,s==26|Tham gia 3 lần Tụ Hiền Các,211,0,3,0,0,0,0,0,0,2,1003,1,1,8,50000,1,10,20000,13,
1035,,s==15|Đoạt Bảo 10 lần,513,0,10,0,0,0,0,0,0,2,1005,1,1,8,50000,1,10,20000,12,
1036,,s==15|Đoạt bảo 20 lần,513,0,20,0,0,0,0,0,0,2,1007,1,1,8,50000,1,10,20000,11,
1037,,s==15|Đoạt bảo 30 lần,513,0,30,0,0,0,0,0,0,2,1014,1,1,8,50000,1,10,20000,10,
1038,,s==33|Tham gia 5 lần Hợp Thành Trang Bị,516,0,5,0,0,0,0,0,0,2,1006,50,1,8,50000,1,10,20000,9,
1039,,s==34|Tham gia 10 lần Hợp Thành Trang Bị,516,0,10,0,0,0,0,0,0,2,1027,30,1,8,50000,1,10,20000,8,
1040,,s==34|Tham gia 15 lần Hợp Thành Trang Bị,516,0,15,0,0,0,0,0,0,2,1003,1,1,8,50000,1,10,20000,7,
1041,,s==24|Hợp thành Tướng Ấn 1 lần,209,0,1,0,0,0,0,0,0,2,1005,1,1,8,50000,1,10,20000,6,
1042,,s==24|Hợp thành Tướng Ấn 2 lần,209,0,2,0,0,0,0,0,0,2,1007,1,1,8,50000,1,10,20000,5,
1043,,s==24|Hợp thành Tướng Ấn 3 lần,209,0,3,0,0,0,0,0,0,2,1014,1,1,8,50000,1,10,20000,4,
1044,,s==27|Giao duy cùng mỹ nhân 1 lần,518,0,1,0,0,0,0,0,0,2,1006,50,1,8,50000,1,10,20000,3,
1045,,s==27|Giao duy cùng mỹ nhân 3 lần,518,0,3,0,0,0,0,0,0,2,1027,30,1,8,50000,1,10,20000,2,
1046,,s==29|Giao duyên cùng Mỹ Nhân 5 lần,518,0,5,0,0,0,0,0,0,2,1003,1,1,8,50000,1,10,20000,1,
2001,,s==25|Hằng ngày đăng nhập 1 lần,101,0,1,0,0,0,0,0,0,1,9,50,1,9,50000,1,9,20000,46,
2002,,s==25|Tích nạp tổng cộng 60 KNB,510,0,6,0,0,0,0,0,0,1,9,50,1,9,50000,1,9,20000,45,
