id,choiceAble,taskCommon%1,taskCommon%2,taskCommon%3,taskCommon%4,taskCommon%5,taskRemember,showLvRequest,showDaysRequest,
1130,1,3,5,,,,,70,,
1110,,,,,,,,70,,
1240,2,,,,,,1,70,,
1250,,,,,,,,70,,
2092,1,4,5,9,,,,70,,
1640,1,3,5,10,,,,70,,
1460,1,1,2,3,,,,70,,
1470,1,3,7,,,,,70,,
1020,,,,,,,,70,,
2880,,,,,,,,70,,
1994,1,1,2,3,,,,70,,
2001,,,,,,,,70,,
1012,1,,,,,,,70,,
2011,,,,,,,,70,,
2043,,,,,,,,70,,
1111,,,,,,,,70,,
1980,1,,,,,,,140,,
2130,1,,,,,,,70,,
1191,,,,,,,,105,,
3012,1,,,,,,,70,,
3013,,,,,,,,70,,
1471,,1,,,,,,70,,
