id,name,resource-type-1,resource-id-1,resource-value-1,resource-type-2,resource-id-2,resource-value-2,resource-type-3,resource-id-3,resource-value-3,resource-type-4,resource-id-4,resource-value-4,resource-type-5,resource-id-5,resource-value-5,resource-type-6,resource-id-6,resource-value-6,resource-type-7,resource-id-7,resource-value-7,
1370,s==24|Gói Quà Võ Tướng Rút Lui,1,9,300,2,1053,10,2,1001,500,1,8,1000000,,,,,,,,,,
1371,s==22|Gói Nguyên Liệu Ưu Đãi,1,9,300,2,1003,5,2,1001,500,1,8,1000000,,,,,,,,,,
1372,s==29|Gói Quà Nguyên Liệu Hào Phóng,1,9,680,2,1003,6,2,1001,1200,1,8,3000000,,,,,,,,,,
1373,s==27|Gói Quà Đồng Tiền Hào Phóng,1,9,980,1,8,20000000,1,8,30000000,1,8,40000000,,,,,,,,,,
1374,s==24|Gói Nguyên Liệu Long Hồn,1,9,1980,2,1003,12,2,1001,2000,2,1006,2000,,,,,,,,,,
1375,s==28|Gói Quà Nuôi Dưỡng Chiến Lực,1,9,3280,2,1006,6000,1,8,200000000,1,10,100000000,,,,,,,,,,
1376,s==24|Gói Nuôi Dưỡng Thần Binh,1,9,3280,2,1006,6000,2,1027,440,2,1028,75,,,,,,,,,,
1377,s==21|Gói Quà Rèn Thần Binh,1,9,6480,2,1003,45,2,1028,100,2,3008,50,,,,,,,,,,
1378,s==22|Gói Nguyên Liệu Ưu Đãi,1,9,300,2,1003,5,2,1494,2,2,1519,1,,,,,,,,,,
1379,s==29|Gói Quà Nguyên Liệu Hào Phóng,1,9,680,2,1003,6,2,1494,5,2,1519,2,,,,,,,,,,
1380,s==29|Gói Quà Nguyên Liệu Hào Phóng,1,9,680,2,1003,6,2,1494,5,2,1491,2,,,,,,,,,,
1381,s==28|Gói Quà Nguyên Liệu Chiến Kỳ,1,9,1280,2,1051,5,2,1049,30,2,1003,15,,,,,,,,,,
1382,s==29|Gói Quà Nguyên Liệu Thần Binh,1,9,1980,2,1027,350,2,1028,60,2,1031,6,,,,,,,,,,
1383,s==26|Gói Quà Mảnh Chương Sử Thi,1,9,1980,2,1076,2,2,1071,3,2,1028,220,,,,,,,,,,
1384,s==21|Gói Cường Hóa Bảo Vật,1,9,3280,2,1043,40,2,1077,350,1,8,5000000,,,,,,,,,,
1385,s==22|Gói Thăng Sao Võ Tướng,1,9,3280,2,1048,20,2,1004,5,2,1003,20,,,,,,,,,,
1386,s==24|Gói Nuôi Dưỡng Thần Binh,1,9,3280,2,1006,6000,2,1027,440,2,1028,75,,,,,,,,,,
1387,s==21|Gói vật liệu đổi chác,1,9,3280,2,1004,6,2,1054,10,2,3008,50,,,,,,,,,,
1388,s==26|Gói đột phá Hội Nghĩa Đình,1,9,1980,2,1022,10,2,1023,20,2,1003,5,,,,,,,,,,
1389,s==29|Siêu giá trị tuần tra bao gói,1,9,680,2,1003,15,1,10,3000000,2,1001,1000,,,,,,,,,,
1390,s==28|Tụ hiền siêu giá trị bao gói,1,9,3280,2,1004,20,2,1001,800,1,8,5000000,,,,,,,,,,
1391,s==26|Tụ hiền tối thượng bao gói,1,9,6480,2,1004,40,2,1001,1600,1,8,10000000,,,,,,,,,,
1392,s==28|Chiến mã dưỡng thành bao gói,1,9,1980,2,1509,4,2,1115,20000,1,8,3000000,,,,,,,,,,
1393,s==26|Kinh nghiệm đầy ắp bao gói,1,9,980,1,10,5000000,1,10,10000000,1,10,15000000,,,,,,,,,,
1396,s==28|Võ tướng chuyển sinh bao gói,1,9,680,2,1053,20,2,1027,110,1,8,6000000,,,,,,,,,,
1397,s==28|Thần binh dưỡng thành hào lễ,1,9,1980,2,1030,20,2,1029,60,2,1055,750,,,,,,,,,,
1398,s==28|Bảo thạch dưỡng thành hào lễ,1,9,3280,2,1761,2,2,1037,16,2,1036,80,,,,,,,,,,
