id,starMapId,groupDrop,skill,skill2,skill3,type,camp,star,classify,needlevel,isRelease,jindukuang,jindutiao,
21510,1001,s==7|x_xtbg1,32|30201110,64|30201120,96|40010000,2,1,13,2,1,1,s==9|w_prg_wei,s==3|wei,
21503,1005,s==7|x_xtbg1,32|30201610,64|30201620,96|40010000,4,1,13,2,1,1,s==9|w_prg_wei,s==3|wei,
22502,1001,s==7|x_xtbg1,32|30201210,64|30201220,96|40010001,2,2,13,2,1,1,s==9|w_prg_shu,s==3|shu,
22507,1005,s==7|x_xtbg1,32|30201710,64|30201720,96|40010001,4,2,13,2,1,1,s==9|w_prg_shu,s==3|shu,
23506,1001,s==7|x_xtbg2,32|30201310,64|30201320,96|40010002,2,3,13,2,1,1,s==8|w_prg_wu,s==2|wu,
23508,1005,s==7|x_xtbg1,32|30201810,64|30201820,96|40010002,4,3,13,2,1,1,s==8|w_prg_wu,s==2|wu,
24503,1002,s==7|x_xtbg1,32|30201510,64|30201520,96|40010003,2,4,13,1,1,1,s==10|w_prg_shen,s==4|shen,
24508,1006,s==7|x_xtbg1,32|30201910,64|30201920,96|40010003,4,4,13,1,1,1,s==10|w_prg_shen,s==4|shen,
25515,1002,s==7|x_xtbg1,32|30201410,64|30201420,96|40010004,2,5,13,1,1,1,s==8|w_xd_prg,s==2|mo,
25509,1006,s==7|x_xtbg1,32|30202010,64|30202020,96|40010004,4,5,13,1,1,1,s==8|w_xd_prg,s==2|mo,
21504,1003,s==7|x_xtbg1,32|30202810,64|30202820,96|40010000,1,1,13,2,1,1,s==9|w_prg_wei,s==3|wei,
21505,,,,,,,,13,,1,2,,,
21507,1004,s==7|x_xtbg1,32|30204010,64|30204020,96|40010000,3,1,13,2,1,1,s==9|w_prg_wei,s==3|wei,
21508,1003,s==7|x_xtbg1,32|30203310,64|30203320,96|40010000,1,1,13,2,1,1,s==9|w_prg_wei,s==3|wei,
21512,1003,s==7|x_xtbg1,32|30202210,64|30202220,96|40010000,1,1,13,2,1,1,s==9|w_prg_wei,s==3|wei,
21515,1008,s==7|x_xtbg1,32|30204710,64|30204720,96|40010000,3,1,13,1,1,1,s==9|w_prg_wei,s==3|wei,
