systemId,mark,
1110,s==10|Trường tập,
4208,s==20|Song thành chi chiến,
1991,s==17|Tào vận phong vân,
2001,s==24|Khoáng Trường Chiếm Đoạt,
2040,s==24|Đỉnh Phong Đối Quyết Tái,
2041,s==37|Đỉnh Phong Đối Quyết Tái (Đỉnh Phong),
2042,s==36|Đỉnh Phong Đối Quyết Tái (Quyết Tái),
2020,s==19|Công thành lược địa,
2010,s==18|Liên Minh Đối Trận,
2000,s==18|Xếp hạng thiên đài,
2030,s==19|Hợp Tòng Liên Hoành,
5950,s==20|Quyết Chiến Chi Đỉnh,
1040,s==19|Liên Phục Thiết Phá,
1450,s==15|Quân Đoàn Chiến,
1500,s==30|Văn Đỉnh Trung Nguyên Bản Phục,
3180,s==31|Văn Đỉnh Trung Nguyên Khoa Phục,
3192,s==47|Tỷ Võ Đại Hội Vương Hầu Chiến Khu Tích Điểm Tái,
3193,s==47|Tỷ Võ Đại Hội Vương Hầu Chiến Khu Loại Loại Tái,
3194,s==47|Tỷ Võ Đại Hội Quần Hùng Chiến Khu Tích Điểm Tái,
3195,s==47|Tỷ Võ Đại Hội Quần Hùng Chiến Khu Loại Loại Tái,
3196,s==23|Khoa Phục Tích Điểm Tái,
3197,s==23|Khoa Phục Loại Loại Tái,
3199,s==22|Thế Giới Tích Điểm Tái,
3189,s==22|Thế Giới Loại Loại Tái,
6850,s==16|Cửu Châu Chí Tôn,
