group,name,icon,typeLimit,
1001,s==2|天剑,s==9|sx_gongji,1|2|3|4,
1002,s==2|天寿,s==12|sx_shengming,1|2|3|4,
1003,s==2|天垣,s==9|sx_fangyu,1|2|3|4,
1004,s==2|天峻,s==10|sx_kangbao,2|4,
1005,s==2|天存,s==10|sx_renxing,2|4,
1006,s==2|天策,s==13|dji_shangzeng,1|2|3|4,
1007,s==2|天固,s==9|sx_wumian,1|2|3|4,
1008,s==2|天誓,s==9|sx_famian,1|2|3|4,
1009,s==2|天愈,s==11|sx_shouliao,1|2|3|4,
1010,s==2|天锁,s==10|sx_kongzhi,1|2|3|4,
1011,s==2|天驱,s==11|sx_kangkong,1|2|3|4,
1012,s==2|天池,s==5|sx_zl,4,
1013,s==2|天繁,s==7|sx_zlbj,4,
1014,s==2|天锐,s==8|sx_pojia,1|3,
1015,s==2|天戮,s==8|sx_baoji,1|3,
1016,s==2|天殇,s==11|sx_baoshang,1|3,
