id,grounUnit,eventLimit,unitEventLimit,itemUnitWeight,itemUnitLimit,shopUnitWeight,shopUnitLimt,recoverUnitWeight,recoverUnitLimt,monsterUnitWeight,monsterUnitLimt,specialUnitWeght,specialUnitLimit,lastMapRange,mapRange,extraBlockNum,
1,7,15,3,100,6,100,1,50,3,200,6,10,1,s==3|1|6,,0,
2,7,15,3,100,6,100,1,50,3,200,6,10,1,s==3|1|6,,0,
3,7,15,3,100,6,100,1,50,3,200,6,10,1,s==3|1|6,,0,
4,7,15,3,100,6,100,1,50,3,200,6,10,1,s==3|1|6,,0,
5,7,15,3,100,6,100,1,50,3,200,6,10,1,s==3|1|6,,0,
6,7,15,3,100,6,100,1,50,3,200,6,10,1,s==3|1|6,,0,
7,7,15,3,100,6,100,1,50,3,200,6,10,1,s==3|1|6,,0,
8,8,17,3,100,6,100,1,50,3,200,6,10,1,s==3|1|6,s==4|8|13,1,
9,8,17,3,100,6,100,1,50,3,200,6,10,1,s==3|1|6,s==4|8|13,1,
10,8,17,3,100,6,100,1,50,3,200,6,10,1,s==3|1|6,s==4|8|13,1,
11,8,18,3,100,6,100,1,50,3,200,8,10,1,s==3|1|6,s==4|8|13,1,
12,8,18,3,100,6,100,1,50,3,200,8,10,1,s==3|1|6,s==4|8|13,1,
13,8,18,3,100,10,100,1,50,3,200,8,10,1,s==3|1|6,s==4|8|13,1,
14,9,20,3,100,10,100,1,50,3,200,8,10,1,s==3|1|6,s==4|8|13,2,
15,9,20,3,100,10,100,1,50,3,200,8,10,1,s==3|1|6,s==4|8|13,2,
16,9,20,3,100,10,100,1,50,3,200,8,10,1,s==3|1|6,s==4|8|13,2,
17,9,20,3,100,10,100,1,50,3,200,8,10,1,s==3|1|6,s==4|8|13,2,
18,9,20,3,100,10,100,1,50,3,200,8,10,1,s==3|1|6,s==4|8|13,2,
19,9,20,3,100,10,100,1,50,3,200,8,10,1,s==3|1|6,s==4|8|13,2,
20,10,22,3,100,10,100,1,50,3,200,8,10,1,s==3|1|6,s==4|8|13,3,
21,10,23,3,100,10,100,1,50,3,200,10,10,1,s==3|1|6,s==4|8|13,3,
22,10,23,3,100,10,100,1,50,3,200,10,10,1,s==3|1|6,s==4|8|13,3,
23,10,23,3,100,10,100,1,50,3,200,10,10,1,s==3|1|6,s==4|8|13,3,
24,10,23,3,100,10,100,1,50,3,200,10,10,1,s==3|1|6,s==4|8|13,3,
25,10,23,3,100,14,100,1,50,3,200,10,10,1,s==3|1|6,s==4|8|13,3,
26,11,25,3,100,14,100,2,50,3,200,10,10,1,s==3|1|6,s==4|8|13,4,
27,11,25,3,100,14,100,2,50,3,200,10,10,1,s==3|1|6,s==4|8|13,4,
28,11,25,3,100,14,100,2,50,3,200,10,10,1,s==3|1|6,s==4|8|13,4,
29,11,25,3,100,14,100,2,50,3,200,10,10,1,s==3|1|6,s==4|8|13,4,
30,11,25,3,100,14,100,2,50,3,200,10,10,1,s==3|1|6,s==4|8|13,4,
31,11,26,3,100,14,100,2,50,3,200,12,10,1,s==3|1|6,s==4|8|13,4,
32,12,28,3,100,14,100,2,50,3,200,12,10,1,s==3|1|6,s==4|8|13,5,
33,12,28,3,100,14,100,2,50,3,200,12,10,1,s==3|1|6,s==4|8|13,5,
34,12,28,3,100,14,100,2,50,3,200,12,10,1,s==3|1|6,s==4|8|13,5,
35,12,28,3,100,14,100,2,50,3,200,12,10,1,s==3|1|6,s==4|8|13,5,
36,12,28,3,100,14,100,2,50,3,200,12,10,1,s==3|1|6,s==4|8|13,5,
37,12,28,3,100,18,100,2,50,3,200,12,10,1,s==3|1|6,s==4|8|13,5,
38,13,30,3,100,18,100,2,50,3,200,12,10,1,s==3|1|6,s==4|8|13,6,
39,13,30,3,100,18,100,2,50,3,200,12,10,1,s==3|1|6,s==4|8|13,6,
40,13,30,3,100,18,100,2,50,3,200,12,10,1,s==3|1|6,s==4|8|13,6,
41,13,31,3,100,18,100,2,50,3,200,14,10,1,s==3|1|6,s==4|8|13,6,
42,13,31,3,100,18,100,2,50,3,200,14,10,1,s==3|1|6,s==4|8|13,6,
43,13,31,3,100,18,100,2,50,3,200,14,10,1,s==3|1|6,s==4|8|13,6,
44,14,33,3,100,18,100,2,50,3,200,14,10,1,s==4|8|13,s==5|14|19,1,
45,14,33,3,100,18,100,2,50,3,200,14,10,1,s==4|8|13,s==5|14|19,1,
46,14,33,3,100,18,100,2,50,4,200,14,10,1,s==4|8|13,s==5|14|19,1,
47,14,33,3,100,18,100,2,50,4,200,14,10,1,s==4|8|13,s==5|14|19,1,
48,14,33,3,100,18,100,2,50,4,200,14,10,1,s==4|8|13,s==5|14|19,1,
49,14,33,3,100,22,100,2,50,4,200,14,10,1,s==4|8|13,s==5|14|19,1,
50,15,35,3,100,22,100,2,50,4,200,14,10,1,s==4|8|13,s==5|14|19,2,
51,15,36,3,100,22,100,3,50,4,200,16,10,1,s==4|8|13,s==5|14|19,2,
52,15,36,3,100,22,100,3,50,4,200,16,10,1,s==4|8|13,s==5|14|19,2,
53,15,36,3,100,22,100,3,50,4,200,16,10,1,s==4|8|13,s==5|14|19,2,
54,15,36,3,100,22,100,3,50,4,200,16,10,1,s==4|8|13,s==5|14|19,2,
55,15,36,3,100,22,100,3,50,4,200,16,10,1,s==4|8|13,s==5|14|19,2,
56,16,38,3,100,22,100,3,50,4,200,16,10,1,s==4|8|13,s==5|14|19,3,
57,16,38,3,100,22,100,3,50,4,200,16,10,1,s==4|8|13,s==5|14|19,3,
58,16,38,3,100,22,100,3,50,4,200,16,10,1,s==4|8|13,s==5|14|19,3,
59,16,38,3,100,22,100,3,50,4,200,16,10,1,s==4|8|13,s==5|14|19,3,
60,16,38,3,100,22,100,3,50,4,200,16,10,1,s==4|8|13,s==5|14|19,3,
61,16,39,3,100,26,100,3,50,4,200,18,10,1,s==4|8|13,s==5|14|19,3,
62,17,41,3,100,26,100,3,50,4,200,18,10,1,s==4|8|13,s==5|14|19,4,
63,17,41,3,100,26,100,3,50,4,200,18,10,1,s==4|8|13,s==5|14|19,4,
64,17,41,3,100,26,100,3,50,4,200,18,10,1,s==4|8|13,s==5|14|19,4,
65,17,41,3,100,26,100,3,50,4,200,18,10,1,s==4|8|13,s==5|14|19,4,
66,17,41,3,100,26,100,3,50,4,200,18,10,1,s==4|8|13,s==5|14|19,4,
67,17,41,3,100,26,100,3,50,4,200,18,10,1,s==4|8|13,s==5|14|19,4,
68,18,43,3,100,26,100,3,50,4,200,18,10,1,s==4|8|13,s==5|14|19,5,
69,18,43,3,100,26,100,3,50,4,200,18,10,1,s==4|8|13,s==5|14|19,5,
70,18,43,3,100,26,100,3,50,4,200,18,10,1,s==4|8|13,s==5|14|19,5,
71,18,44,3,100,26,100,3,50,4,200,20,10,1,s==4|8|13,s==5|14|19,5,
72,18,44,3,100,26,100,3,50,4,200,20,10,1,s==4|8|13,s==5|14|19,5,
73,18,44,3,100,30,100,3,50,4,200,20,10,1,s==4|8|13,s==5|14|19,5,
74,19,46,3,100,30,100,3,50,4,200,20,10,1,s==4|8|13,s==5|14|19,6,
75,19,46,3,100,30,100,3,50,4,200,20,10,1,s==4|8|13,s==5|14|19,6,
76,19,46,3,100,30,100,4,50,4,200,20,10,1,s==4|8|13,s==5|14|19,6,
77,19,46,3,100,30,100,4,50,4,200,20,10,1,s==4|8|13,s==5|14|19,6,
78,19,46,3,100,30,100,4,50,4,200,20,10,1,s==4|8|13,s==5|14|19,6,
79,19,46,3,100,30,100,4,50,4,200,20,10,1,s==4|8|13,s==5|14|19,6,
80,20,48,3,100,30,100,4,50,4,200,20,10,1,s==5|14|19,s==5|20|37,1,
81,20,49,3,100,30,100,4,50,4,200,22,10,1,s==5|14|19,s==5|20|37,1,
82,20,49,3,100,30,100,4,50,4,200,22,10,1,s==5|14|19,s==5|20|37,1,
83,20,49,3,100,30,100,4,50,4,200,22,10,1,s==5|14|19,s==5|20|37,1,
84,20,49,3,100,30,100,4,50,4,200,22,10,1,s==5|14|19,s==5|20|37,1,
85,20,49,3,100,34,100,4,50,4,200,22,10,1,s==5|14|19,s==5|20|37,1,
86,21,51,3,100,34,100,4,50,4,200,22,10,1,s==5|14|19,s==5|20|37,2,
87,21,51,3,100,34,100,4,50,4,200,22,10,1,s==5|14|19,s==5|20|37,2,
88,21,51,3,100,34,100,4,50,4,200,22,10,1,s==5|14|19,s==5|20|37,2,
89,21,51,3,100,34,100,4,50,4,200,22,10,1,s==5|14|19,s==5|20|37,2,
90,21,51,3,100,34,100,4,50,4,200,22,10,1,s==5|14|19,s==5|20|37,2,
91,21,52,3,100,34,100,4,50,5,200,24,10,1,s==5|14|19,s==5|20|37,2,
92,22,54,3,100,34,100,4,50,5,200,24,10,1,s==5|14|19,s==5|20|37,3,
93,22,54,3,100,34,100,4,50,5,200,24,10,1,s==5|14|19,s==5|20|37,3,
