id,block%1,block%2,block%3,block%4,block%5,block%6,block%7,block%8,block%9,block%10,block%11,block%12,bossBlock,startBlock,
0,273,274,275,253,254,277,298,297,276,278,,,,s==3|273,
1,207,208,231,252,251,229,230,,,,,,s==7|228|185,s==3|207,
2,188,189,211,233,232,209,210,,,,,,s==7|165|167,s==3|189,
3,234,235,257,279,278,255,256,,,,,,s==7|213|258,s==3|235,
4,299,300,323,344,343,321,322,,,,,,s==7|324|367,s==3|323,
5,319,320,342,364,363,340,341,,,,,,s==7|386|384,s==3|364,
6,273,274,296,318,317,294,295,,,,,,s==7|338|293,s==3|317,
7,253,254,277,298,297,275,276,,,,,,,,
8,142,143,165,187,186,163,164,,,,,,s==11|162|119|121,s==3|142,
9,168,169,192,213,212,190,191,,,,,,s==11|146|148|193,s==3|169,
10,280,281,303,325,324,301,302,,,,,,s==11|259|304|347,s==3|303,
11,365,366,388,410,409,386,387,,,,,,s==11|389|432|430,s==3|410,
12,338,339,362,383,382,360,361,,,,,,s==11|406|404|359,s==3|382,
13,227,228,250,272,271,248,249,,,,,,s==11|292|247|204,s==3|348,
14,161,162,185,206,205,183,184,,,,,,s==7|182|139,s==3|183,
15,122,123,146,167,166,144,145,,,,,,s==7|100|102,s==3|122,
16,214,215,238,259,258,236,237,,,,,,s==7|194|239,s==3|215,
17,345,346,369,390,389,367,368,,,,,,s==7|370|413,s==3|390,
18,384,385,408,429,428,406,407,,,,,,s==7|452|450,s==3|428,
19,292,293,316,337,336,314,315,,,,,,s==7|358|313,s==3|314,
20,96,97,119,141,140,117,118,,,,,,s==2|73,s==2|96,
21,76,77,100,121,120,98,99,,,,,,s==2|54,s==2|76,
22,57,58,80,102,101,78,79,,,,,,s==5|34|36,s==2|57,
23,103,104,126,148,147,124,125,,,,,,s==2|82,s==3|104,
24,149,150,172,194,193,170,171,,,,,,s==3|128,s==3|150,
25,195,196,218,240,239,216,217,,,,,,s==7|174|219,s==3|196,
26,260,261,284,305,304,282,283,,,,,,s==3|285,s==3|264,
27,326,327,349,371,370,347,348,,,,,,s==3|350,s==3|349,
28,391,392,415,436,435,413,414,,,,,,s==7|416|459,s==3|436,
29,411,412,434,456,455,432,433,,,,,,s==3|478,s==3|456,
30,430,431,454,475,474,452,453,,,,,,s==3|498,s==3|475,
31,450,451,473,495,494,471,472,,,,,,s==7|517|515,s==3|495,
32,404,405,427,449,448,425,426,,,,,,s==3|469,s==3|448,
33,358,359,381,403,402,379,380,,,,,,s==3|423,s==3|402,
34,312,313,335,357,356,333,334,,,,,,s==7|377|332,s==3|356,
35,246,247,270,291,290,268,269,,,,,,s==3|267,s==3|268,
36,181,182,204,226,225,202,203,,,,,,s==3|201,s==3|202,
37,115,116,139,160,159,137,138,,,,,,s==6|136|93,s==3|115,
