id,itemType,itemId,combineNum,resourceType,resourceId,disPrice,appearStage,shopType,
1,2,1026,2,1,8,30,,13,
2,2,24510,50,1,8,30,,13,
3,2,25503,50,1,8,30,,13,
4,2,22504,50,1,8,30,,13,
5,2,22507,50,1,8,30,10,13,
6,2,22508,50,1,8,30,20,13,
7,2,21505,50,1,8,30,30,13,
8,2,21507,50,1,8,30,40,13,
9,2,21508,50,1,8,30,40,13,
10,2,23508,50,1,8,30,40,13,
11,2,23510,50,1,8,30,40,13,
12,2,23503,50,1,8,30,50,13,
13,2,1534,1,1,8,30,50,13,
14,2,1026,2,1,9,30,,14,
15,2,24510,50,1,9,30,,14,
16,2,25503,50,1,9,30,,14,
17,2,22504,50,1,9,30,,14,
18,2,22507,50,1,9,30,10,14,
19,2,22508,50,1,9,30,20,14,
20,2,21505,50,1,9,30,30,14,
21,2,21507,50,1,9,30,40,14,
22,2,21508,50,1,9,30,40,14,
23,2,23508,50,1,9,30,40,14,
24,2,23510,50,1,9,30,40,14,
25,2,23503,50,1,9,30,50,14,
26,2,1534,1,1,9,30,50,14,
