id,type,battleType,isEvent,battleID,battleID2, condItionType,value,desc,defeatEvent,event,ratio,
1,1,1,2,170001,170018,1,,s==4|战斗胜利,,,s==2|50,
2,1,1,2,170002,170019,1,,s==4|战斗胜利,,,s==2|50,
3,1,1,2,170003,170020,1,,s==4|战斗胜利,,,s==2|50,
4,1,1,2,170004,170021,1,,s==4|战斗胜利,,,s==2|50,
5,1,1,2,170005,170022,1,,s==4|战斗胜利,,,s==2|50,
6,1,1,2,170006,170023,1,,s==4|战斗胜利,,,s==2|50,
7,1,1,2,170007,170024,1,,s==4|战斗胜利,,,s==2|50,
8,1,2,2,170008,170025,1,,s==4|战斗胜利,,,s==2|50,
9,1,2,2,170009,170026,1,,s==4|战斗胜利,,,s==2|50,
10,1,2,2,170010,170027,1,,s==4|战斗胜利,,,s==2|50,
11,1,2,2,170011,170028,1,,s==4|战斗胜利,,,s==2|50,
12,1,2,2,170012,170029,1,,s==4|战斗胜利,,,s==2|50,
13,1,2,2,170013,170030,1,,s==4|战斗胜利,,,s==2|50,
14,1,4,1,170014,170031,2,50,s==14|存活武将剩余血量不低于50%,s==1|3,2,s==2|50,
15,1,4,1,170015,170032,2,50,s==14|存活武将剩余血量不低于50%,s==1|3,2,s==2|50,
16,1,4,1,170016,170033,2,50,s==14|存活武将剩余血量不低于50%,s==1|3,2,s==2|50,
17,1,3,2,170017,170034,1,,s==4|战斗胜利,,,s==2|50,
18,2,1,2,170035,170052,1,,s==4|战斗胜利,,,s==2|50,
19,2,1,2,170036,170053,1,,s==4|战斗胜利,,,s==2|50,
20,2,1,2,170037,170054,1,,s==4|战斗胜利,,,s==2|50,
21,2,1,2,170038,170055,1,,s==4|战斗胜利,,,s==2|50,
22,2,1,2,170039,170056,1,,s==4|战斗胜利,,,s==2|50,
23,2,1,2,170040,170057,1,,s==4|战斗胜利,,,s==2|50,
24,2,1,2,170041,170058,1,,s==4|战斗胜利,,,s==2|50,
25,2,2,2,170042,170059,1,,s==4|战斗胜利,,,s==2|50,
26,2,2,2,170043,170060,1,,s==4|战斗胜利,,,s==2|50,
27,2,2,2,170044,170061,1,,s==4|战斗胜利,,,s==2|50,
28,2,2,2,170045,170062,1,,s==4|战斗胜利,,,s==2|50,
29,2,2,2,170046,170063,1,,s==4|战斗胜利,,,s==2|50,
30,2,2,2,170047,170064,1,,s==4|战斗胜利,,,s==2|50,
31,2,4,1,170048,170065,2,50,s==14|存活武将剩余血量不低于50%,s==1|3,2,s==2|50,
32,2,4,1,170049,170066,2,50,s==14|存活武将剩余血量不低于50%,s==1|3,2,s==2|50,
33,2,4,1,170050,170067,2,50,s==14|存活武将剩余血量不低于50%,s==1|3,2,s==2|50,
34,2,3,2,170051,170068,1,,s==4|战斗胜利,,,s==2|50,
35,3,1,2,170069,170086,1,,s==4|战斗胜利,,,s==2|50,
36,3,1,2,170070,170087,1,,s==4|战斗胜利,,,s==2|50,
37,3,1,2,170071,170088,1,,s==4|战斗胜利,,,s==2|50,
38,3,1,2,170072,170089,1,,s==4|战斗胜利,,,s==2|50,
39,3,1,2,170073,170090,1,,s==4|战斗胜利,,,s==2|50,
40,3,1,2,170074,170091,1,,s==4|战斗胜利,,,s==2|50,
41,3,1,2,170075,170092,1,,s==4|战斗胜利,,,s==2|50,
42,3,2,2,170076,170093,1,,s==4|战斗胜利,,,s==2|50,
43,3,2,2,170077,170094,1,,s==4|战斗胜利,,,s==2|50,
44,3,2,2,170078,170095,1,,s==4|战斗胜利,,,s==2|50,
45,3,2,2,170079,170096,1,,s==4|战斗胜利,,,s==2|50,
46,3,2,2,170080,170097,1,,s==4|战斗胜利,,,s==2|50,
47,3,2,2,170081,170098,1,,s==4|战斗胜利,,,s==2|50,
48,3,4,1,170082,170099,2,50,s==14|存活武将剩余血量不低于50%,s==1|3,2,s==2|50,
49,3,4,1,170083,170100,2,50,s==14|存活武将剩余血量不低于50%,s==1|3,2,s==2|50,
50,3,4,1,170084,170101,2,50,s==14|存活武将剩余血量不低于50%,s==1|3,2,s==2|50,
51,3,3,2,170085,170102,1,,s==4|战斗胜利,,,s==2|50,
52,4,1,2,170103,170120,1,,s==4|战斗胜利,,,s==2|50,
53,4,1,2,170104,170121,1,,s==4|战斗胜利,,,s==2|50,
54,4,1,2,170105,170122,1,,s==4|战斗胜利,,,s==2|50,
55,4,1,2,170106,170123,1,,s==4|战斗胜利,,,s==2|50,
56,4,1,2,170107,170124,1,,s==4|战斗胜利,,,s==2|50,
57,4,1,2,170108,170125,1,,s==4|战斗胜利,,,s==2|50,
58,4,1,2,170109,170126,1,,s==4|战斗胜利,,,s==2|50,
59,4,2,2,170110,170127,1,,s==4|战斗胜利,,,s==2|50,
60,4,2,2,170111,170128,1,,s==4|战斗胜利,,,s==2|50,
61,4,2,2,170112,170129,1,,s==4|战斗胜利,,,s==2|50,
62,4,2,2,170113,170130,1,,s==4|战斗胜利,,,s==2|50,
63,4,2,2,170114,170131,1,,s==4|战斗胜利,,,s==2|50,
64,4,2,2,170115,170132,1,,s==4|战斗胜利,,,s==2|50,
65,4,4,1,170116,170133,2,50,s==14|存活武将剩余血量不低于50%,s==1|3,2,s==2|50,
66,4,4,1,170117,170134,2,50,s==14|存活武将剩余血量不低于50%,s==1|3,2,s==2|50,
67,4,4,1,170118,170135,2,50,s==14|存活武将剩余血量不低于50%,s==1|3,2,s==2|50,
68,4,3,2,170119,170136,1,,s==4|战斗胜利,,,s==2|50,
69,5,1,2,170137,170154,1,,s==4|战斗胜利,,,s==2|50,
70,5,1,2,170138,170155,1,,s==4|战斗胜利,,,s==2|50,
71,5,1,2,170139,170156,1,,s==4|战斗胜利,,,s==2|50,
72,5,1,2,170140,170157,1,,s==4|战斗胜利,,,s==2|50,
73,5,1,2,170141,170158,1,,s==4|战斗胜利,,,s==2|50,
74,5,1,2,170142,170159,1,,s==4|战斗胜利,,,s==2|50,
75,5,1,2,170143,170160,1,,s==4|战斗胜利,,,s==2|50,
76,5,2,2,170144,170161,1,,s==4|战斗胜利,,,s==2|50,
77,5,2,2,170145,170162,1,,s==4|战斗胜利,,,s==2|50,
78,5,2,2,170146,170163,1,,s==4|战斗胜利,,,s==2|50,
79,5,2,2,170147,170164,1,,s==4|战斗胜利,,,s==2|50,
80,5,2,2,170148,170165,1,,s==4|战斗胜利,,,s==2|50,
81,5,2,2,170149,170166,1,,s==4|战斗胜利,,,s==2|50,
82,5,4,1,170150,170167,2,50,s==14|存活武将剩余血量不低于50%,s==1|3,2,s==2|50,
83,5,4,1,170151,170168,2,50,s==14|存活武将剩余血量不低于50%,s==1|3,2,s==2|50,
84,5,4,1,170152,170169,2,50,s==14|存活武将剩余血量不低于50%,s==1|3,2,s==2|50,
85,5,3,2,170153,170170,1,,s==4|战斗胜利,,,s==2|50,
86,6,1,2,170171,170188,1,,s==4|战斗胜利,,,s==2|50,
87,6,1,2,170172,170189,1,,s==4|战斗胜利,,,s==2|50,
88,6,1,2,170173,170190,1,,s==4|战斗胜利,,,s==2|50,
89,6,1,2,170174,170191,1,,s==4|战斗胜利,,,s==2|50,
90,6,1,2,170175,170192,1,,s==4|战斗胜利,,,s==2|50,
91,6,1,2,170176,170193,1,,s==4|战斗胜利,,,s==2|50,
92,6,1,2,170177,170194,1,,s==4|战斗胜利,,,s==2|50,
93,6,2,2,170178,170195,1,,s==4|战斗胜利,,,s==2|50,
94,6,2,2,170179,170196,1,,s==4|战斗胜利,,,s==2|50,
95,6,2,2,170180,170197,1,,s==4|战斗胜利,,,s==2|50,
96,6,2,2,170181,170198,1,,s==4|战斗胜利,,,s==2|50,
97,6,2,2,170182,170199,1,,s==4|战斗胜利,,,s==2|50,
98,6,2,2,170183,170200,1,,s==4|战斗胜利,,,s==2|50,
99,6,4,1,170184,170201,2,50,s==14|存活武将剩余血量不低于50%,s==1|3,2,s==2|50,
100,6,4,1,170185,170202,2,50,s==14|存活武将剩余血量不低于50%,s==1|3,2,s==2|50,
101,6,4,1,170186,170203,2,50,s==14|存活武将剩余血量不低于50%,s==1|3,2,s==2|50,
102,6,3,2,170187,170204,1,,s==4|战斗胜利,,,s==2|50,
103,7,1,2,170205,170222,1,,s==4|战斗胜利,,,s==2|50,
104,7,1,2,170206,170223,1,,s==4|战斗胜利,,,s==2|50,
105,7,1,2,170207,170224,1,,s==4|战斗胜利,,,s==2|50,
106,7,1,2,170208,170225,1,,s==4|战斗胜利,,,s==2|50,
107,7,1,2,170209,170226,1,,s==4|战斗胜利,,,s==2|50,
108,7,1,2,170210,170227,1,,s==4|战斗胜利,,,s==2|50,
109,7,1,2,170211,170228,1,,s==4|战斗胜利,,,s==2|50,
110,7,2,2,170212,170229,1,,s==4|战斗胜利,,,s==2|50,
111,7,2,2,170213,170230,1,,s==4|战斗胜利,,,s==2|50,
112,7,2,2,170214,170231,1,,s==4|战斗胜利,,,s==2|50,
113,7,2,2,170215,170232,1,,s==4|战斗胜利,,,s==2|50,
114,7,2,2,170216,170233,1,,s==4|战斗胜利,,,s==2|50,
115,7,2,2,170217,170234,1,,s==4|战斗胜利,,,s==2|50,
116,7,4,1,170218,170235,2,50,s==14|存活武将剩余血量不低于50%,s==1|3,2,s==2|50,
117,7,4,1,170219,170236,2,50,s==14|存活武将剩余血量不低于50%,s==1|3,2,s==2|50,
118,7,4,1,170220,170237,2,50,s==14|存活武将剩余血量不低于50%,s==1|3,2,s==2|50,
119,7,3,2,170221,170238,1,,s==4|战斗胜利,,,s==2|50,
120,8,1,2,170239,170256,1,,s==4|战斗胜利,,,s==2|50,
121,8,1,2,170240,170257,1,,s==4|战斗胜利,,,s==2|50,
122,8,1,2,170241,170258,1,,s==4|战斗胜利,,,s==2|50,
123,8,1,2,170242,170259,1,,s==4|战斗胜利,,,s==2|50,
124,8,1,2,170243,170260,1,,s==4|战斗胜利,,,s==2|50,
125,8,1,2,170244,170261,1,,s==4|战斗胜利,,,s==2|50,
126,8,1,2,170245,170262,1,,s==4|战斗胜利,,,s==2|50,
127,8,2,2,170246,170263,1,,s==4|战斗胜利,,,s==2|50,
128,8,2,2,170247,170264,1,,s==4|战斗胜利,,,s==2|50,
129,8,2,2,170248,170265,1,,s==4|战斗胜利,,,s==2|50,
130,8,2,2,170249,170266,1,,s==4|战斗胜利,,,s==2|50,
131,8,2,2,170250,170267,1,,s==4|战斗胜利,,,s==2|50,
132,8,2,2,170251,170268,1,,s==4|战斗胜利,,,s==2|50,
133,8,4,1,170252,170269,2,50,s==14|存活武将剩余血量不低于50%,s==1|3,2,s==2|50,
134,8,4,1,170253,170270,2,50,s==14|存活武将剩余血量不低于50%,s==1|3,2,s==2|50,
135,8,4,1,170254,170271,2,50,s==14|存活武将剩余血量不低于50%,s==1|3,2,s==2|50,
136,8,3,2,170255,170272,1,,s==4|战斗胜利,,,s==2|50,
137,9,1,2,170273,170290,1,,s==4|战斗胜利,,,s==2|50,
138,9,1,2,170274,170291,1,,s==4|战斗胜利,,,s==2|50,
139,9,1,2,170275,170292,1,,s==4|战斗胜利,,,s==2|50,
140,9,1,2,170276,170293,1,,s==4|战斗胜利,,,s==2|50,
141,9,1,2,170277,170294,1,,s==4|战斗胜利,,,s==2|50,
142,9,1,2,170278,170295,1,,s==4|战斗胜利,,,s==2|50,
143,9,1,2,170279,170296,1,,s==4|战斗胜利,,,s==2|50,
144,9,2,2,170280,170297,1,,s==4|战斗胜利,,,s==2|50,
145,9,2,2,170281,170298,1,,s==4|战斗胜利,,,s==2|50,
146,9,2,2,170282,170299,1,,s==4|战斗胜利,,,s==2|50,
147,9,2,2,170283,170300,1,,s==4|战斗胜利,,,s==2|50,
148,9,2,2,170284,170301,1,,s==4|战斗胜利,,,s==2|50,
149,9,2,2,170285,170302,1,,s==4|战斗胜利,,,s==2|50,
150,9,4,1,170286,170303,2,50,s==14|存活武将剩余血量不低于50%,s==1|3,2,s==2|50,
151,9,4,1,170287,170304,2,50,s==14|存活武将剩余血量不低于50%,s==1|3,2,s==2|50,
152,9,4,1,170288,170305,2,50,s==14|存活武将剩余血量不低于50%,s==1|3,2,s==2|50,
153,9,3,2,170289,170306,1,,s==4|战斗胜利,,,s==2|50,
154,10,1,2,170307,170324,1,,s==4|战斗胜利,,,s==2|50,
155,10,1,2,170308,170325,1,,s==4|战斗胜利,,,s==2|50,
156,10,1,2,170309,170326,1,,s==4|战斗胜利,,,s==2|50,
157,10,1,2,170310,170327,1,,s==4|战斗胜利,,,s==2|50,
158,10,1,2,170311,170328,1,,s==4|战斗胜利,,,s==2|50,
159,10,1,2,170312,170329,1,,s==4|战斗胜利,,,s==2|50,
160,10,1,2,170313,170330,1,,s==4|战斗胜利,,,s==2|50,
161,10,2,2,170314,170331,1,,s==4|战斗胜利,,,s==2|50,
162,10,2,2,170315,170332,1,,s==4|战斗胜利,,,s==2|50,
163,10,2,2,170316,170333,1,,s==4|战斗胜利,,,s==2|50,
164,10,2,2,170317,170334,1,,s==4|战斗胜利,,,s==2|50,
165,10,2,2,170318,170335,1,,s==4|战斗胜利,,,s==2|50,
166,10,2,2,170319,170336,1,,s==4|战斗胜利,,,s==2|50,
167,10,4,1,170320,170337,2,50,s==14|存活武将剩余血量不低于50%,s==1|3,2,s==2|50,
168,10,4,1,170321,170338,2,50,s==14|存活武将剩余血量不低于50%,s==1|3,2,s==2|50,
169,10,4,1,170322,170339,2,50,s==14|存活武将剩余血量不低于50%,s==1|3,2,s==2|50,
170,10,3,2,170323,170340,1,,s==4|战斗胜利,,,s==2|50,
171,11,1,2,170341,170358,1,,s==4|战斗胜利,,,s==2|50,
172,11,1,2,170342,170359,1,,s==4|战斗胜利,,,s==2|50,
173,11,1,2,170343,170360,1,,s==4|战斗胜利,,,s==2|50,
174,11,1,2,170344,170361,1,,s==4|战斗胜利,,,s==2|50,
175,11,1,2,170345,170362,1,,s==4|战斗胜利,,,s==2|50,
176,11,1,2,170346,170363,1,,s==4|战斗胜利,,,s==2|50,
177,11,1,2,170347,170364,1,,s==4|战斗胜利,,,s==2|50,
178,11,2,2,170348,170365,1,,s==4|战斗胜利,,,s==2|50,
179,11,2,2,170349,170366,1,,s==4|战斗胜利,,,s==2|50,
180,11,2,2,170350,170367,1,,s==4|战斗胜利,,,s==2|50,
181,11,2,2,170351,170368,1,,s==4|战斗胜利,,,s==2|50,
182,11,2,2,170352,170369,1,,s==4|战斗胜利,,,s==2|50,
183,11,2,2,170353,170370,1,,s==4|战斗胜利,,,s==2|50,
184,11,4,1,170354,170371,2,50,s==14|存活武将剩余血量不低于50%,s==1|3,2,s==2|50,
185,11,4,1,170355,170372,2,50,s==14|存活武将剩余血量不低于50%,s==1|3,2,s==2|50,
186,11,4,1,170356,170373,2,50,s==14|存活武将剩余血量不低于50%,s==1|3,2,s==2|50,
187,11,3,2,170357,170374,1,,s==4|战斗胜利,,,s==2|50,
