id,type,roomId,floor,site,isMove,relatedRoom,eventType,eventId1,eventId2,eventId3,desc,
1,1,0,1,3,1,1|8,3,1,1,3,s==28|Phòng 0 (Chiến Văn cấp thấp),
2,1,1,1,1,1,0|2,1,1,2,,s==33|Điểm xuất phát (Chiến đấu thường),
3,1,2,1,3,1,1|3|10,2,,,,s==19|Phòng 2 (Rương báu),
4,1,3,1,3,1,2|11,1,1,2,,s==26|Phòng 3 (Chiến đấu thường),
5,1,4,1,3,0,,,,,,s==29|Phòng 4 (Không thể di chuyển),
6,1,5,1,3,1,13,2,,,,s==19|Phòng 5 (Rương báu),
7,1,6,1,3,0,,,,,,s==29|Phòng 6 (Không thể di chuyển),
8,1,7,1,3,0,,,,,,s==29|Phòng 7 (Không thể di chuyển),
9,1,8,2,3,1,0|16,1,1,2,,s==26|Phòng 8 (Chiến đấu thường),
10,1,9,2,3,0,,,,,,s==29|Phòng 9 (Không thể di chuyển),
11,1,10,2,3,1,2|11|18,1,1,2,,s==27|Phòng 10 (Chiến đấu thường),
12,1,11,2,3,1,10|3|12|19,3,1,1,3,s==29|Phòng 11 (Chiến Văn cấp thấp),
13,1,12,2,3,1,11|13,1,1,2,,s==27|Phòng 12 (Chiến đấu thường),
14,1,13,2,3,1,21|5|12,3,1,1,3,s==29|Phòng 13 (Chiến Văn cấp thấp),
15,1,14,2,3,0,,,,,,s==30|Phòng 14 (Không thể di chuyển),
16,1,15,2,3,0,,,,,,s==30|Phòng 15 (Không thể di chuyển),
17,1,16,3,3,1,8|24,2,,,,s==20|Phòng 16 (Rương báu),
18,1,17,3,3,0,,,,,,s==30|Phòng 17 (Không thể di chuyển),
19,1,18,3,3,1,10|19,2,,,,s==20|Phòng 18 (Rương báu),
20,1,19,3,3,1,18|11|27,1,2,2,,s==29|Phòng 19 (Chiến đấu tinh anh),
21,1,20,3,3,0,,,,,,s==8|Phòng 20,
22,1,21,3,3,1,13|29|22,2,,,,s==20|Phòng 21 (Rương báu),
23,1,22,3,3,1,21|23,1,1,2,,s==27|Phòng 22 (Chiến đấu thường),
24,1,23,3,3,1,22|31,3,1,2,3,s==27|Phòng 23 (Chiến Văn sử thi),
25,1,24,4,3,1,16|25,1,4,1,,s==20|Phòng 24 (Phục binh),
26,1,25,4,3,1,24,2,,,,s==20|Phòng 25 (Rương báu),
27,1,26,4,3,0,,,,,,s==30|Phòng 26 (Không thể di chuyển),
28,1,27,4,3,1,19,3,1,1,3,s==29|Phòng 27 (Chiến Văn cấp thấp),
29,1,28,4,3,0,,,,,,s==30|Phòng 28 (Không thể di chuyển),
30,1,29,4,3,1,21|37,3,1,1,3,s==29|Phòng 29 (Chiến Văn cấp thấp),
31,1,30,4,3,0,,,,,,s==30|Phòng 30 (Không thể di chuyển),
32,1,31,4,3,1,23|39,1,4,1,,s==20|Phòng 31 (Phục binh),
33,1,32,5,3,0,,,,,,s==30|Phòng 32 (Không thể di chuyển),
34,1,33,5,3,0,,,,,,s==30|Phòng 33 (Không thể di chuyển),
35,1,34,5,3,1,42,1,2,2,,s==29|Phòng 34 (Chiến đấu tinh anh),
36,1,35,5,3,0,,,,,,s==30|Phòng 35 (Không thể di chuyển),
37,1,36,5,3,1,44|37,3,1,2,3,s==27|Phòng 36 (Chiến Văn sử thi),
38,1,37,5,3,1,36|29,1,1,2,,s==27|Phòng 37 (Chiến đấu thường),
39,1,38,5,3,0,,,,,,s==30|Phòng 38 (Không thể di chuyển),
40,1,39,5,3,1,31|47,2,,,,s==20|Phòng 39 (Rương báu),
41,1,40,6,3,1,41,2,,,,s==20|Phòng 40 (Rương báu),
42,1,41,6,3,1,40|42,1,2,2,,s==29|Phòng 41 (Chiến đấu tinh anh),
43,1,42,6,3,1,41|43|34|50,2,,,,s==20|Phòng 42 (Rương báu),
44,1,43,6,3,1,42|44,3,1,1,3,s==29|Phòng 43 (Chiến Văn cấp thấp),
45,1,44,6,3,1,43|52|36,1,4,1,,s==20|Phòng 44 (Phục binh),
46,1,45,6,3,0,,,,,,s==30|Phòng 45 (Không thể di chuyển),
47,1,46,6,3,1,54|47,1,2,2,,s==29|Phòng 46 (Chiến đấu tinh anh),
48,1,47,6,3,1,46|39,3,1,1,3,s==29|Phòng 47 (Chiến Văn cấp thấp),
49,1,48,7,3,0,,,,,,s==30|Phòng 48 (Không thể di chuyển),
50,1,49,7,3,0,,,,,,s==30|Phòng 49 (Không thể di chuyển),
51,1,50,7,3,1,58|42,1,2,2,,s==29|Phòng 50 (Chiến đấu tinh anh),
52,1,51,7,3,0,,,,,,s==30|Phòng 51 (Không thể di chuyển),
53,1,52,7,3,1,44,3,1,1,3,s==29|Phòng 52 (Chiến Văn cấp thấp),
54,1,53,7,3,0,,,,,,s==30|Phòng 53 (Không thể di chuyển),
55,1,54,7,3,1,46|62,3,1,2,3,s==27|Phòng 54 (Chiến Văn sử thi),
56,1,55,7,3,0,,,,,,s==30|Phòng 55 (Không thể di chuyển),
57,1,56,8,3,1,57,1,2,2,,s==29|Phòng 56 (Chiến đấu tinh anh),
58,1,57,8,3,1,56|58,2,,,,s==20|Phòng 57 (Rương báu),
59,1,58,8,3,1,50|57,3,1,2,3,s==27|Phòng 58 (Chiến Văn sử thi),
60,1,59,8,3,0,,,,,,s==30|Phòng 59 (Không thể di chuyển),
61,1,60,8,3,0,,,,,,s==30|Phòng 60 (Không thể di chuyển),
