id,itemType,itemId,combineNum,resourceType,resourceId,disPrice,buyLimit,autoReset,worldlvLimit,lvLimit,lvLimitEx,vipLimit,desc,showRule,oriPrice,discount,sort,isPlatformOpen,toSystem,
1,2,6877,1,1,75,1000,10,2,,135,135,,s==20|Hộp Nguyên Liệu Hiếm,1,,,950,,-1,
2,2,6878,1,1,75,2000,5,2,,135,135,,s==24|Hộp Nguyên Liệu Quý Hiếm,1,,,1000,,-1,
3,2,1056,1,1,75,600,20,2,,135,135,,s==16|Chú Hồn Tinh Hồn,1,,,960,,-1,
4,2,1055,1,1,75,300,40,2,,135,135,,s==23|Chú Hồn Tiến Giai Thạch,1,,,940,,-1,
5,2,1012,1,1,75,300,40,2,,135,135,,s==15|Tiềm Năng Thạch,1,,,930,,-1,
6,2,1286,1,1,75,2400,6,2,,165,165,,s==21|Linh Thạch Thông Dụng,1,,,990,,-1,
7,2,1285,1,1,75,2400,4,2,,165,165,,s==18|Hồn Thạch Môn Phái,1,,,980,,-1,
8,2,71003,1,1,75,2800,20,2,,150,150,,s==23|Thạch Tẩy Luyện Phù Văn,1,,,920,,5020,
9,2,71008,1,1,75,2000,20,2,,150,150,,s==29|Kinh Nghiệm Trung Cấp Phù Văn,1,,,910,,5020,
10,2,1230,1,1,75,2000,30,2,,160,160,,s==22|Bách Luyện Huyền Cương,1,,,900,,3940,
11,2,1228,1,1,75,10000,1,2,,160,160,,s==10|Kỳ Vận Phù,1,,,970,,3940,
12,2,1001,50,1,75,1000,50,2,,135,135,,s==13|Đột Phá Thạch,1,,,890,,-1,
13,2,1006,50,1,75,1000,50,2,,135,135,,s==14|Tướng Ấn Thạch,1,,,880,,-1,
14,2,50050,5,1,75,2500,10,2,,140,140,,s==17|Linh Khí Linh Thú,1,,,942,1,-1,
15,2,1290,10,1,75,1000,20,2,,140,140,,s==13|Ngọc Linh Thú,1,,,941,1,-1,
