id,type,tip,name,needNum,suitProperty-type-1,suitProperty-way-1,suitProperty-value-1,suitProperty-type-2,suitProperty-way-2,suitProperty-value-2,desc,
1,243,s==3|紫三星,s==4|贪狼套装,2,1,1,200,,,,s==4|贪狼套装,
2,243,s==3|紫三星,s==4|贪狼套装,3,2,1,300,,,,s==4|贪狼套装,
3,243,s==3|紫三星,s==4|贪狼套装,4,1,1,100,,,,s==4|贪狼套装,
4,251,s==3|橙一星,s==4|修罗套装,2,1,1,400,,,,s==4|修罗套装,
5,251,s==3|橙一星,s==4|修罗套装,3,2,1,500,,,,s==4|修罗套装,
6,251,s==3|橙一星,s==4|修罗套装,4,1,1,200,,,,s==4|修罗套装,
7,252,s==3|橙二星,s==4|九曲套装,2,1,1,500,,,,s==4|九曲套装,
8,252,s==3|橙二星,s==4|九曲套装,3,2,1,700,,,,s==4|九曲套装,
9,252,s==3|橙二星,s==4|九曲套装,4,1,1,400,,,,s==4|九曲套装,
10,253,s==3|橙三星,s==4|乾坤套装,2,1,1,700,,,,s==4|乾坤套装,
11,253,s==3|橙三星,s==4|乾坤套装,3,2,1,900,,,,s==4|乾坤套装,
12,253,s==3|橙三星,s==4|乾坤套装,4,1,1,400,,,,s==4|乾坤套装,
13,254,s==3|橙四星,s==4|乌青套装,2,1,1,800,,,,s==4|乌青套装,
14,254,s==3|橙四星,s==4|乌青套装,3,2,1,1100,,,,s==4|乌青套装,
15,254,s==3|橙四星,s==4|乌青套装,4,1,1,500,,,,s==4|乌青套装,
16,261,s==3|红一星,s==4|七煞套装,2,1,1,1000,,,,s==4|七煞套装,
17,261,s==3|红一星,s==4|七煞套装,3,2,1,1300,,,,s==4|七煞套装,
18,261,s==3|红一星,s==4|七煞套装,4,1,1,500,,,,s==4|七煞套装,
19,262,s==3|红二星,s==4|嗜血套装,2,1,1,1100,,,,s==4|嗜血套装,
20,262,s==3|红二星,s==4|嗜血套装,3,2,1,1500,,,,s==4|嗜血套装,
21,262,s==3|红二星,s==4|嗜血套装,4,1,1,600,,,,s==4|嗜血套装,
22,263,s==3|红三星,s==4|镇岳套装,2,1,1,1200,,,,s==4|镇岳套装,
23,263,s==3|红三星,s==4|镇岳套装,3,2,1,1700,,,,s==4|镇岳套装,
24,263,s==3|红三星,s==4|镇岳套装,4,1,1,700,,,,s==4|镇岳套装,
25,264,s==3|红四星,s==4|七星套装,2,1,1,1400,,,,s==4|七星套装,
26,264,s==3|红四星,s==4|七星套装,3,2,1,1900,,,,s==4|七星套装,
27,264,s==3|红四星,s==4|七星套装,4,1,1,700,,,,s==4|七星套装,
28,265,s==3|红五星,s==4|神武套装,2,1,1,1500,,,,s==4|神武套装,
29,265,s==3|红五星,s==4|神武套装,3,2,1,2000,,,,s==4|神武套装,
30,265,s==3|红五星,s==4|神武套装,4,1,1,800,,,,s==4|神武套装,
31,266,s==3|红五星,s==4|八宝套装,2,1,1,2000,,,,s==4|八宝套装,
32,266,s==3|红五星,s==4|八宝套装,3,2,1,5000,,,,s==4|八宝套装,
33,266,s==3|红五星,s==4|八宝套装,4,1,1,1000,,,,s==4|八宝套装,
