id,type,star,addpro,addway,addper,buff,
106,1,6,2,1,100,,
107,1,7,2,1,200,,
108,1,8,2,1,300,,
109,1,9,2,1,500,,
110,1,10,2,1,700,,
111,1,11,2,1,800,,
112,1,12,2,1,900,,
113,1,13,2,1,1000,,
114,1,14,2,1,1000,,
206,2,6,3,1,100,,
207,2,7,3,1,200,,
208,2,8,3,1,300,,
209,2,9,3,1,500,,
210,2,10,3,1,700,,
211,2,11,3,1,800,,
212,2,12,3,1,900,,
213,2,13,3,1,1000,,
214,2,14,3,1,1000,,
306,3,6,4,1,100,,
307,3,7,4,1,200,,
308,3,8,4,1,300,,
309,3,9,4,1,500,,
310,3,10,4,1,700,,
311,3,11,4,1,800,,
312,3,12,4,1,900,,
313,3,13,4,1,1000,,
314,3,14,4,1,1000,,
406,4,6,1,1,100,,
407,4,7,1,1,200,,
408,4,8,1,1,300,,
409,4,9,1,1,500,,
410,4,10,1,1,700,,
411,4,11,1,1,800,,
412,4,12,1,1,900,,
413,4,13,1,1,1000,,
414,4,14,1,1,1000,,
