id,icon,path,Uisound,tips,name,isShow,desc,appearLevel,openLevel,worldLevel,lvLimitEx,heroStarLevel,heroLvRequest,chapterId,needVipLv,openUI,subSheetUIId,areanShow,isShield,afterMergeVersionsOpen,openDay,activityId,
1010,3300002,,,,s==2|主城,,s==4|解锁主城,1,1,,,,,,,s==9|MainScene,,,,,,,
1001,3300002,,,s==4|玩家等级,s==4|君主等级,,s==9|决定玩家的等级上限,1,1,,,,,,,,,,,,,,
1012,501,,,s==4|铜钱获得,s==2|点金,,,3,3,,,,,,,s==14|GoldWindowView,,,,,,,
1013,3300002,,,s==6|布阵额外槽位,s==2|援军,,s==57|解锁布阵援军槽位，增添额外战力。\n在援军槽位上阵武将后，根据不同星级和职业，开场为己方全体附加各种强力战斗增益！,65,65,,,,,,,s==15|HeroArraryLayer,,,,,,,
1014,3300002,,,s==6|强制引导战斗,s==4|剧情战斗,,,0,0,,,,,,,,,,,,,,
1020,501,,,s==4|基础模块,s==2|好友,,s==47|解锁好友系统，广交豪杰，携手同行。\n好友之间可赠送友情点，雇佣助战武将，战力互补，通关更易。,5,5,,,,,,,s==11|FriendLayer,,,,,,,
1021,,,,s==4|君主信息,s==4|君主信息,,,0,0,,,,,,,s==18|PlayerTitlePopView,0,,,,,,
1022,,,,s==2|头像,s==2|头像,,,0,0,,,,,,,s==18|PlayerTitlePopView,1,,,,,,
1023,,,,s==3|头像框,s==3|头像框,,,0,0,,,,,,,s==18|PlayerTitlePopView,2,,,,,,
1024,,,,s==4|君主形象,s==4|君主形象,,,0,0,,,,,,,s==18|PlayerTitlePopView,3,,,,,,
1025,,,,s==2|称号,s==2|称号,,,0,0,,,,,,,s==18|PlayerTitlePopView,4,,,,,,
1026,,,,s==4|聊天气泡,s==4|聊天气泡,,s==8|更换聊天气泡入口,0,0,,,,,,,s==18|PlayerTitlePopView,5,,,,,,
1030,502,,,s==4|基础模块,s==2|邮件,,s==6|解锁邮件系统,5,5,,,,,,,s==9|MailLayer,,,,,,,
1040,503,,,s==7|聊天模块-入口,s==2|聊天,,s==6|解锁聊天系统,5,5,,,,,,,s==9|ChatLayer,,,,,,,
1041,503,,,s==4|聊天模块,s==5|聊天-私聊,,,1,30,,,,,,,s==9|ChatLayer,1,,,,,,
1042,503,,,s==4|聊天模块,s==5|聊天-系统,,,1,1,,,,,,,s==9|ChatLayer,4,,,,,,
1043,503,,,s==4|聊天模块,s==5|聊天-世界,,,5,18,,,,,,,s==9|ChatLayer,2,,,,,,
1044,503,,,s==4|聊天模块,s==5|聊天-军团,,,18,18,,,,,,,s==9|ChatLayer,3,,,,,,
1045,503,,,s==4|聊天模块,s==7|聊天-世界发言,,s==10|解锁聊天系统世界发言,5,30,,,,,,,s==9|ChatLayer,3,,,,,,
1046,503,,,s==4|聊天模块,s==5|聊天-同省,,s==10|解锁聊天系统同省频道,5,40,,,,,,,s==9|ChatLayer,4,,,,,,
1047,503,,,s==4|聊天模块,s==5|聊天-跨国,,s==10|解锁聊天系统跨国频道,5,40,,,,,,,s==9|ChatLayer,5,,,,,,
1048,503,,,s==4|聊天模块,s==5|聊天-国战,,s==9|国战开启时间段开启,82,82,,,,,,,s==9|ChatLayer,,,,,,,
1050,504,,,s==7|任务模块-入口,s==2|任务,,s==45|解锁任务系统，南征北战，马到成功。\n完成每日任务获得大量元宝奖励，完成成就彰显君主风采。,6,6,,,,,,,s==9|TaskLayer,,,,,,,
1051,504,,,s==4|任务模块,s==4|日常任务,,,6,6,,,,,,,s==9|TaskLayer,1,,,,,,
1052,504,,,s==4|任务模块,s==4|成就任务,,,6,6,,,,,,,s==9|TaskLayer,2,,,,,,
1060,504,,,s==4|任务模块,s==4|进阶历练,,s==6|解锁进阶历练,55,55,,,,,,,s==9|TaskLayer,3,,,,,,
1070,505,,,s==4|基础模块,s==3|排行榜,,s==7|解锁排行榜系统,1,1,,,,,,,s==9|RankLayer,,,,,,,
1080,506,,,s==4|基础模块,s==4|通关战报,,s==6|解锁通关战报,20,20,,,,,,,s==14|WarReportLayer,,,,,,,
1090,507,,,s==7|夺宝模块-入口,s==2|夺宝,,s==55|解锁夺宝系统，幸运转盘，奖励无穷。\n在夺宝系统中可消耗夺宝令进行幸运抽奖，更可积累幸运值和夺宝积分兑换奖励。,20,20,,,,,,,s==17|PrayActivityLayer,,,,,,,
1091,508,,,s==4|战斗界面,s==4|战斗加速,,s==41|解锁战斗加速，抢占先机，快人一步。\n战斗界面可开启倍速战斗，速战速决，一马当先！,20,20,,,,,,1,,,,,,,,
1100,509,,,s==4|主城功能,s==6|锻造台-装备,,s==54|解锁锻造台，神兵出世，千锤百炼。\n在锻造台中可将低阶装备、将印合成高阶，大幅度提高附加属性，更有额外技能。,13,13,,,,,,,s==19|StrengthenMainLayer,1,,,,,,
1102,3300002,,,s==3|锻造台,s==6|锻造台-配饰,,s==57|解锁配饰装备，技能附加，扭转战局。\n通过圣坛祭祀可获得配饰，集齐套装后穿戴可附加回血加盾、暴击附伤、反伤等技能。,,,99,104,,,,,s==19|StrengthenMainLayer,4,,,,,,
1103,3300002,,,s==3|锻造台,s==6|锻造台-星石,,,125,125,,,,,,,s==19|StrengthenMainLayer,5,,,,,,
1104,509,,,s==3|锻造台,s==6|锻造台-将印,,,13,13,,,,,,,s==19|StrengthenMainLayer,2,,,,,,
1105,,,,s==3|锻造台,s==6|锻造台-精炼,,,13,13,,,,,,,s==16|wstjinglianLayer,,,,,,,
1106,,,,s==3|锻造台,s==6|锻造台-宝石,,,82,82,,,,,,,s==19|StrengthenMainLayer,6,,,,,,
1110,510,,,s==4|主城功能,s==2|校场,,s==50|解锁校场比武，海角天涯，孤独求败。\n校场比武战胜其他玩家可获得积分，根据积分排名每日获得大量元宝。,8,8,,,,,,,s==13|tinkerPopView,1,,,,,,
1111,,,,,s==5|校场-点赞,,s==17|可对十名玩家进行点赞，获得铜钱奖励,8,8,,,,,,,,,,,,,,
1120,511,,,s==4|主城功能,s==2|下野,,s==51|解锁下野系统，武将遣散，获得资源。\n多余的武将可在下野系统进行遣散，返还战功石可在商城兑换心仪武将。,12,12,,,,,,,s==19|courierStationLayer,,,,,,,
