id,taskName,taskDesc,needLevel,lvLimit,taskType,subType,nextTask,ToSystemFunId,targets-targetType-1,targets-targetId-1,targets-targetValue-1,targets-targetType-2,targets-targetId-2,targets-targetValue-2,targets-targetType-3,targets-targetId-3,targets-targetValue-3,rewards-type-1,rewards-id-1,rewards-value-1,rewards-type-2,rewards-id-2,rewards-value-2,rewards-type-3,rewards-id-3,rewards-value-3,prioriy,areantask,clearTask,initClear,
100001,,s==25|Hằng ngày đăng nhập 1 lần,1,200,1,0,0,1010,101,0,1,0,0,0,0,0,0,1,9,20,1,13,5,,,,298,,0,1,
100002,,s==44|Mỗi ngày tặng bằng hữu điểm tình nghĩa 5 lần,1,200,1,0,0,1020,102,0,5,0,0,0,0,0,0,1,12,200,1,13,5,,,,297,,0,1,
100003,,s==29|Thực hiện 3 lần Tầm Bảo tự do,1,200,1,0,0,1640,103,0,3,0,0,0,0,0,0,1,9,30,1,13,10,,,,296,,0,1,
100004,,s==28|Nhận 3 lần nhiệm vụ kỳ duyên,1,200,1,0,0,2091,110,0,3,0,0,0,0,0,0,1,8,50000,1,13,10,,,,295,,0,1,
100005,,s==27|Nhanh chóng chiến đấu 5 lần,1,200,1,0,0,2092,105,0,5,0,0,0,0,0,0,1,9,50,1,13,15,,,,294,,0,1,
100006,,s==35|Tham gia 3 lần trường võ đấu trường,1,200,1,0,0,1110,104,0,3,0,0,0,0,0,0,2,1005,2,1,13,15,,,,293,,0,1,
100007,,s==34|Tham gia 2 lần phó bản thường nhật,1,200,1,0,0,1240,111,0,2,0,0,0,0,0,0,2,1007,1,1,13,10,,,,292,,0,1,
100008,,s==35|Tiến hành 1 lần hiến tặng quân đoàn,1,200,1,0,0,1460,108,0,1,0,0,0,0,0,0,2,1002,1,1,13,10,,,,291,,0,1,
100009,,s==52|Thách đấu tướng quân địch của bất kỳ quân đoàn 3 lần,1,200,1,0,0,1470,107,0,3,0,0,0,0,0,0,1,17,60,1,13,15,,,,290,,0,1,
100010,,s==63|Thách đấu hoặc quét sạch tầng bất kỳ của Thông Thiên Tháp 3 lần,1,200,1,0,0,1130,106,0,3,0,0,0,0,0,0,2,1001,30,1,13,10,,,,289,,0,1,
100011,,s==37|Tham gia 1 lần Huyết Chiến Trường Bản,1,200,1,0,0,1250,109,0,1,0,0,0,0,0,0,2,1007,1,1,13,10,,,,288,,0,1,
100012,,s==33|Đơn thương độc mã thắng lợi 3 lần,1,200,1,0,0,1260,112,0,3,0,0,0,0,0,0,1,8,50000,1,13,15,,,,287,,0,1,
100013,,s==57|Mỗi ngày phát ngôn 1 lần tại kênh Thế Giới hoặc Quân Đoàn,1,200,1,0,0,1043,634,0,1,0,0,0,0,0,0,1,8,50000,1,13,5,,,,299,s==2|jp,0,1,
