id,totemId,breackLv,limitLv,quality,qualityName,skill,propertys-type-1,propertys-way-1,propertys-value-1,propertys-type-2,propertys-way-2,propertys-value-2,needItems-type-1,needItems-id-1,needItems-value-1,needItems-type-2,needItems-id-2,needItems-value-2,
1,7001,1,20,4,s==2|优秀,810001,2,1,200,8,0,200,2,1045,10,2,1046,20,
2,7001,2,40,5,s==2|史诗,810002,2,1,200,8,0,200,2,1045,20,2,1046,40,
3,7001,3,50,6,s==2|传说,810003,,,,,,,,,,,,,
4,7002,1,20,4,s==2|优秀,820001,3,1,200,19,0,200,2,1045,10,2,1046,20,
5,7002,2,40,5,s==2|史诗,820002,3,1,200,19,0,200,2,1045,20,2,1046,40,
6,7002,3,50,6,s==2|传说,820003,,,,,,,,,,,,,
7,7003,1,20,4,s==2|优秀,830001,4,0,50,16,0,200,2,1045,10,2,1046,20,
8,7003,2,40,5,s==2|史诗,830002,4,0,50,16,0,200,2,1045,20,2,1046,40,
9,7003,3,50,6,s==2|传说,830003,,,,,,,,,,,,,
10,7004,1,20,4,s==2|优秀,840001,1,1,200,11,1,200,2,1045,10,2,1046,20,
11,7004,2,40,5,s==2|史诗,840002,1,1,200,11,1,200,2,1045,20,2,1046,40,
12,7004,3,50,6,s==2|传说,840003,,,,,,,,,,,,,
13,7006,1,20,4,s==2|优秀,850001,9,0,200,7,0,200,2,1045,10,2,1046,20,
14,7006,2,40,5,s==2|史诗,850002,9,0,200,7,0,200,2,1045,20,2,1046,40,
15,7006,3,50,6,s==2|传说,850003,,,,,,,,,,,,,
16,7005,1,20,4,s==2|优秀,860001,24,0,200,18,0,200,2,1045,10,2,1046,20,
17,7005,2,40,5,s==2|史诗,860002,24,0,200,18,0,200,2,1045,20,2,1046,40,
18,7005,3,50,6,s==2|传说,860003,,,,,,,,,,,,,
19,7007,1,20,4,s==2|优秀,870001,2,1,200,5,0,200,2,1045,10,2,1046,20,
20,7007,2,40,5,s==2|史诗,870002,2,1,200,5,0,200,2,1045,20,2,1046,40,
21,7007,3,50,6,s==2|传说,870003,,,,,,,,,,,,,
22,7008,1,20,4,s==2|优秀,880001,4,0,50,17,0,200,2,1045,10,2,1046,20,
23,7008,2,40,5,s==2|史诗,880002,4,0,50,17,0,200,2,1045,20,2,1046,40,
24,7008,3,50,6,s==2|传说,880003,,,,,,,,,,,,,
25,7009,1,20,4,s==2|优秀,891001,2,1,200,3,1,200,2,1045,10,2,1046,20,
26,7009,2,40,5,s==2|史诗,891002,2,1,200,3,1,200,2,1045,20,2,1046,40,
27,7009,3,50,6,s==2|传说,891003,,,,,,,,,,,,,
28,7010,1,20,4,s==2|优秀,892001,20,0,200,17,0,200,2,1045,10,2,1046,20,
29,7010,2,40,5,s==2|史诗,892002,20,0,200,17,0,200,2,1045,20,2,1046,40,
30,7010,3,50,6,s==2|传说,892003,,,,,,,,,,,,,
31,7011,1,20,4,s==2|优秀,893001,1,1,200,2,1,200,2,1045,10,2,1046,20,
32,7011,2,40,5,s==2|史诗,893002,1,1,200,2,1,200,2,1045,20,2,1046,40,
33,7011,3,50,6,s==2|传说,893003,,,,,,,,,,,,,
34,7012,1,20,4,s==2|优秀,894001,5,0,200,8,0,200,2,1045,10,2,1046,20,
35,7012,2,40,5,s==2|史诗,894002,5,0,200,8,0,200,2,1045,20,2,1046,40,
36,7012,3,50,6,s==2|传说,894003,,,,,,,,,,,,,
37,7013,1,20,4,s==2|优秀,895001,2,1,200,1,1,200,2,1045,10,2,1046,20,
38,7013,2,40,5,s==2|史诗,895002,2,1,200,1,1,200,2,1045,20,2,1046,40,
39,7013,3,50,6,s==2|传说,895003,,,,,,,,,,,,,
40,7014,1,20,4,s==2|优秀,896001,1,1,200,20,0,200,2,1045,10,2,1046,20,
41,7014,2,40,5,s==2|史诗,896002,1,1,200,20,0,200,2,1045,20,2,1046,40,
42,7014,3,50,6,s==2|传说,896003,,,,,,,,,,,,,
43,7015,1,20,4,s==2|优秀,897001,3,1,200,17,0,200,2,1045,10,2,1046,20,
44,7015,2,40,5,s==2|史诗,897002,3,1,200,17,0,200,2,1045,20,2,1046,40,
45,7015,3,50,6,s==2|传说,897003,,,,,,,,,,,,,
46,7016,1,20,4,s==2|优秀,898001,18,0,200,3,1,200,2,1045,10,2,1046,20,
47,7016,2,40,5,s==2|史诗,898002,18,0,200,3,1,200,2,1045,20,2,1046,40,
48,7016,3,50,6,s==2|传说,898003,,,,,,,,,,,,,
