id,name,battle,battleScene,heroId,firstRewards-type-1,firstRewards-id-1,firstRewards-value-1,firstRewards-type-2,firstRewards-id-2,firstRewards-value-2,passRewards-type-1,passRewards-id-1,passRewards-value-1,passRewards-type-2,passRewards-id-2,passRewards-value-2,condition%1,condition%2,condition%3,words,battle2,heroId2,wave,
1,s==6|Tầng 1,60001,50001,22501,1,9,50,,,,2,1055,3,1,8,110000,1,8,7,,,,1,
2,s==6|Tầng 2,60002,50001,21510,1,9,50,,,,2,1055,3,1,8,110000,1,9,7,,,,1,
3,s==6|Tầng 3,60003,50001,24510,1,9,50,,,,2,1055,3,1,8,110000,1,10,7,,,,1,
4,s==6|Tầng 4,60004,50001,23504,1,9,50,,,,2,1055,3,1,8,110000,1,11,4,,,,1,
5,s==6|Tầng 5,60005,50001,24504,2,1056,5,,,,2,1055,3,1,8,110000,1,12,7,,,,1,
6,s==6|Tầng 6,60006,50001,24510,1,9,50,,,,2,1055,3,1,8,110000,1,13,7,,,,1,
7,s==6|Tầng 7,60007,50001,21505,1,9,50,,,,2,1055,3,1,8,111000,1,14,7,,,,1,
8,s==6|Tầng 8,60008,50001,22509,1,9,50,,,,2,1055,3,1,8,111000,1,15,2,,,,1,
9,s==6|Tầng 9,60009,50001,21505,1,9,50,,,,2,1055,3,1,8,111000,1,16,7,,,,1,
10,s==7|Tầng 10,60010,50001,24508,2,1056,5,,,,2,1055,3,1,8,111000,1,17,7,,,,1,
11,s==7|Tầng 11,60011,50001,22507,1,9,50,,,,2,1055,3,1,8,111000,1,18,7,,,,1,
12,s==7|Tầng 12,60012,50001,22501,1,9,50,,,,2,1055,3,1,8,111000,1,19,4,,,,1,
13,s==7|Tầng 13,60013,50001,22507,1,9,50,,,,2,1055,3,1,8,112000,1,20,7,,,,1,
14,s==7|Tầng 14,60014,50001,24513,1,9,50,,,,2,1055,3,1,8,112000,1,21,7,,,,1,
15,s==7|Tầng 15,60015,50001,25503,2,1056,5,,,,2,1055,3,1,8,112000,1,22,7,,,,1,
16,s==7|Tầng 16,60016,50001,24510,1,9,50,,,,2,1055,3,1,8,112000,1,23,2,,,,1,
17,s==7|Tầng 17,60017,50001,23503,1,9,50,,,,2,1055,3,1,8,112000,1,24,7,,,,1,
18,s==7|Tầng 18,60018,50001,24508,1,9,50,,,,2,1055,3,1,8,112000,1,25,7,,,,1,
19,s==7|Tầng 19,60019,50001,24506,1,9,50,,,,2,1055,3,1,8,113000,1,8,7,,,,1,
20,s==7|Tầng 20,60020,50001,22509,2,1056,5,,,,2,1055,3,1,8,113000,1,9,4,,,,1,
21,s==7|Tầng 21,60021,50001,21505,1,9,50,,,,2,1055,3,1,8,113000,1,10,7,,,,1,
22,s==7|Tầng 22,60022,50001,25503,1,9,50,,,,2,1055,3,1,8,113000,1,11,7,,,,1,
23,s==7|Tầng 23,60023,50001,21508,1,9,50,,,,2,1055,3,1,8,113000,1,12,7,,,,1,
24,s==7|Tầng 24,60024,50001,25506,1,9,50,,,,2,1055,3,1,8,113000,1,13,2,,,,1,
25,s==7|Tầng 25,60025,50001,24502,2,1056,5,,,,2,1055,3,1,8,114000,1,14,7,,,,1,
26,s==7|Tầng 26,60026,50001,22501,1,9,50,,,,2,1055,3,1,8,114000,1,15,7,,,,1,
27,s==7|Tầng 27,60027,50001,21510,1,9,50,,,,2,1055,3,1,8,114000,1,16,7,,,,1,
28,s==7|Tầng 28,60028,50001,24510,1,9,50,,,,2,1055,3,1,8,114000,1,17,4,,,,1,
29,s==7|Tầng 29,60029,50001,23504,1,9,50,,,,2,1055,3,1,8,114000,1,18,7,,,,1,
30,s==7|Tầng 30,60030,50001,24504,2,1056,5,,,,2,1055,3,1,8,114000,1,19,7,,,,1,
31,s==7|Tầng 31,60031,50001,24510,1,9,50,,,,2,1055,3,1,8,115000,1,20,7,,,,1,
32,s==7|Tầng 32,60032,50001,21505,1,9,50,,,,2,1055,3,1,8,115000,1,21,2,,,,1,
33,s==7|Tầng 33,60033,50001,22509,1,9,50,,,,2,1055,3,1,8,115000,1,22,7,,,,1,
34,s==7|Tầng 34,60034,50001,21505,1,9,50,,,,2,1055,3,1,8,115000,1,23,7,,,,1,
35,s==7|Tầng 35,60035,50001,24508,2,1056,5,,,,2,1055,3,1,8,115000,1,24,7,,,,1,
36,s==7|Tầng 36,60036,50001,22507,1,9,50,,,,2,1055,3,1,8,115000,1,25,4,,,,1,
37,s==7|Tầng 37,60037,50001,22501,1,9,50,,,,2,1055,3,1,8,116000,1,8,7,,,,1,
38,s==7|Tầng 38,60038,50001,22507,1,9,50,,,,2,1055,3,1,8,116000,1,9,7,,,,1,
39,s==7|Tầng 39,60039,50001,24513,1,9,50,,,,2,1055,3,1,8,116000,1,10,7,,,,1,
40,s==7|Tầng 40,60040,50001,25503,2,1056,5,,,,2,1055,3,1,8,116000,1,11,2,,,,1,
41,s==7|Tầng 41,60041,50001,24510,1,9,50,,,,2,1055,3,1,8,116000,1,12,7,,,,1,
42,s==7|Tầng 42,60042,50001,23503,1,9,50,,,,2,1055,3,1,8,116000,1,13,7,,,,1,
43,s==7|Tầng 43,60043,50001,24508,1,9,50,,,,2,1055,3,1,8,117000,1,14,7,,,,1,
44,s==7|Tầng 44,60044,50001,24506,1,9,50,,,,2,1055,3,1,8,117000,1,15,4,,,,1,
45,s==7|Tầng 45,60045,50001,22509,2,1056,5,,,,2,1055,3,1,8,117000,1,16,7,,,,1,
46,s==7|Tầng 46,60046,50001,21505,1,9,50,,,,2,1055,3,1,8,117000,1,17,7,,,,1,
47,s==7|Tầng 47,60047,50001,25503,1,9,50,,,,2,1055,3,1,8,117000,1,18,7,,,,1,
48,s==7|Tầng 48,60048,50001,21508,1,9,50,,,,2,1055,3,1,8,117000,1,19,2,,,,1,
49,s==7|Tầng 49,60049,50001,25506,1,9,50,,,,2,1055,3,1,8,118000,1,20,7,,,,1,
50,s==7|Tầng 50,60050,50001,24502,2,1056,5,,,,2,1055,3,1,8,118000,1,21,7,,,,1,
51,s==7|Tầng 51,60051,50001,22501,1,9,50,,,,2,1055,3,1,8,118000,1,22,7,,,,1,
52,s==7|Tầng 52,60052,50001,21510,1,9,50,,,,2,1055,3,1,8,118000,1,23,4,,,,1,
53,s==7|Tầng 53,60053,50001,24510,1,9,50,,,,2,1055,3,1,8,118000,1,24,7,,,,1,
54,s==7|Tầng 54,60054,50001,23504,1,9,50,,,,2,1055,3,1,8,118000,1,25,7,,,,1,
55,s==7|Tầng 55,60055,50001,24504,2,1056,5,,,,2,1055,3,1,8,119000,1,8,7,,,,1,
56,s==7|Tầng 56,60056,50001,24510,1,9,50,,,,2,1055,3,1,8,119000,1,9,2,,,,1,
57,s==7|Tầng 57,60057,50001,21505,1,9,50,,,,2,1055,3,1,8,119000,1,10,7,,,,1,
58,s==7|Tầng 58,60058,50001,22509,1,9,50,,,,2,1055,3,1,8,119000,1,11,7,,,,1,
59,s==7|Tầng 59,60059,50001,21505,1,9,50,,,,2,1055,3,1,8,119000,1,12,7,,,,1,
60,s==7|Tầng 60,60060,50001,24508,2,1056,5,,,,2,1055,3,1,8,119000,1,13,4,,,,1,
61,s==7|Tầng 61,60061,50001,22507,1,9,50,,,,2,1055,3,1,8,120000,1,14,7,,,,1,
62,s==7|Tầng 62,60062,50001,22501,1,9,50,,,,2,1055,3,1,8,120000,1,15,7,,,,1,
63,s==7|Tầng 63,60063,50001,22507,1,9,50,,,,2,1055,3,1,8,120000,1,16,7,,,,1,
64,s==7|Tầng 64,60064,50001,24513,1,9,50,,,,2,1055,3,1,8,120000,1,17,2,,,,1,
65,s==7|Tầng 65,60065,50001,25503,2,1056,5,,,,2,1055,3,1,8,120000,1,18,7,,,,1,
66,s==7|Tầng 66,60066,50001,24510,1,9,50,,,,2,1055,3,1,8,120000,1,19,7,,,,1,
67,s==7|Tầng 67,60067,50001,23503,1,9,50,,,,2,1055,3,1,8,121000,1,20,7,,,,1,
68,s==7|Tầng 68,60068,50001,24508,1,9,50,,,,2,1055,3,1,8,121000,1,21,4,,,,1,
69,s==7|Tầng 69,60069,50001,24506,1,9,50,,,,2,1055,3,1,8,121000,1,22,7,,,,1,
