id,poorId,reward-type-1,reward-id-1,reward-value-1,reward-type-2,reward-id-2,reward-value-2,reward-type-3,reward-id-3,reward-value-3,weight,
1,1,1,8,50000,1,17,200,2,1001,150,2000,
2,1,1,8,51000,1,17,220,2,1001,160,1000,
3,1,1,8,52000,1,17,240,2,1001,170,800,
4,1,1,8,53000,1,17,260,2,1001,180,600,
5,1,1,8,54000,1,17,280,2,1001,190,500,
6,1,1,8,55000,1,17,300,2,1001,200,400,
7,1,1,8,56000,1,17,320,2,1001,210,300,
8,1,1,8,57000,1,17,340,2,1001,220,200,
9,1,1,8,58000,1,17,360,2,1001,230,100,
10,1,1,8,59000,1,17,380,2,1001,240,50,
11,2,1,8,100000,1,17,500,2,1001,300,2000,
12,2,1,8,102000,1,17,530,2,1001,320,1000,
13,2,1,8,104000,1,17,560,2,1001,340,800,
14,2,1,8,106000,1,17,590,2,1001,360,600,
15,2,1,8,108000,1,17,620,2,1001,380,500,
16,2,1,8,110000,1,17,650,2,1001,400,400,
17,2,1,8,112000,1,17,680,2,1001,420,300,
18,2,1,8,114000,1,17,710,2,1001,440,200,
19,2,1,8,116000,1,17,740,2,1001,460,100,
20,2,1,8,118000,1,17,770,2,1001,480,50,
21,3,1,8,200000,1,17,1000,2,1001,600,2000,
22,3,1,8,204000,1,17,1040,2,1001,640,1000,
23,3,1,8,208000,1,17,1080,2,1001,680,800,
24,3,1,8,212000,1,17,1120,2,1001,720,600,
25,3,1,8,216000,1,17,1160,2,1001,760,500,
26,3,1,8,220000,1,17,1200,2,1001,800,400,
27,3,1,8,224000,1,17,1240,2,1001,840,300,
28,3,1,8,228000,1,17,1280,2,1001,880,200,
29,3,1,8,232000,1,17,1320,2,1001,920,100,
30,3,1,8,236000,1,17,1360,2,1001,960,50,
